"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool","bool"
0,5,20,2,"add_armour_quality","Right click this item then left click an armour to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of an armour",[],"",1067,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an armour to apply it. The maximum quality is 20%.",100,[],[],[],"","","","Drag this item onto any armour to apply it. The maximum quality is 20%.","",""
1,1,20,2,"add_magic_item_quality","Right click this item then left click a wand, staff or sceptre to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of a wand, staff or sceptre",[],"",1067,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a wand, staff or sceptre to apply it. The maximum quality is 20%.",100,[],[],[],"","","","Drag this item onto any wand, staff or sceptre to apply it. The maximum quality is 20%.","",""
2,6,10,2,"duplicate","Right click this item then left click an equipable non-unique item to apply it. Mirrored copies cannot be modified.","","Creates a [Mirrored] copy of an item",[],"",1068,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an equipable non-unique item to apply it. Mirrored copies cannot be modified.",100,[],[],[],"","","","Drag this item onto an equipable non-unique item to apply it. Mirrored copies cannot be modified.","",""
3,2,40,2,"identify","Right click this item then left click an unidentified item to apply it.","","Identifies an item",[],1,1069,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an unidentified item to apply it.",100,[],[],[],"","","","Drag this item onto an unidentified item to apply it.","",""
4,9,40,1,"skill_point_respec","Right click on this item to use it.","","Grants a passive skill refund point",[],"",1070,[13],[64],5000,"<<xbox_button_x>> to use.",100,[],[],[],"","","","Tap on this item to use it.",1,""
5,10,40,1,"atlas_skill_point_respec","Right click on this item to use it.","","Grants an atlas passive skill refund point",[],"","",[],[],5000,"<<xbox_button_x>> to use.",100,[],[],[],"","","","Tap on this item to use it.",1,""
6,3,20,2,"reroll","Right click this item then left click a rare item to apply it.","","Removes a random modifier and augments a [ItemRarity|Rare] item with a new random modifier",[8089],"",1071,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",100,[],[7090],[],"","","","Drag this item onto a rare item to apply it.","",""
7,4,20,2,"reroll_rare_veiled","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers, including a Veiled modifier. Can only be used on items that can have a Veiled modifier.",[7611],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",100,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
8,8,10,2,"transmute_to_unique","Right click this item then left click a normal item to apply it.","","Unpredictably either upgrades a [ItemRarity|Normal] item to [ItemRarity|Unique] rarity or destroys it",[7793],"",1072,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",100,[],[7088],[],"","","","Drag this item onto a normal item to apply it.","",""
9,11,40,2,"transmute_to_magic","Right click this item then left click a normal item to apply it.","","Upgrades a [ItemRarity|Normal] item to a [ItemRarity|Magic] item with 1 modifier","[7792,8077,8938]","",1073,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",100,[],[7086],[],"","","","Drag this item onto a normal item to apply it.","",""
10,7,20,2,"transmute_to_rare","Right click this item then left click a normal item to apply it.","","Upgrades a [ItemRarity|Normal] item to a [ItemRarity|Rare] item with 4 modifiers",[7794],"",1074,[9],[8],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",100,[6836],[7089],[],"","","","Drag this item onto a normal item to apply it.","",""
11,0,20,2,"add_weapon_quality","Right click this item then left click a martial weapon to apply it. The maximum quality is 20%.","","Improves the [Quality|quality] of a [MartialWeapon|martial weapon]",[],"",1075,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on martial weapon to apply it. The maximum quality is 20%.",100,[],[],[],"","","","Drag this item onto a martial weapon to apply it. The maximum quality is 20%.","",""
12,16,30,2,"add_mod_to_magic","Right click this item then left click a magic item to apply it. Magic items can have up to two random modifiers.","","Augments a [ItemRarity|Magic] item with a new random modifier",[8079],"",1076,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it. Magic items can have up to two random modifiers.",100,[],[],[],"","","","Drag this item onto a magic item to apply it. Magic items can have up to two random modifiers.","",""
13,12,20,2,"reroll_magic","Right click this item then left click a magic item to apply it.","","Reforges a magic item with new random modifiers",[8078],"",1077,[16],[64],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it.",100,[],[7087],[],"","","","Drag this item onto a magic item to apply it.","",""
14,13,30,2,"convert_to_normal","Right click this item then left click on a magic or rare item to apply it.","","Removes all modifiers from an item",[],"",1078,[8],[96],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic or rare item to apply it.",100,[],[],[],"","","","Drag this item onto a magic or rare item to apply it.","",""
15,14,20,2,"add_mod_to_rare","Right click this item then left click a rare item to apply it. Rare items can have up to six random modifiers.","","Augments a [ItemRarity|Rare] item with a new random modifier",[9031],"",1079,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it. Rare items can have up to six random modifiers.",100,[],[],[],"","","","Drag this item onto a rare item to apply it. Rare items can have up to six random modifiers.","",""
16,15,20,2,"upgrade_magic_to_rare","Right click this item then left click a magic item to apply it. Current modifiers are retained and a new one is added.","","Upgrades a [ItemRarity|Magic] item to a [ItemRarity|Rare] item, adding 1 modifier",[],"",1080,[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a magic item to apply it. Current modifiers are retained and a new one is added.",100,[],[7091],[],"","","","Drag this item onto a magic item to apply it. Current modifiers are retained and a new one is added.","",""
