"rownum","Id","i32_8","i32_12","i32_16","i32_20","[rid]_24","[rid]_40","[rid]_56"
0,"None",0,0,0,100,[],[],[]
1,"Maps",40,40,20,0,"[0,1,2,3,4,5,6,7,8,9,10]",[],[]
2,"MapsNoTerrainFeatures",40,40,20,0,"[0,1,2,3,4,6,7,8]",[],[]
3,"MapsMoreEverythingNoTerrainFeatures",0,50,50,0,"[0,1,2,3,4,6,7,8]",[],[]
4,"MapsMoreEverything",0,50,50,0,"[0,1,2,3,4,5,6,7,8,9,10]",[],[]
5,"MapsMoreEssences",25,55,20,0,"[0,1,2,3,4,5,6,7,8,9,10]",[109],[6]
6,"MapsMoreStrongboxes",21,58,21,0,"[0,1,2,3,4,5,6,7,8,9,10]",[58],[1]
7,"MapsMoreShrines",19,60,21,0,"[0,1,2,3,4,5,6,7,8,9,10]",[61],[0]
8,"MapsMoreAzmeriSpirits",21,58,21,0,"[0,1,2,3,4,5,6,7,8,9,10]",[58],[8]
9,"MapsMoreStoneCircles",33,46,21,0,"[0,1,2,3,4,5,6,7,8,9,10]",[100],[9]
