"rownum","Id","Rarity","Stat","NotRarity","NotStat","MapBoss","NotMapBoss","[rid]_74","[string]_90","i32_106","i32_110","i32_114","HASH32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5512,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3393,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5382,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8340,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",3976,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[3976],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1102,1103,1104,1105]","","",[],[],0,1,100,0
14,"IsHarbinger","",8765,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2557,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",10929,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",10930,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",10931,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",10932,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",10933,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",10966,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[10966],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",10967,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11014,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11014],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11034,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11034],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11035,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11035],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11036,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11036],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[622],[],0,1,100,0
35,"IsNotRitualMonster","","","",[12623],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[632],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[633],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[636],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[634],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[635],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[637],[],0,1,100,0
42,"IsBreachMonster","",4956,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7499,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7499],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",12963,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[642],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[643],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
53,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
54,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
55,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
56,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
57,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
58,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
59,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
60,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
61,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
62,"IsBestiaryYellowBeast","",15963,"",[],"","",[],[],0,1,100,0
63,"IsIncursionMemoryLineMonster","",15970,"",[],"","",[],[],0,1,100,0
64,"IsMavenWitnessed","",16216,"",[],"","",[],[],0,1,100,0
65,"IsLastMapBoss","",16288,"",[],"","",[],[],0,1,100,0
66,"IsSanctumFloorBoss","",16555,"",[],"","",[],[],0,1,100,0
67,"IsSanctumGuard","",16574,"",[],"","",[],[],0,1,100,0
68,"IsSanctumBoss","",16639,"",[],"","",[],[],0,1,100,0
69,"IsBreachMonsterCold","","","",[],"","",[993],[],0,1,100,0
70,"IsBreachMonsterFire","","","",[],"","",[994],[],0,1,100,0
71,"IsBreachMonsterLightning","","","",[],"","",[995],[],0,1,100,0
72,"IsBreachMonsterPhysical","","","",[],"","",[996],[],0,1,100,0
73,"IsBreachMonsterChaos","","","",[],"","",[997],[],0,1,100,0
74,"IsBlightMonster","",9648,"",[],"","",[],[],0,1,100,0
75,"IsAfflictionMonster","",10706,"",[],"","",[],[],0,1,100,0
76,"IsSanctumFinalBoss","",16825,"",[],"","",[],[],0,1,100,0
77,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
78,"IsArbiterBoss","",20526,"",[],"","",[],[],0,1,100,0
79,"IsAfflictionDaemon","","","",[],"","",[1110],[],0,1,100,0
