"rownum","rid_0","rid_16","[string]_32"
0,898,1,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_bear.epk""]"
1,898,2,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_shapeshift.epk""]"
2,898,4,"[""Metadata/Effects/Spells/berserk_bloodrage/EPKs/rage_shapeshift.epk""]"
3,2441,2,"[""Metadata/Effects/Spells/werewolf_lunarblessing/EPKs/arcticSkin.epk""]"
4,2603,1,"[""Metadata/Effects/Spells/druid_walkingcalamity/EPKs/activeBuff.epk""]"
5,2437,4,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wyvernBuff_Shock.epk""]"
6,2437,1,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wereBearBuff_Shock.epk""]"
7,2437,2,"[""Metadata/Effects/Spells/druid_shapeshifting/EPKs/wereWolfBuff_Shock.epk""]"
8,2438,4,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/wyvernBuff_Shock.epk""]"
9,2438,1,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/bearBuff_Shock.epk""]"
10,2438,2,"[""Metadata/Effects/Microtransactions/Spells/Wyvern/Lichborn/shapeshift/EPKs/wolfBuff_Shock.epk""]"
