"rownum","Name","ModSellPriceTypesKeys","bool_24"
0,"IncreasedLife",[1],""
1,"FireDamage",[0],""
2,"FireDamageWithBows",[0],""
3,"FireDamageWithBowsJewel",[0],""
4,"ColdDamage",[0],""
5,"LightningDamage",[0],""
6,"EnergyShield",[1],""
7,"EnergyShieldImplicit",[1],""
8,"LocalEnergyShield",[1],""
9,"LocalEnergyShieldPercent",[1],""
10,"LocalEnergyShieldPercentSuffix",[2],""
11,"IncreasedMana",[1],""
12,"LocalIncreasedPhysicalDamagePercentAndAccuracyRating",[1],""
13,"LocalColdDamage",[0],""
14,"LocalColdDamageTwoHand",[0],""
15,"LocalColdDamageRanged",[0],""
16,"PhysicalDamage",[1],""
17,"PhysicalDamageWithBows",[1],""
18,"PhysicalDamageWithBowsJewel",[1],""
19,"LifeLeech",[1],""
20,"LifeLeechLocal",[1],""
21,"LifeLeechPermyriad",[1],""
22,"LifeLeechLocalPermyriad",[1],""
23,"MonsterLifeLeech",[],""
24,"ManaLeech",[1],""
25,"ManaLeechLocal",[2],""
26,"ManaLeechPermyriad",[2],""
27,"ManaLeechLocalPermyriad",[2],""
28,"AdditionalArrows",[4],""
29,"AdditionalAmmo",[4],""
30,"LocalKnockback",[4],""
31,"CannotBeFrozen",[5],""
32,"CannotBeSlowedBelowValue",[],""
33,"ShieldArmourIncrease",[1],""
34,"MaxQuality",[],""
35,"IncreasedShieldBlockPercentage",[1],""
36,"LocalIncreasedBlockPercentage",[1],""
37,"IncreasedShieldBlockPercentageAndStunRecovery",[1],""
38,"IncreasedShieldBlockPercentageAndStunThreshold",[1],""
39,"LocalIncreasedBlockPercentageAndStunThreshold",[1],""
40,"IncreasedBucklerDeflectPercentage",[1],""
41,"IncreasedBucklerDeflectPercentageAndStunRecovery",[1],""
42,"IncreasedBucklerDeflectPercentageAndStunThreshold",[],""
43,"LocalEvasionRatingIncreasePercent",[1],""
44,"LocalEvasionRatingIncreasePercentSuffix",[2],""
45,"LocalEvasionRatingAndStunRecoveryIncreasePercent",[1],""
46,"LocalPhysicalDamageReductionRatingAndStunRecoveryPercent",[1],""
47,"LocalPhysicalDamageReductionRatingPercentAndBlockChance",[1],""
48,"LocalEnergyShieldAndStunRecoveryPercent",[1],""
