"rownum","Id","string_8","Script1","Script2","EffectPack","MiscObject","CorpseSinkVariation","MiscAnimated","bool_96","bool_97","bool_98","i32_99","i32_103","i32_107","[string]_111","f32_127","bool_131","i32_132","i32_136","bool_140"
0,"MicrotransactionBreachHandOnKill","","Delay( 1.75,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/epks/corpse_dragged_down.epk\"" );\r\n} );","Delay( 1.0,\r\n{\r\n  PlayEffect( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/breach/breachhole.ao\"", scale:0.65 );\r\n} );",[],[],4,[],"","","",0,0,0,[],0,"",0,2,""
1,"MicrotransactionSkySwordOnKill","Delay(0.3, {PauseAnimation();}); Delay(2.3, {ResumeAnimation();});","","",[581],[370],"",[],"","","",0,0,0,[],0,"",0,2,""
2,"MicrotransactionBirdsOnRareKill","","","",[582],[371],1,[],"","","",0,0,0,[],0,"",0,2,""
3,"MicrotransactionMoltenLiquifyOnKill","","SetCurrentAnimationSpeed(0.02);","",[588],[],5,[7642],"","","",0,0,0,[],0,"",0,2,""
4,"MicrotransactionBloodAndGoreOnKill","","","",[591],[],6,[7641],"","","",0,0,0,[],0,"",0,2,""
5,"RaijuScourgeLightningOnKill","","","",[],[],"","[7591,7591,7591,7591,7591]","","","",1,7,0,[],0,"",0,2,""
6,"MicrotransactionCordycepBowOnKill","","","","[599,600]",[],"",[],"","","",0,0,2,[],0,"",0,2000,""
7,"MtxIonCannonOnKill","","","",[],[],"",[8856],"","","",0,0,0,[],0,"",0,2000,""
8,"MtxExplodingHeart","","","",[],[],"",[8866],"","","",0,0,0,[],0,"",0,1000,""
9,"MicrotransactionHokoRareFinisher","","","",[],[],"",[8721],"","","",0,0,0,[],0,"",0,400,""
10,"MTXCrabArmourCrabsOnKill","","","",[],"[650,651,652,653]","",[9071],"","","",0,0,0,[],0,"",0,400,""
11,"MicrotransactionChaosOrbFinisher","","","",[],[],"",[9079],"","","",0,0,0,[],0,"",0,400,""
12,"MicrotransactionExaltedOrbFinisher","","","",[],[],"",[9080],"","","",0,0,0,[],0,"",0,400,""
13,"MicrotransactionVaalOrbFinisher","","","",[],[],"",[9081],"","","",0,0,0,[],0,"",0,400,""
14,"MicrotransactionMirrorFinisher","","","",[],[],"",[9082],"","","",0,0,0,[],0,"",0,400,""
15,"DivineArtilleryStrikeRareOnKill","","","",[944],[],"",[9083],"","","",0,0,0,"[""frameupper""]",3,"",0,400,""
16,"LocustOnKillEffect","","","",[945],[],"",[],"","","",0,0,0,[],0,"",0,400,""
17,"MicrotransactionDragonFireOnKill","","Delay( 2.15,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/on_kill/Dragon_Fire/epk/disintegrate_down.epk\"", 1.5 );\r\n\tDelay( 1.5,\r\n\t{\r\n\t\tHideAllMeshSegments();\r\n\t} );\r\n} );","",[],[655],"",[],"","","",0,0,0,"[""frameupper""]",2,"",0,600,1
18,"MicrotransactionGuillotineExecutioner","","","",[],[],"",[9100],"","","",0,0,0,[],0,"",0,400,""
19,"MicrotransactionBreachClap","","","",[950],[],"",[9108],"","","",0,0,0,"[""frameupper""]",1.2,"",1100,400,""
20,"MicrotransactionEmpoweredBreachlordMantraofDestruction","","","",[],[],"",[9149],"","","",0,0,0,"[""frameupper""]",0,"",0,400,""
21,"MicrotransactionHusbandWife","","","",[990],[679],"",[],"","","",0,0,0,"[""frameupper""]",2.5,"",2100,400,""
22,"MicrotransactionQueenofFilth","","","",[1038],[700],"",[],"","","",0,0,0,"[""frameupper""]",1.5,"",1500,400,1
23,"MicrotransactionBrambleGhastTentacle","","","",[1035],[722],"",[],"","","",0,0,0,"[""grp_chest""]",0.25,"",1450,400,""
24,"MicrotransactionKetzuli","","","",[1172],[],"",[9367],"","","",0,0,0,"[""frameupper""]",2,"",1650,400,1
25,"MicrotransactionCrueltyFinisher","","","",[],[],7,[9500],"","","",0,0,0,"[""frameupper""]",0.75,"",0,0,""
26,"MicrotransactionIceShatterFinisher","","","",[1061],[],"",[9512],"","","",0,0,0,"[""frameupper""]",2,"",0,400,""
