"rownum","Id","MiscAnimated","f32_24","PreloadGroupsKeys","i32_44"
0,"SoulEaterBeam",288,200,[],3
1,"VaalOversoulBeam",103,435,[],4
2,"AtziriOversoulBeam",104,435,[],4
3,"Arc",2138,508.41,[],4
4,"PietyArc",177,508.41,[],4
5,"GuardianArc",176,145,[],4
6,"ArcPurpleMTX",1211,508.41,[],4
7,"SearingBond",199,500,[],4
8,"SearingBondGreen",203,500,[],4
9,"SearingBondBlue",453,500,[],4
10,"PulseBeamFire",463,500,[1],4
11,"PulseBeamCold",464,500,[1],4
12,"PulseBeamLightning",465,500,[1],4
13,"BallLightningBeam",164,145,[],4
14,"SummonStormsBeam",476,200,[],4
15,"AnimatedGuardianBeam",482,435,[1],4
16,"PhylacteralLinkBeam",484,435,[1],4
17,"ChillingBondBeam",205,500,[],4
18,"SeawitchLightningBeam",316,500,[],4
19,"BallLightningBeamPlayer",397,195,[],4
20,"BallLightningGroundBeam",165,145,[],4
21,"InfernalSwarmBeam",390,200,[],4
22,"ColdChargedBeam",513,500,[],4
23,"CorruptedBallLightningBeam",535,145,[],4
24,"CorruptedLightningBeam",536,300,[],4
25,"ElementalStrikeLightningBeam",603,508.41,[],4
26,"TempestShieldBeam",607,508.41,[],4
27,"EyeBallLightningBeam",614,145,[],4
28,"StaticTetherBolt",658,145,[],4
29,"StormCloudBeam",688,500,[],4
30,"VinktarLightningBond",316,500,[],4
31,"IzaroGargoyleBeam",866,500,[],4
32,"LightningGolemOrbBeam",874,145,[],4
33,"PerandusChestBeam",901,200,[4],4
34,"GoddessBeam",991,500,[],4
35,"MinotaurArcTrapBeam",1016,508.41,[],4
36,"ZanaDisruptionBeam",1062,500,[],4
37,"FireBeam",1084,290,[],4
38,"SkeletalChainsBeam",1103,280,[],4
39,"BreachLightningBeam",1107,604,[],4
40,"SolarisBackflipBeam",1159,580,[],4
41,"SolarisSkyBeamBeam",1160,300,[],4
42,"AvariusDivineBeam",1173,710,[],4
43,"TukohamaShieldBeam",1179,500,[],4
44,"BrutusChainBeam",1193,500,[],4
45,"ShavronneLevitationBeam",1194,500,[],4
46,"ShavronneEmpoweringBeam",1195,500,[],4
47,"FireBeamMonster",1204,290,[],4
48,"TemplarBallLightningBeam",1208,145,[],4
49,"TemplarBallLightningGroundBeam",1209,100,[],4
50,"KitavaBeam",1294,800,[],4
51,"RighteousFireSacrificeBeam",453,500,[],4
52,"SpiderGodLaserBeam",1329,200,[],4
53,"SignOfPurityBeam",1335,600,[],4
54,"ArakaaliLaserBeam",1378,100,[],4
55,"SpecialBeamCannon",1441,700,[],4
56,"FireBeamDivine",1449,290,[],4
57,"InfernalSwarmBeamCold",1469,200,[],4
58,"SinBeam",1524,600,[],4
59,"SinDeathBeam",1526,600,[],4
60,"InnocenceDeathBeam",1528,600,[],4
61,"KitavaBeamBallBeam",1542,350,[],4
62,"GeneralAdusCharge",1549,500,[],4
63,"StoneGaze",1573,500,[],4
64,"HarbingerChill",1574,500,[],4
65,"HarbingerShock",1575,500,[],4
66,"HarbingerSpecialBeamCannon",1581,700,[],4
67,"HarbingerSkyBeamBeam",1583,300,[],4
68,"LightningTendrilsChannelledBeam",1591,1050,[],4
69,"StormCloudBeamCelestial",1607,400,[],4
70,"UnholyTrioBallLightningBolt",1611,150,[],4
71,"UnholyTrioBallLightningGroundBolt",1611,150,[],4
72,"BallLightningCelestialBeam",1616,145,[],4
73,"SpiritChargeBeam",1647,600,[],4
74,"KitavaBeamBallBeamLightning",1731,350,[],4
75,"ElderGuardianLightningBeam",1738,1050,[],4
76,"ElderGuardianLightningBoltBeam",1741,1050,[],4
77,"ElderGuardianLightningDegenBeam",1743,1070,[],4
78,"ElderGuardianChaosVineBeam",1764,300,[],3
79,"AbyssLichTravelBeam",1797,1200,[],4
80,"ToraRope",1836,319.31,[],4
81,"FireBeamStygian",1839,290,[],4
82,"VilentaBeam",1876,510,[],4
83,"VilentaRageBeam",1889,500,[],4
84,"NemesisConstrictingGraspVine",1896,300,[],3
85,"BestiarySpiderBossVenomBeam",1873,300,[],4
86,"ColdBeamRetaliation",2018,700,[],4
87,"LightningTowerTrapBeam",1990,450,[],4
88,"AutomatonLightningTowerTrapBeam",1993,450,[],4
89,"IceSiphonTrapBeam",2005,300,[],4
90,"ArchitectHealingTotemBeam",2057,300,[],4
91,"IncursionNovasoulChannelledBeam",2117,510,[],4
92,"IncursionNovasoulMassChannelledBeam",2118,510,[],4
93,"IncursionNovasoulTriggerBeam",2119,435,[],4
94,"IncursionNovasoulMassTriggerBeam",2120,500,[],4
95,"ArchitectBloodBeam",2128,440,[],4
96,"ArcAutomaton",2141,610,[],4
97,"IncursionArcTrapBeam",2207,508.41,[],4
98,"DelveLightBeam",2222,319.31,[],4
99,"FireBeamShaper",2250,500,[],4
100,"FireBeamMachinarium",2264,500,[],4
101,"DelveAbyssLich3ReflectionBeam",2289,500,[],4
102,"DelveAbyssLich3ChannelledBeam",2328,500,[],4
103,"StaticStrikeBeamMoving",2338,600,[],4
104,"StaticStrikeBeamStationary",2339,250,[],4
105,"RainOfSporesVineBeam",2342,300,[],4
106,"RainOfSporesVineBeamBlackLotus",2343,300,[],4
107,"RainOfSporesVineBeamSuffering",2344,300,[],4
108,"DelveBatBeam",2360,500,[],4
109,"DelveAbyssLichTotemPurpleBeam",2425,500,[],4
110,"DelveAbyssSoulTransferBeam",2426,1200,[],4
111,"SulphiteArcBeam",2444,500,[],4
112,"ZanaImmunityShieldBeam",2466,750,[],4
113,"ConduitSigilAttachBeam",2461,500,[],4
114,"ConduitSigilBeamEffect",2463,500,[],4
115,"ProtoVaalMapBossSoul1",2485,400,[],4
116,"ProtoVaalMapBossSoul2",2486,400,[],4
117,"ProtoVaalMapBossSoul3",2487,400,[],4
118,"BetrayalScientistBeam",2505,510,[],4
119,"CataclysmSigilAttachBeam",2527,500,[],4
120,"BetrayalBallistaBeam",2520,700,[],4
121,"BetrayalCartBeam",2531,500,[],4
122,"BetrayalBallistaLaserSight",2537,700,[],4
123,"BetrayalLeoChainBeam",2599,500,[],4
124,"BetrayalCatarinaStaffBeam",2670,800,[45],4
125,"BetrayalBallistaBeamFire",2694,700,[],4
126,"BetrayalBallistaLaserSightFire",2696,700,[],4
127,"BetrayalBallistaBeamCold",2698,700,[],4
128,"BetrayalBallistaLaserSightCold",2700,700,[],4
129,"BetrayalBallistaBeamLightning",2702,700,[],4
130,"BetrayalBallistaLaserSightLightning",2704,700,[],4
131,"BetrayalBallistaBeamMetalPhys",2706,700,[],4
132,"BetrayalBallistaLaserSightMetalPhys",2708,700,[],4
133,"BetrayalBallistaBeamBloodPhys",2710,700,[],4
134,"BetrayalBallistaLaserSightBloodPhys",2712,700,[],4
135,"BetrayalRikerBeamCannon",2718,500,[],4
136,"BetrayalCatarinaAntiBeam1",2722,1100,[45],4
137,"BetrayalCatarinaAntiBeam2",2723,1100,[45],4
138,"BetrayalCatarinaAntiBeam3",2724,1100,[45],4
139,"BetrayalCatarinaAntiBeam4",2725,1100,[45],4
140,"BetrayalCatarinaAntiBeam5",2726,1100,[45],4
141,"BetrayalCatarinaGraveyardBeam",2727,950,[45],4
142,"BetrayalCatarinaSyndicateBeam1",2728,1100,[45],4
143,"BetrayalCatarinaSyndicateBeam2",2729,1100,[45],4
144,"BetrayalCatarinaSyndicateBeam3",2730,1100,[45],4
145,"BetrayalCatarinaSyndicateBeam4",2731,1100,[45],4
