"rownum","Name","PortraitFile","i32_16","i32_20","i32_24","bool_28","i32_29","bool_33"
0,"Kurai","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Kura",0,0,1,"",300,""
1,"Faustus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Faustus",0,0,1,"",300,""
2,"Adiyah","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Adiyah",0,0,1,"",300,""
3,"Whakano","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Whakano",0,0,1,"",300,""
4,"Karst","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Karst",0,0,1,"",300,""
5,"Niles","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Niles",0,0,1,"",300,""
6,"Huck","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Huck",0,0,1,"",300,""
7,"Tibbs","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tibbs",0,0,1,"",300,""
8,"Nenet","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Nenet",0,0,1,"",300,""
9,"Vinderi","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Vinderi",0,0,1,"",300,""
10,"Tullina","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tullina",0,0,1,"",300,""
11,"Gianna","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Gianna",0,0,1,"",300,""
12,"Isla","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Isla",0,0,1,"",300,""
13,"Maven Envoy","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Envoy",0,0,1,"",300,""
14,"Ultimatum Trial Master","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster",0,0,1,"",340,""
15,"Ultimatum Trial Master ANGRY","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster2",0,0,1,"",340,""
16,"Dannig","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Act4Dannig",0,0,1,"",300,""
17,"Gwennen","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Act4Gwennen",0,0,1,"",300,""
18,"Tujen","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Act4Tujen",0,0,1,"",300,""
19,"Rog","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/Act4Rog",0,0,1,"",300,""
20,"Tujen Angry","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tujen",0,0,1,"",300,""
21,"Scourge","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Scourge",0,0,1,"",300,""
22,"Kirac","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Kirac",0,0,1,"",300,""
23,"Divinia","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Valencienne",0,0,1,"",300,""
24,"Cadiro","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Cadiro",0,0,1,"",300,""
25,"Einhar","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Einhar",0,0,1,"",300,""
26,"Renly","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Rendly",-20,0,1,"",280,""
27,"Hooded One NIGHT","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/HoodedOneNIGHT",0,0,1,1,300,""
28,"Una","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Una",0,0,1,"",275,""
29,"Finn","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Finn",0,0,1,"",300,""
30,"Dogtrader","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/Dogtrader",0,0,1,"",285,""
31,"Lachlann","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/TheBitterOne",0,0,1,"",300,""
32,"Shambrin","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Shambrin",0,0,1,1,300,""
33,"Zarka","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Zarka",0,0,1,"",375,""
34,"Asala","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Asala",0,0,1,"",300,""
35,"Asala Demigod","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/DemigodNoNips",0,0,1,"",300,""
36,"Hooded One","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/HoodedOne",0,0,1,1,300,""
37,"Risu","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 2/Risu",0,0,1,"",320,""
38,"Oswald","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Oswald",-20,0,1,1,250,""
39,"Servi","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Servi",0,0,1,1,280,""
40,"Apus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 3/Apus",0,0,1,"",300,""
41,"Iron Count","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/IronCount",0,0,1,"",300,""
42,"Iron Count ARMOURED","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 1/IronCountARMOURED",0,0,1,"",300,""
43,"FourWayFarerStone1","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone01",-190,50,2,"",300,1
44,"FourWayFarerStone2","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone02",-190,82,2,"",300,1
45,"FourWayFarerStone3","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone03",-190,50,2,"",300,1
46,"FourWayFarerStone4","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone04",-190,50,2,"",300,1
47,"FourWayFarerStone5","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone05",-190,60,2,"",300,1
48,"FourWayFarerStone6","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone06",-190,50,2,"",300,1
49,"FourWayFarerStone1Dusty","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Wayfarerstone01Dusty",-190,50,2,"",300,1
50,"Kanu","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/PoE2/Act 4/KanuFirstMate",-20,0,1,"",220,""
