"rownum","Id","rid_8","rid_24","rid_40","i32_56","rid_60","i32_76","rid_80","[rid]_96","[i32]_112"
0,"MicrotransactionBreachHandOnKill","",0,2,-1082227215,"",1,"",[],[]
1,"MicrotransactionSkySwordOnKill","",1,2,-1632239980,"",1,"",[],[]
2,"MicrotransactionBirdsOnRareKill","",2,2,-414153804,"",1,"",[],[]
3,"MicrotransactionMoltenLiquifyOnKill","",3,2,-1810810129,"",1,"",[],[]
4,"MicrotransactionBloodAndGoreOnKill","",4,2,-189694165,"",1,"",[],[]
5,"RaijuScourgeLightningOnKill","",5,1,-1006113272,"",0,"",[],[]
6,"MicrotransactionBloodGolemBeamOnKill","","",3,111394361,0,0,"",[],[]
7,"MicrotransactionCordycepBowOnKill","",6,3,-1853401870,"",0,"",[],[]
8,"MtxIonCannonOnKill","",7,4,1609154388,"",2,"",[],[]
9,"MtxExplodingHeart","",8,2,1675240250,"",1,"",[],[]
10,"MicrotransactionHokoRareFinisher","",9,2,561894318,"",1,"",[],[]
11,"MtxEldritchHungerArmourHelmetKillstreak","","",3,-444187267,"",0,"",[0],[1]
12,"MtxEldritchHungerArmourGlovesKillstreak","","",3,-373218166,"",0,"",[0],[1]
13,"MtxEldritchHungerArmourBootsKillstreak","","",3,-1913726298,"",0,"",[0],[1]
14,"MtxEldritchHungerArmourBodyKillstreak","","",3,1774225589,"",0,"",[0],[1]
15,"MTXCrabArmourCrabsOnKill","",10,1,793311404,"",0,"",[],[]
16,"MicrotransactionChaosOrbFinisher","",11,2,260879709,"",1,"",[],[]
17,"MicrotransactionExaltedOrbFinisher","",12,2,-587511722,"",1,"",[],[]
18,"MicrotransactionVaalOrbFinisher","",13,2,-1664522803,"",1,"",[],[]
19,"MicrotransactionMirrorFinisher","",14,2,-2028515942,"",1,"",[],[]
20,"DivineArtilleryStrikeRareOnKill","",15,2,-1336172176,"",1,"",[],[]
21,"LocustOnKillEffect","",16,2,-16813829,"",1,"",[],[]
22,"MicrotransactionDragonFireOnKill","",17,2,-893620649,"",1,"",[],[]
23,"MicrotransactionGuillotineExecutioner","",18,4,-1826060642,"",2,"",[],[]
24,"MicrotransactionBreachClap","",19,2,1193827007,"",1,"",[],[]
25,"MicrotransactionMantraOfDestructionBreachlordEmpoweredKill","",20,7,-1939895216,"",1,"",[],[]
26,"MicrotransactionHusbandWife","",21,2,-1544402181,"",1,"",[],[]
27,"MicrotransactionQueenofFilth","",22,2,274914374,"",1,"",[],[]
28,"MicrotransactionBrambleGhastTentacle","",23,2,538725189,"",1,"",[],[]
29,"MicrotransactionKetzuli","",24,2,780828281,"",1,"",[],[]
30,"MicrotransactionCrueltyFinisher","",25,4,1337405944,"",2,"",[],[]
31,"MicrotransactionDeathSoulstealerFinisher","",26,4,411120179,"",2,"",[],[]
32,"MicrotransactionSoulCoaster","",27,4,-1478418318,"",2,"",[],[]
33,"MicrotransactionPhrecianMagistrate","",28,8,-2054636947,"",0,22700,[],[]
34,"MicrotransactionJusticeUniqueFinisher","",29,4,-1538338315,"",2,"",[],[]
