"rownum","Id","bool_8","bool_9","Mainhand_AnimationKey","Offhand_AnimationKey","bool_26","Stat","AnimationStart","bool_51","AnimationEnd","[row]_60","bool_76","i32_77","bool_81","row_82","[row]_90"
0,"Idle",1,"","","","","","","","",[],"",2,"","",[]
1,"Melee","","","",3,"","","","","",[2],"",7,"","",[]
2,"MeleeWithStep","","","","","","","","","",[],"",7,"","",[]
3,"OffMelee","","",1,"","","","","","",[],"",7,"","",[]
4,"Run",1,"","","","",15422,"","","",[],"",3,"","",[]
5,"TakeHit","","","","","","","","","",[],1,7,"","",[]
6,"Death",1,"","","","","","","","",[],"",4,"","",[]
7,"Stomp","","","","","","","","","",[],"",7,"","",[]
8,"Impale","","","","","","","","","",[],"",7,"","",[]
9,"Cleave","","","","","","","","","",[],"",7,"","",[]
10,"Charge",1,"","","","","",135,"",11,[12],"",7,"","",[]
11,"ChargeEnd","","","","","","","","","",[],"",7,"","",[]
12,"ChargeEndAlt","","",11,"","","","","","",[],"",7,"","",[]
13,"GroundSlam","",1,"",128,"","","","","",[],"",7,"","",[]
14,"LeapSlam","",1,"",129,"","","","","","[15,214,215]","",7,"","",[]
15,"LeapSlamNear","","",14,"","","","","","",[],"",7,"","",[]
16,"MoltenCrash","","","","","","","","","","[17,18,19]","",7,"",20,[]
17,"MoltenCrashNear","","",16,"","","","","","",[],"",7,"",21,[]
18,"MoltenCrashMoving","","","","","","","","","",[],"",7,"",22,[]
19,"MoltenCrashMovingNear","","","","","","","","","",[],"",7,"",23,[]
20,"ShapeshiftMoltenCrash","","",778,"","","","","","",[],"",7,"","",[]
21,"ShapeshiftMoltenCrashNear","","",778,"","","","","","",[],"",7,"","",[]
22,"ShapeshiftMoltenCrashMoving","","",778,"","","","","","",[],"",7,"","",[]
23,"ShapeshiftMoltenCrashMovingNear","","",778,"","","","","","",[],"",7,"","",[]
24,"ChallengersAscent","","","","","","","","","",[],"",7,"","",[]
25,"EmpyreanDescent","","","","","","","","","",[],"",7,"","",[]
26,"DoubleStrike","","","",130,"","","","","",[],"",7,"","",[]
27,"DoubleSlash","","","","","","","","","",[],"",7,"","",[]
28,"DoubleSlashOffhand","","",29,"","","","","","",[],"",7,"","",[]
29,"DoubleSlashMainhand","","","",28,"","","","","",[],"",7,"","",[]
30,"Sweep","","","","","","","","","",[],"",7,"","",[]
31,"SpellProjectile","","",33,"","",15147,"","","",[],"",7,"","",[]
32,"SpellProjectileUpward","","",31,"","","","","","",[],"",7,"","",[]
33,"SpellAreaOfEffect","","","","","","","","","",[],"",7,"","",[]
34,"SpellBuff","","","","","","","","","",[],"",7,"","",[]
35,"SpellProjectileFire","","",31,"","","","","","",[],"",7,"","",[]
36,"SpellProjectileCold","","",31,"","","","","","",[],"",7,"","",[]
37,"SpellProjectileLightning","","",31,"","","","","","",[],"",7,"","",[]
38,"SpellProjectileChaos","","",31,"","","","","","",[],"",7,"","",[]
39,"SpellProjectileUpwardFire","","",32,"","","","","","",[],"",7,"","",[]
40,"SpellProjectileUpwardCold","","",32,"","","","","","",[],"",7,"","",[]
41,"SpellProjectileUpwardLightning","","",32,"","","","","","",[],"",7,"","",[]
42,"SpellProjectileUpwardChaos","","",32,"","","","","","",[],"",7,"","",[]
43,"SpellAreaOfEffectFire","","",35,"","","","","","",[],"",7,"","",[]
44,"SpellAreaOfEffectCold","","",36,"","","","","","",[],"",7,"","",[]
45,"SpellAreaOfEffectLightning","","",37,"","","","","","",[],"",7,"","",[]
46,"SpellAreaOfEffectChaos","","",38,"","","","","","",[],"",7,"","",[]
47,"SpellNova","","",33,"","","","","","",[],"",7,"","",[]
48,"SpellNovaFire","","",43,"","","","","","",[],"",7,"","",[]
49,"SpellNovaCold","","",44,"","","","","","",[],"",7,"","",[]
50,"SpellNovaLightning","","",45,"","","","","","",[],"",7,"","",[]
51,"SpellNovaChaos","","",46,"","","","","","",[],"",7,"","",[]
52,"SpellBuffFire","","","","","","","","","",[],"",7,"","",[]
53,"SpellBuffCold","","","","","","","","","",[],"",7,"","",[]
54,"SpellBuffLightning","","","","","","","","","",[],"",7,"","",[]
55,"SpellBuffChaos","","","","","","","","","",[],"",7,"","",[]
56,"Throw","","","",123,"","","","","",[],"",7,"","",[]
57,"Flurry","",1,"","","","","","","",[],"",7,"","",[]
58,"LayTrap","","","","","","","","","",[],"",7,"","",[]
59,"LayTotem","","",58,"","","","","","",[],"",7,"","",[]
60,"LayBallista","","",58,"",1,"","","","",[],"",7,"","",[]
61,"Emerge","","","","","","","","","",[],"",7,"","",[]
62,"DualStrike","","","","","","","","","",[],"",7,"","",[]
63,"Snipe","","","","","","","","","",[],"",7,"","",[]
64,"SnipeChannel",1,"",93,"","","","","",65,[497],"",7,"","",[]
65,"SnipeChannelEnd","","",116,"","","","","","",[],"",7,"","",[]
66,"Block","","","","","","","","","",[],"",7,"","",[]
67,"GlacialHammer","","","",68,"","","","","",[],"",7,"","",[]
68,"OffGlacialHammer","","",67,"","","","","","",[],"",7,"","",[]
69,"Emerge2","","","","","","","","","",[],"",7,"","",[]
70,"Emerge3","","","","","","","","","",[],"",7,"","",[]
71,"HeavyStrike","","","",72,"","","","","",[],"",7,"","",[]
72,"OffHeavyStrike","","",71,"","","","","","",[],"",7,"","",[]
