"rownum","BaseItemType","ItemClass","Stats","StatsValues"
0,676,22,[1378],[5]
1,677,25,[152],[12]
2,678,79,[3223],[10]
3,679,22,[83],[15]
4,680,22,[9533],[10]
5,681,25,[20200],[50]
6,682,22,[19368],[1]
7,683,25,[418],[8]
8,684,26,[19388],[10]
9,685,24,[146],[8]
10,686,24,[14566],[2]
11,649,24,[132],[30]
12,649,79,[132],[30]
13,676,32,[18038],[8]
14,677,32,[18027],[30]
15,678,32,[18039],[8]
16,679,32,[18041],[14]
17,680,32,[18042],[14]
18,681,32,"[18034,18035]","[1,40]"
19,682,32,[18044],[480]
20,683,32,"[18028,18029]","[12,18]"
21,684,32,[18043],[8]
22,685,32,[16264],[10]
23,686,32,[18450],[30]
24,621,23,[22105],[-6]
25,622,23,[170],[5]
26,623,24,[1270],[-40]
27,624,25,[150],[2]
28,625,25,[20470],[20]
29,627,24,[131],[50]
30,628,22,[9536],[15]
31,629,22,[5940],[20]
32,630,22,[210],[8]
33,631,13,[167],[1]
34,633,22,[11254],[20]
35,637,22,"[29,30]","[5,12]"
36,638,24,[1906],[10]
37,639,22,[69],[8]
38,641,22,[11329],[15]
39,642,25,[23042],[10]
40,643,25,[3413],[5]
41,644,24,[16090],[1]
42,645,25,[22820],[6]
43,650,25,"[209,3223]","[8,8]"
44,651,25,[7006],[4]
45,652,23,"[2005,3247]","[15,15]"
46,656,23,[19253],[10]
47,656,25,[8946],[6]
48,657,25,[4240],[-4]
49,658,13,[168],[20]
50,660,32,[22682],[40]
51,646,25,[22757],[30]
52,647,23,[22758],[30]
53,648,22,[18987],[30]
54,663,24,[117],[3]
55,664,25,[121],[3]
56,666,22,[945],[1]
57,667,25,[946],[1]
58,668,23,[947],[1]
59,669,22,[19850],[10]
60,670,23,[9902],[25]
61,662,25,[20071],[20]
62,671,23,[18495],[-15]
63,672,24,[96],[20]
64,672,26,[96],[20]
65,687,25,[23726],[1]
66,687,24,[23727],[2]
67,687,23,[23728],[1]
68,688,24,[434],[90]
69,688,22,[23043],[25]
70,688,23,[792],[10]
71,689,25,[23729],[1]
72,689,22,[9368],[40]
73,689,23,[23730],[15]
74,690,25,[23731],[1]
75,690,22,[23732],[1]
76,690,24,[17753],[3]
