"rownum","Type","MapIcon","Animation","f32_48","Icon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,0,183,6814,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGeneric2","Generic","Générique","Generisch","一般","일반","Genérico","Разные предметы","Genéricas","ทั่วไป","一般"
1,1,177,6815,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Moeda","Валюта","Objetos monetarios","เงินตรา","通貨"
2,2,192,6816,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardUniques","Uniques","Objets uniques","Einzigartige Gegenstände","ユニーク","고유 아이템","Únicos","Уникальные предметы","Únicos","ยูนิค","傳奇"
3,3,182,6817,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardGems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石"
4,4,186,6818,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖"
5,5,191,6819,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Trinkets","Babioles","Schmuck","宝飾品","장신구","Bugigangas","Украшения","Abalorios","เครื่องประดับ","飾品"
6,6,174,6820,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour","Pièces d'armure","Rüstung","防具","방어구","Armadura","Доспехи","Piezas de armadura","เสื้อเกราะ","護甲"
7,7,193,6821,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon","Armes","Waffen","武器","무기","Arma","Оружие","Armas","อาวุธ","武器"
8,8,179,6822,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardEssences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓"
9,9,181,6823,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFragments","Fragments","Fragments","Fragmente","フラグメント","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片"
10,10,189,6824,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardScarabs","Scarabs","Scarabées","Skarabäen","スカラベ","갑충석","Escaravelhos","Скарабеи","Escarabajos","สคารับ","聖甲蟲"
11,11,185,6825,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLabyrinth","Labyrinth","Labyrinthe","Labyrinth","ラビリンス","미궁","Labirinto","Лабиринт","Laberinto","เขาวงกต","帝王迷宮"
12,12,178,6826,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDivination","DivinationCards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡"
13,13,173,6827,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardAbyss","Abyss","Abysse","Abyss","アビス","심연","Abismo","Бездна","Abyss","อะบิส","深淵"
14,14,184,6828,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardHarbinger","Harbinger","Précurseur","Harbinger","ハービンジャー","선구자","Emissário","Предвестник","Harbinger","ฮาร์บินเจอร์","神諭"
15,15,176,6829,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBreach","Breach","Brèche","Breach","ブリーチ","균열","Fenda","Разлом","Breach","บรีช","裂痕"
16,16,180,6830,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardFossils","Fossils","Fossiles","Fossilien","フォッシル","화석","Fósseis","Ископаемые","Fósiles","ฟอสซิล","化石"
17,17,190,6831,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLegion","Legion","Légion","Legion","リージョン","군단","Legião","Легион","Legion","กองพัน","戰亂"
18,18,190,6832,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBlight","Blight","Infestation","Blight","ブライト","역병","Infestação","Скверна","Blight","ไบล์ท","凋落"
19,19,190,6833,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMetamorph","Metamorphosis","Métamorphe","Metamorph","メタモルフ","변형","Metamorfose","Метаморф","Metamorph","เมตามอร์ฟ","鍊魔"
20,20,190,6834,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconExpedition","Expedition","Expédition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedition","กองสำรวจ","死境探險"
21,21,190,6835,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconHeist","Heist","Casse","Heist","ハイスト","강탈","Assalto","Кража","Heist","โจรกรรม","劫盜"
22,22,190,6836,3,"Art/2DArt/UIImages/InGame/Archnemesis/RewardIconRitual","Ritual","Rituel","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀"
23,23,190,6837,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Delirium","Délire","Delirium","デリリウム","환영","Delírio","Делириум","Delirium","เดลิเรียม","譫妄"
24,24,190,6838,3,"Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Sentinel","Sentinel","Sentinel","センチネル","파수꾼","Sentinela","Дозор","Sentinel","หุ่นอารักษ์","守望號令"
