"rownum","Item","Category","SubCategory","bool_48","EnabledInChallengeLeague","GoldPurchaseFee","bool_54","bool_55"
0,24,0,0,1,1,20,"",1
1,25,0,0,1,1,60,"",1
2,26,0,0,1,1,180,"",1
3,13,0,0,1,1,50,"",1
4,14,0,0,1,1,150,"",1
5,15,0,0,1,1,450,"",1
6,21,0,0,1,1,120,"",1
7,22,0,0,1,1,360,"",1
8,23,0,0,1,1,1000,"",1
9,18,0,0,1,1,120,"",1
10,19,0,0,1,1,360,"",1
11,20,0,0,1,1,1000,"",1
12,3,0,0,1,1,160,"",1
13,4,0,0,1,1,500,"",1
14,5,0,0,1,1,1500,"",1
15,52,0,0,1,1,160,"",1
16,9,0,0,1,1,200,"",1
17,36,0,0,1,1,800,"",1
18,10,0,0,1,1,1000,"",1
19,196,0,0,1,1,1000,"",1
20,35,0,0,1,1,1000,"",1
21,203,0,0,1,1,1000,"",1
22,8,0,0,1,1,6000,"",1
23,7,0,0,1,1,25000,"",1
24,5492,0,0,1,1,2500,"",1
25,32,0,2,1,1,200,"",1
26,33,0,2,1,1,600,"",1
27,34,0,2,1,1,1000,"",1
28,41,0,4,1,1,4,"",1
29,213,0,4,1,1,12,"",1
30,215,0,4,1,1,100,"",1
31,44,0,4,1,1,100,"",1
32,6,0,1,1,1,250,"",1
33,0,0,1,1,1,500,"",1
34,1,0,1,1,1,500,"",1
35,28,0,1,1,1,750,"",1
36,29,0,1,1,1,1000,"",1
37,2,0,3,1,1,1,"",1
38,87,11,10,1,1,50,"",1
39,88,11,10,1,1,50,"",1
40,89,11,10,1,1,50,"",1
41,90,11,10,1,1,70,"",1
42,91,11,10,1,1,60,"",1
43,145,11,10,1,1,60,"",1
44,92,11,10,1,1,60,"",1
45,149,11,10,1,1,60,"",1
46,93,11,10,1,1,60,"",1
47,153,11,10,1,1,60,"",1
48,94,11,10,1,1,90,"",1
49,165,11,10,1,1,90,"",1
50,95,11,10,1,1,80,"",1
51,96,11,10,1,1,80,"",1
52,97,11,10,1,1,100,"",1
53,157,11,10,1,1,100,"",1
54,98,11,10,1,1,100,"",1
55,135,11,10,1,1,100,"",1
56,161,11,10,1,1,100,"",1
57,99,11,11,1,1,100,"",1
58,100,11,11,1,1,100,"",1
59,101,11,11,1,1,100,"",1
60,102,11,11,1,1,140,"",1
61,103,11,11,1,1,120,"",1
62,146,11,11,1,1,120,"",1
63,104,11,11,1,1,120,"",1
64,150,11,11,1,1,120,"",1
65,105,11,11,1,1,120,"",1
66,154,11,11,1,1,120,"",1
67,106,11,11,1,1,180,"",1
68,166,11,11,1,1,180,"",1
69,107,11,11,1,1,160,"",1
70,108,11,11,1,1,160,"",1
71,109,11,11,1,1,200,"",1
72,158,11,11,1,1,200,"",1
73,110,11,11,1,1,200,"",1
74,136,11,11,1,1,200,"",1
75,162,11,11,1,1,200,"",1
76,111,11,12,1,1,300,"",1
77,112,11,12,1,1,300,"",1
78,113,11,12,1,1,300,"",1
79,122,11,12,1,1,330,"",1
80,115,11,12,1,1,370,"",1
81,147,11,12,1,1,370,"",1
82,116,11,12,1,1,370,"",1
83,151,11,12,1,1,370,"",1
84,117,11,12,1,1,370,"",1
85,155,11,12,1,1,370,"",1
86,114,11,12,1,1,410,"",1
87,119,11,12,1,1,450,"",1
88,120,11,12,1,1,450,"",1
89,118,11,12,1,1,500,"",1
90,167,11,12,1,1,500,"",1
91,121,11,12,1,1,500,"",1
92,159,11,12,1,1,500,"",1
93,137,11,12,1,1,500,"",1
94,163,11,12,1,1,500,"",1
95,123,11,13,1,1,1000,"",1
96,124,11,13,1,1,1000,"",1
97,125,11,13,1,1,1000,"",1
98,126,11,13,1,1,1000,"",1
99,127,11,13,1,1,1000,"",1
100,148,11,13,1,1,1000,"",1
101,128,11,13,1,1,1000,"",1
102,152,11,13,1,1,1000,"",1
103,129,11,13,1,1,1000,"",1
104,156,11,13,1,1,1000,"",1
105,130,11,13,1,1,1000,"",1
106,168,11,13,1,1,1000,"",1
107,131,11,13,1,1,1000,"",1
108,132,11,13,1,1,1000,"",1
109,133,11,13,1,1,1000,"",1
110,160,11,13,1,1,1000,"",1
111,134,11,13,1,1,1000,"",1
112,138,11,13,1,1,1000,"",1
113,164,11,13,1,1,1000,"",1
114,139,11,14,1,1,1000,"",1
115,140,11,14,1,1,1000,"",1
116,141,11,14,1,1,1000,"",1
117,142,11,14,1,1,1000,"",1
118,143,11,14,1,1,1000,"",1
119,144,11,14,1,1,1000,"",1
120,193,18,18,1,1,3,"",1
121,906,18,18,1,1,1000,"",1
122,3791,18,18,1,1,1500,"",1
123,177,15,15,1,1,3,"",1
124,1111,18,20,1,1,100,"",1
125,1112,18,20,1,1,140,"",1
126,1113,18,20,1,1,180,"",1
127,1114,18,20,1,1,220,"",1
128,1115,18,20,1,1,300,"",1
129,1116,18,20,1,1,400,"",1
130,1117,18,20,1,1,520,"",1
131,1118,18,20,1,1,700,"",1
132,1119,18,20,1,1,920,"",1
133,1120,18,20,1,1,1000,"",1
134,1121,18,20,1,1,100,"",1
135,1122,18,20,1,1,140,"",1
136,1123,18,20,1,1,180,"",1
137,1124,18,20,1,1,220,"",1
138,1125,18,20,1,1,300,"",1
139,1126,18,20,1,1,400,"",1
140,1127,18,20,1,1,520,"",1
141,1128,18,20,1,1,700,"",1
142,1129,18,20,1,1,920,"",1
143,1130,18,20,1,1,1000,"",1
144,1131,18,20,1,1,1500,"",1
145,1132,18,20,1,1,1500,"",1
146,1133,18,20,1,1,1500,"",1
147,1134,18,20,1,1,1500,"",1
148,1135,18,20,1,1,1500,"",1
149,1136,18,20,1,1,1500,"",1
150,800,18,18,1,1,1500,"",1
151,277,15,17,1,1,100,"",1
152,278,15,17,1,1,100,"",1
153,279,15,17,1,1,100,"",1
154,288,15,17,1,1,160,"",1
155,281,15,17,1,1,260,"",1
156,282,15,17,1,1,260,"",1
157,283,15,17,1,1,260,"",1
158,280,15,17,1,1,360,"",1
159,285,15,17,1,1,560,"",1
160,286,15,17,1,1,560,"",1
161,284,15,17,1,1,960,"",1
162,287,15,17,1,1,1000,"",1
163,289,15,17,1,1,560,"",1
164,290,15,17,1,1,500,"",1
165,291,15,17,1,1,500,"",1
166,292,15,17,1,1,500,"",1
167,293,15,17,1,1,800,"",1
168,294,15,17,1,1,1300,"",1
169,295,15,17,1,1,1300,"",1
170,296,15,17,1,1,1300,"",1
171,297,15,17,1,1,1800,"",1
172,298,15,17,1,1,2800,"",1
173,299,15,17,1,1,2800,"",1
174,300,15,17,1,1,4800,"",1
175,301,15,17,1,1,5000,"",1
176,302,15,17,1,1,2800,"",1
177,4875,48,49,1,1,180,"",1
178,4876,48,49,1,1,540,"",1
179,4877,48,49,1,1,1500,"",1
180,4878,48,49,1,1,180,"",1
181,4879,48,49,1,1,540,"",1
182,4880,48,49,1,1,1500,"",1
183,4881,48,49,1,1,180,"",1
184,4882,48,49,1,1,540,"",1
185,4883,48,49,1,1,1500,"",1
186,4884,48,49,1,1,540,"",1
187,4885,48,49,1,1,540,"",1
188,4886,48,49,1,1,1500,"",1
189,54,52,0,1,1,250,"",1
190,55,52,0,1,1,250,"",1
191,56,52,0,1,1,250,"",1
192,57,52,0,1,1,250,"",1
193,58,52,0,1,1,250,"",1
194,59,52,0,1,1,250,"",1
195,60,52,0,1,1,250,"",1
196,61,52,0,1,1,250,"",1
197,62,52,0,1,1,250,"",1
198,65,52,0,1,1,250,"",1
199,66,52,0,1,1,250,"",1
200,67,52,0,1,1,250,"",1
201,68,52,0,1,1,250,"",1
202,70,52,0,1,1,250,"",1
203,71,52,0,1,1,250,"",1
204,788,52,40,1,1,1500,"",1
205,789,52,40,1,1,1500,"",1
206,790,52,40,1,1,1500,"",1
