"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","HideIfEmpty","Image"
0,"Metadata/Items/Currency/CurrencyDelveCraftingFire",150,530,75,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyDelveCraftingCold",151,334,75,1,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyDelveCraftingLightning",152,629,75,2,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyDelveCraftingPhysical",153,137,75,3,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyDelveCraftingChaos",154,432,75,4,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyDelveCraftingLife",155,727,75,5,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyDelveCraftingDefences",156,235,75,6,1,1,72,"",""
7,"Metadata/Items/Currency/CurrencyDelveCraftingBleedPoison",157,138,173,7,1,1,72,"",""
8,"Metadata/Items/Currency/CurrencyDelveCraftingElemental",158,334,173,8,1,1,72,"",""
9,"Metadata/Items/Currency/CurrencyDelveCraftingCasterMods",159,530,173,9,1,1,72,"",""
10,"Metadata/Items/Currency/CurrencyDelveCraftingAttackMods",160,727,173,10,1,1,72,"",""
11,"Metadata/Items/Currency/CurrencyDelveCraftingMana",161,629,173,11,1,1,72,"",""
12,"Metadata/Items/Currency/CurrencyDelveCraftingSpeed",162,825,173,12,1,1,72,"",""
13,"Metadata/Items/Currency/CurrencyDelveCraftingMinionsAuras",163,39,173,13,1,1,72,"",""
14,"Metadata/Items/Currency/CurrencyDelveCraftingQuality",164,236,173,14,1,1,72,"",""
15,"Metadata/Items/Currency/CurrencyDelveCraftingEnchant",165,432,173,15,1,1,72,"",""
16,"Metadata/Items/Currency/CurrencyDelveCraftingSockets",166,432,271,16,1,1,72,"",""
17,"Metadata/Items/Currency/CurrencyDelveCraftingGemLevel",167,727,369,17,1,1,72,"",""
18,"Metadata/Items/Currency/CurrencyDelveCraftingVaal",168,185,271,18,1,1,72,"",""
19,"Metadata/Items/Currency/CurrencyDelveCraftingAbyss",169,678,271,19,1,1,72,"",""
20,"Metadata/Items/Currency/CurrencyDelveCraftingMirror",170,776,271,20,1,1,72,"",""
21,"Metadata/Items/Currency/CurrencyDelveCraftingCorruptEssence",171,137,369,21,1,1,72,"",""
22,"Metadata/Items/Currency/CurrencyDelveCraftingRandom",172,87,271,22,1,1,72,"",""
23,"Metadata/Items/Currency/CurrencyDelveCraftingLuckyModRolls",173,530,271,23,1,1,72,"",""
24,"Metadata/Items/Currency/CurrencyDelveCraftingSellPrice",174,333,271,24,1,1,72,"",""
25,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade1",183,0,462,25,1,1,72,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator1x1"
26,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade2",184,0,576,26,1,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator2x1"
27,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade3",185,108,500,27,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPowerful2x2"
28,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade4",186,640,500,29,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPrime2x2"
29,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll1",187,223,746,31,1,1,72,"",""
30,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll2",188,323,721,32,1,2,64,"",""
31,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll3",189,422,721,33,2,2,64,"",""
32,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll4",190,578,721,35,2,2,64,"",""
33,"GenericSlot1","",322,399,37,2,4,64,"",""
34,"GenericSlot2","",486,399,39,2,4,64,"",""
