"rownum","Id","ExtraFeature","ExpeditionFaction","MinLevel","MaxLevel","i32_48","Area","ExpeditionAreas","i32_84","bool_88","UnearthAchievements"
0,"Boss_Olroth",3,"",79,100,1,386,[],0,1,[]
1,"Boss_Uhtred",4,"",79,100,1,387,[],0,1,[]
2,"Kalguur",5,"",65,100,1,381,[],5000,"",[]
3,"Cavern",6,"",65,100,1,380,"[4,7,1,3]",10000,"",[]
4,"Precursor",7,"",65,100,1,391,[5],5000,"",[]
5,"Lair",8,"",65,100,1,392,"[10,2,11,8,11,8]",10000,"",[]
6,"Volcano",9,"",65,100,1,394,"[7,9,2]",10000,"",[]
7,"Siren",10,"",65,100,1,393,"[1,6,4]",7000,"",[]
8,"Vein",11,"",65,100,1,395,"[9,7,2,10]",10000,"",[]
9,"Catacomb",15,"",65,100,1,399,"[11,8]",7000,"",[]
10,"Fissure",14,"",65,100,1,398,"[2,8,11,10]",10000,"",[]
11,"Sanctuary",13,"",65,100,1,397,"[1,4,6]",7000,"",[]
12,"Laboratory",12,"",65,100,1,396,"[3,2]",7000,"",[]
13,"Pond",16,"",79,100,1,400,[],100,"",[]
