"rownum","BaseItemType","Tier","Achievements","UseType","NameShort","NameShort (French)","NameShort (German)","NameShort (Japanese)","NameShort (Korean)","NameShort (Portuguese)","NameShort (Russian)","NameShort (Spanish)","NameShort (Thai)","NameShort (Traditional Chinese)","EnchantedMod"
0,1000,1,[],0,"Ire","Ire","Zorn","怒り","진노","Ira","Гнев","Ira","Ire","怒意",4668
1,1001,2,[],0,"Guilt","Culpabilité","Schuld","罪悪感","죄책감","Culpa","Вина","Culpa","Guilt","罪惡",4669
2,1002,3,[],0,"Greed","Cupidité","Gier","貪欲","탐욕","Ganância","Жадность","Codicia","Greed","貪婪",4670
3,1003,4,[],0,"Paranoia","Paranoïa","Paranoia","偏執症","집착","Paranóia","Паранойя","Paranoia","Paranoia","偏執",4671
4,1004,5,[],0,"Envy","Jalousie","Neid","嫉妬","선망","Inveja ","Зависть","Envidia","Envy","忌妒",4672
5,1005,6,[],0,"Disgust","Dégoût","Ekel","嫌悪","혐오","Nojo","Отвращение","Asco","Disgust","厭惡",4673
6,1006,7,[],0,"Despair","Désespoir","Verzweiflung","絶望","절망","Desespero","Отчаяние","Desesperación","Despair","絕望",4674
7,1007,8,[],0,"Fear","Peur","Furcht","恐怖","두려움","Medo","Страх","Miedo","Fear","恐懼",4675
8,1008,9,[],0,"Suffering","Souffrance","Leid","苦悩","고통","Sofrimento","Страдание","Sufrimiento","Suffering","苦難",4676
9,1009,10,[],0,"Isolation","Isolement","Isolation","孤立感","고립","Isolamento","Отчуждение","Aislamiento","Isolation","孤立",4677
