"rownum","Id","WieldableClasses","String"
0,"Unarmed",[0],""
1,"Any Mace","[5,10]",""
2,"One Hand Mace",[5],""
3,"Two Hand Mace",[10],""
4,"Any Sword","[3,8]",""
5,"One Hand Sword",[3],""
6,"Two Hand Sword",[8],""
7,"Any Axe","[4,9]",""
8,"One Hand Axe",[4],""
9,"Two Hand Axe",[9],""
10,"Any MaceSwordAxe","[5,10,3,8,4,9]",""
11,"One Hand MaceSwordAxe","[5,3,4]",""
12,"Any MaceSwordAxeStaff","[5,10,3,8,4,9,7,16]",""
13,"Any SwordAxe","[3,8,4,9]",""
14,"Dagger",[1],""
15,"Claw",[14],""
16,"DaggerClaw","[1,14]",""
17,"One Hand Sharp","[1,14,3]",""
18,"Any Blunt Weapon","[5,13,10,7,16]",""
19,"Quarterstaff",[16],""
20,"PalmQuaterstaff","[16,0]",""
21,"Any Staff","[7,16]",""
22,"Wand",[2],""
23,"Bow",[6],""
24,"WandBow","[2,6]",""
25,"Spear",[17],""
26,"SpearBow","[17,6]",""
27,"SpearBowCrossbow","[17,6,18]",""
28,"Flail",[20],""
29,"FlailShield","[20,12]",""
30,"Idol",[26],""
31,"Crossbow",[18],""
32,"Shield",[12],8578
33,"Buckler",[21],""
34,"Any Shield","[12,21]",""
35,"Any Melee Weapon","[3,8,4,9,5,10,16,14,1,17,20,26]",8496
36,"Any Dual Wieldable Weapon","[3,8,4,9,5,10,14,1]",""
37,"Any Melee Weapon and Unarmed","[3,8,4,9,5,10,0,16,14,1,17,20,26]",8723
38,"Any Melee One Hand and Unarmed","[3,4,5,14,1,17,20,0]",""
39,"Any Martial Weapon","[3,8,4,9,5,10,16,14,1,17,6,20,18,26]",7369
40,"Any Martial Weapon and Unarmed","[3,8,4,9,5,10,16,14,1,17,6,20,18,0,26]",8147
41,"Nothing",[23],""
42,"Any Thrown Axe","[24,25]",""
43,"Old Energy Blade","[14,1,15,4,5,3,13,7,9,10,8,2,16]",""
44,"Old Puncture","[6,14,1,3,8]",""
45,"Old Sunder","[5,13,7,10,4,9,0,16]",""
46,"Old Endurance Charge Slam","[5,13,7,10,4,9,3,8,0,16]",""
47,"Talisman","[26,0]",""
