"rownum","Id","WieldableClasses","String","i32_40"
0,"Unarmed",[0],"",-1
1,"Any Mace","[5,10]","",-1
2,"One Hand Mace",[5],"",-1
3,"Two Hand Mace",[10],"",-1
4,"Any Sword","[3,8]","",-1
5,"One Hand Sword",[3],"",-1
6,"Two Hand Sword",[8],"",-1
7,"Any Axe","[4,9]","",-1
8,"One Hand Axe",[4],"",-1
9,"Two Hand Axe",[9],"",-1
10,"Any MaceSwordAxe","[5,10,3,8,4,9]","",-1
11,"One Hand MaceSwordAxe","[5,3,4]","",-1
12,"Any MaceSwordAxeStaff","[5,10,3,8,4,9,7,16]","",-1
13,"Any SwordAxe","[3,8,4,9]","",-1
14,"Dagger",[1],"",-1
15,"Claw",[14],"",-1
16,"DaggerClaw","[1,14]","",-1
17,"One Hand Sharp","[1,14,3]","",-1
18,"Any Blunt Weapon","[5,13,10,7,16]","",-1
19,"Quarterstaff",[16],"",-1
20,"PalmQuaterstaff","[16,0]","",-1
21,"Any Staff","[7,16]","",-1
22,"Wand",[2],"",-1
23,"Bow",[6],"",-1
24,"WandBow","[2,6]","",-1
25,"Spear",[17],"",-1
26,"SpearBow","[17,6]","",-1
27,"SpearBowCrossbow","[17,6,18]","",-1
28,"Flail",[20],"",-1
29,"FlailShield","[20,12]","",-1
30,"Crossbow",[18],"",-1
31,"Shield",[12],8583,-1
32,"Buckler",[21],"",-1
33,"Any Shield","[12,21]","",-1
34,"Any Melee Weapon","[3,8,4,9,5,10,16,14,1,17,20,26]",8503,-1
35,"Any Dual Wieldable Weapon","[3,8,4,9,5,10,14,1]","",-1
36,"Any Melee Weapon and Unarmed","[3,8,4,9,5,10,0,16,14,1,17,20,26]",8730,-1
37,"Any Melee One Hand and Unarmed","[3,4,5,14,1,17,20,0]","",-1
38,"Any Martial Weapon","[3,8,4,9,5,10,16,14,1,17,6,20,18,26]",7378,-1
39,"Any Martial Weapon and Unarmed","[3,8,4,9,5,10,16,14,1,17,6,20,18,0,26]",8163,-1
40,"Nothing",[23],"",-1
41,"Any Thrown Axe","[24,25]","",-1
42,"Old Energy Blade","[14,1,15,4,5,3,13,7,9,10,8,2,16]","",-1
43,"Old Puncture","[6,14,1,3,8]","",-1
44,"Old Sunder","[5,13,7,10,4,9,0,16]","",-1
45,"Old Endurance Charge Slam","[5,13,7,10,4,9,3,8,0,16]","",-1
46,"Talisman",[26],"",-1
47,"Unborn Lich",[7],9143,0
