"rownum","MonsterVariety","f32_16","MonsterHeightBracket","i32_36","i32_40"
0,6,68.41,8,0,0
1,7,195.93,2,0,0
2,19,55.62,8,0,0
3,21,190.75,2,0,0
4,22,156.73,2,0,0
5,23,161.12,2,0,0
6,24,191.46,2,0,0
7,25,184.77,2,0,0
8,26,170.6,2,0,0
9,27,190.75,2,0,0
10,28,156.73,2,0,0
11,29,161.12,2,0,0
12,30,191.46,2,0,0
13,31,184.77,2,0,0
14,32,170.6,2,0,0
15,33,169.81,2,0,0
16,34,169.81,2,0,0
17,35,169.81,2,0,0
18,36,0,8,0,0
19,85,100,7,0,0
20,86,158.86,0,0,0
21,88,0,8,0,0
22,113,0,8,0,0
23,114,158.86,0,0,0
24,448,189.21,2,0,0
25,449,189.21,2,0,0
26,451,189.21,2,0,0
27,452,179.92,2,0,0
28,478,0,8,0,0
29,479,0,8,0,0
30,565,184.56,2,0,0
31,115,306.11,4,0,0
32,119,218.95,2,0,0
33,122,218.95,2,0,0
34,124,188.47,2,0,0
35,134,1568.92,5,0,0
36,140,1568.92,5,0,0
37,141,1568.92,5,0,0
38,142,1568.92,5,0,0
39,143,0,8,0,0
40,144,178.46,2,0,0
41,145,153.27,2,0,0
42,146,160.93,2,0,0
43,147,227.91,3,0,0
44,148,227.91,3,0,0
45,149,227.91,3,0,0
46,151,207.9,3,0,0
47,153,207.9,3,0,0
48,154,183.43,2,0,0
49,160,163.78,2,0,0
50,161,277.12,5,0,0
51,165,1835,5,0,0
52,166,0,8,0,0
53,167,1835,5,0,0
54,168,1835,5,0,0
55,169,1835,5,0,0
56,170,62.39,7,0,0
57,171,62.39,7,0,0
58,173,62.39,7,0,0
59,174,62.39,0,0,0
60,176,62.39,7,0,0
61,177,62.39,0,0,0
62,178,181.27,2,0,0
63,179,181.27,2,0,0
64,180,181.27,2,0,0
65,181,181.27,2,0,0
66,190,100,7,0,0
67,191,100,7,0,0
68,192,199.32,2,0,0
69,193,203.47,2,0,0
70,199,199.89,2,0,0
71,200,191.12,2,0,0
72,201,191.12,2,0,0
73,202,191.12,2,0,0
74,205,189.21,2,0,0
75,206,189.21,2,0,0
76,207,65.95,8,0,0
77,209,65.95,7,0,0
78,212,65.95,8,0,0
