"rownum","Level","bool_4","i32_5","i32_9","i32_13","i32_17","i32_21","i32_25","f32_29","i32_33","i32_37","i32_41","i32_45","i32_49","i32_53","f32_57","i32_61","i32_65","i32_69"
0,53,1,22,13,15,25,25,135,0,0,0,100,20,5,7,0,0,0,1036831949
1,54,"",10,6,5,7,7,50,0,0,0,100,20,2,2,0,0,0,1028443341
2,55,"",10,6,5,7,7,50,0,0,0,100,20,2,2,0,0,0,1028443341
3,65,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.3,150,250,1028443341
4,66,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.3,150,250,1028443341
5,67,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.3,150,250,1028443341
6,68,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.3,150,250,1028443341
7,69,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.3,150,250,1028443341
8,70,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.4,150,250,1028443341
9,71,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.4,150,250,1028443341
10,72,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.4,150,250,1028443341
11,73,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.4,150,250,1028443341
12,74,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.4,150,250,1028443341
13,75,"",10,6,5,7,7,50,0.02,0,0,100,15,2,3,0.5,150,250,1028443341
14,76,"",10,6,5,7,7,50,0.03,0,0,100,15,2,3,0.5,150,250,1028443341
15,77,"",10,6,5,7,7,50,0.04,0,0,100,15,2,3,0.5,150,250,1028443341
16,78,"",10,6,5,7,7,50,0.05,0,0,100,15,2,3,0.5,150,250,1028443341
17,79,"",10,6,5,7,7,50,0.06,0,0,100,15,2,3,0.5,150,250,1028443341
18,80,"",10,6,5,7,7,50,0.08,0,0,100,15,2,3,0.5,150,250,1028443341
19,81,"",10,6,5,7,7,50,0.08,0,0,100,15,2,3,0.5,150,250,1028443341
20,82,"",10,6,5,7,7,50,0.08,0,0,100,15,2,3,0.5,150,250,1028443341
21,83,"",10,6,5,7,7,50,0.08,0,0,100,15,2,3,0.5,150,250,1028443341
22,65,1,22,14,15,25,25,135,0,0,0,100,15,5,7,0,0,0,1036831949
23,66,1,22,14,15,25,25,135,0,0,0,100,15,5,7,0,0,0,1036831949
24,67,1,22,14,15,25,25,135,0,0,0,100,15,5,8,0,0,0,1036831949
25,68,1,22,14,15,25,25,135,0,0,0,100,15,5,8,0,0,0,1036831949
26,69,1,22,14,15,25,25,135,0,0,0,100,15,5,9,0,0,0,1036831949
27,70,1,22,14,15,25,25,135,0,0,0,100,15,5,9,0,0,0,1036831949
28,71,1,22,14,15,25,25,135,0,0,0,100,15,5,10,0,0,0,1036831949
29,72,1,22,14,15,25,25,135,0,0,0,100,15,5,10,0,0,0,1036831949
30,73,1,22,14,15,25,25,135,0,0,0,100,15,5,11,0,0,0,1036831949
31,74,1,22,14,15,25,25,135,0,0,0,100,15,6,11,0,0,0,1036831949
32,75,1,22,14,15,25,25,135,0,0,0,100,15,6,12,0,0,0,1036831949
33,76,1,22,14,15,25,25,135,0,0,0,100,15,6,12,0,0,0,1036831949
34,77,1,22,14,15,25,25,135,0,0,0,100,15,6,13,0,0,0,1036831949
35,78,1,22,15,15,25,25,135,0,0,0,100,15,6,13,0,0,0,1036831949
36,79,1,22,15,15,25,25,135,0,0,0,100,15,7,14,0,0,0,1036831949
37,80,1,22,15,15,25,25,135,0,0,0,100,15,7,14,0,0,0,1036831949
38,81,1,22,15,15,25,25,135,0,0,0,100,15,7,14,0,0,0,1036831949
39,82,1,22,15,15,25,25,135,0,0,0,100,15,7,14,0,0,0,1036831949
40,83,1,22,15,15,25,25,135,0,0,0,100,15,7,14,0,0,0,1036831949
