"rownum","Id","u16_8","bool_10","bool_11","bool_12","bool_13"
0,"GroundSlam",19521,1,"","",""
1,"DistanceScaledGroundSlam",9104,1,"","",""
2,"VaalDistanceScaledGroundSlam",51752,1,"","",""
3,"Cleave",19088,1,"","",""
4,"TableCharge",11769,1,"","",""
5,"ShieldCharge",59695,1,"","",""
6,"NewShieldCharge",51811,1,"","",""
7,"NewNewShieldCharge",11200,1,"","",""
8,"EnduringCry",49952,1,"","",""
9,"InspiringCry",29102,1,"","",""
10,"AbyssalCry",13569,1,"","",""
11,"LeapSlam",38777,1,"","",""
12,"DoubleStrike",61472,1,"","",""
13,"VaalDoubleStrikeTwo",34869,1,"","",""
14,"ElementalHit",4253,1,"","",""
15,"DualStrike",64725,1,"","",""
16,"BladeFlurry",33115,1,"","",""
17,"Frenzy",18947,1,"","",""
18,"CausticArrow",33399,1,"","",""
19,"VaalCausticArrow",55064,1,"","",""
20,"Backstab",50533,1,"",1,""
21,"DetonateDead",34927,1,"",1,""
22,"DetonateDeadNew",38390,1,"",1,""
23,"FlickerStrike",25426,1,"","",""
24,"BloodRage",15032,1,"","",""
25,"SplitArrow",13732,1,"","",""
26,"NewColdSnap",15561,1,"","",""
27,"IceNova",10056,1,"","",""
28,"Fireball",43598,1,"","",""
29,"Arc",45360,1,"","",""
30,"RaiseZombie",60579,1,"","",""
31,"RighteousFire",30644,1,"","",""
32,"VaalRighteousFireDuration",11288,1,"","",""
33,"RevivePlayer",35553,1,1,"",""
34,"Melee",45448,1,"","",""
35,"MonsterProjectileWeapon",54337,1,"","",""
36,"CobraLash",602,1,"","",""
37,"BloodChieftainSummonMonkeys",16230,1,"",1,""
38,"SkeletonProjectileFire",10926,1,"",1,""
39,"SkeletonProjectileCold",55279,1,"",1,""
40,"SkeletonProjectileLightning",23207,1,"",1,""
41,"Spark",30809,1,"","",""
42,"IceSpear",20192,1,"","",""
43,"RaiseSpectre",58392,1,"","",""
44,"InfernalBlowNew",53878,1,"","",""
45,"GlacialHammer",51712,1,"","",""
46,"FrostWall",9184,1,"","",""
47,"FrostWallNew",42946,1,"","",""
48,"FreezingPulse",18723,1,"","",""
49,"ShockNova",50531,1,"","",""
50,"GenericMelee",42418,1,"","",""
51,"FuseArrow",41011,1,"","",""
52,"ExplosiveArrow",33779,1,"","",""
53,"TemporalChains",51138,1,"","",""
54,"ElementalWeakness",54405,1,"","",""
55,"DrainEssence",23130,1,"","",""
56,"Enfeeble",1273,1,"","",""
57,"CriticalWeakness",25863,1,"","",""
58,"Vulnerability",20357,1,"","",""
59,"IncaMinionProjectile",5983,1,"",1,""
60,"LightningWarp",24442,1,"","",""
61,"RaiseSkeleton",46427,1,"","",""
62,"HeavyStrike",53955,1,"","",""
63,"RainOfArrows",62475,1,"","",""
64,"ExpandingRainOfArrows",35600,1,"","",""
65,"FireStorm",50283,1,"","",""
66,"LightningStrike",1829,1,"","",""
67,"VaalNewLightningStrike",24168,1,"","",""
68,"LightningShield",24353,1,"","",""
69,"FireShield",51514,1,"","",""
70,"Puncture",42490,1,"","",""
71,"LightningArrow",19630,1,"","",""
72,"VaalLightningArrow",42937,1,"","",""
73,"CastAuraSpeed",49594,1,"",1,""
74,"CastAuraElementalResistances",44706,1,"",1,""
75,"CastAuraLifeRegen",52162,1,"",1,""
76,"CastAuraEnergyShield",31825,1,"",1,""
77,"CastAuraAccuracyAndCrit",2345,1,"",1,""
78,"CastAuraEvasion",35995,1,"",1,""
79,"CastAuraArmour",35562,1,"",1,""
80,"CastAuraFireDamage",35264,1,"",1,""
81,"CastAuraColdDamage",33842,1,"",1,""
82,"CastAuraLightningDamage",33224,1,"",1,""
83,"BurningArrow",1045,1,"","",""
84,"CastAuraManaRegen",7270,1,"",1,""
85,"TrapGroundFire",8658,1,"","",""
86,"TotemTaunt",1915,1,"","",""
87,"ReviveSkeleton",41308,1,"","",""
88,"SuicideExplosion",44554,1,"","",""
89,"SuicideExplosionSelf",40563,1,"","",""
90,"ShadowProjectiles",58859,1,"","",""
91,"IceShot",24146,1,"","",""
92,"VaalIceShot",48504,1,"","",""
93,"ArcticBreath",58521,1,"","",""
94,"BrutusHook",49375,1,"","",""
95,"FireWeakness",16554,1,"","",""
96,"ColdWeakness",5864,1,"","",""
97,"LightningWeakness",5244,1,"","",""
98,"BallLightning",37543,1,"","",""
99,"ExpandingFireCone",32144,1,"","",""
100,"VaalCyclone",48142,1,"","",""
101,"CycloneChannelled",14124,1,"","",""
102,"BirdmanConsumeCorpse",18730,1,"","",""
103,"RootSpiderBurrow",45539,1,"",1,""
104,"RootSpiderEmerge",26214,1,"",1,""
105,"Reave",24009,1,"","",""
106,"Hide",62753,1,"","",""
107,"DelayedBlast",31809,1,"","",""
108,"SmokeMine",4026,1,"","",""
109,"ProximityShield",26988,1,"","",""
110,"ThrownWeaponProjectile",53115,1,"","",""
111,"VaalThrownWeapon",35985,1,"","",""
112,"CastAuraFireResistance",20066,1,"",1,""
113,"CastAuraColdResistance",25003,1,"",1,""
114,"CastAuraLightningResistance",30499,1,"",1,""
115,"CastAuraChaosResistance",58550,1,"",1,""
116,"StormCall",27627,1,"","",""
117,"AttachedStormCall",48518,1,"","",""
118,"VaalStormCall",62531,1,"","",""
119,"ChargedBlast",8367,1,"","",""
120,"FlameblastChannelled",41248,1,"","",""
121,"RepeatingVaalChargedBlast",65299,1,"","",""
122,"VaalChargedBlast",34564,1,"","",""
123,"Barrage",8497,1,"","",""
124,"SummonElemental",3552,1,"",1,""
125,"FlameWhip",50246,1,"","",""
126,"Desecrate",22369,1,"","",""
127,"Upheaval",47442,1,"","",""
128,"AtziriFlameblast",37517,1,"","",""
129,"AtziriFlameblastEmpowered",52007,1,"","",""
130,"SummonMonsters",59434,1,"","",""
131,"SummonStandaloneMapBoss",47560,1,"",1,""
132,"MoltenStrike",43457,1,"","",""
133,"BrutusSpikedGround",47856,1,"","",""
134,"TornadoShotNew",18958,1,"","",""
135,"BrutusGroundSlam",60807,1,"","",""
136,"MonsterProjectileSpell",33319,1,"","",""
137,"Heal",5214,1,"",1,""
138,"HeraldOfAsh",31276,1,"","",""
139,"HeraldOfIce",7197,1,"","",""
140,"HeraldOfThunder",26016,1,"","",""
141,"HeraldOfLight",38691,1,"","",""
142,"Consecrate",54103,1,"","",""
143,"PoachersMark",55937,1,"","",""
144,"SummonSpecificMonsters",50489,1,"",1,""
145,"SummonSpecificMonstersCannotDie",21826,1,"",1,""
146,"LightningTendrilsChannelled",45905,1,"","",""
147,"BatScreech",54983,1,"","",""
148,"VollCharge",36986,1,"","",""
149,"VollSlam",31026,1,"","",""
150,"WaterVortex",19629,1,"","",""
151,"MonsterDodge",35715,1,"","",1
152,"MonsterMortar",35572,1,"","",""
153,"MonsterMortarAttack",5429,1,"","",""
154,"ClusterBurst",19862,1,"","",""
155,"SummonChaosElemental",10207,1,"","",""
156,"SummonIceElemental",37251,1,"","",""
157,"SummonFireElemental",34338,1,"","",""
158,"IceCrash_",21465,1,"","",""
159,"DeathExplode",30653,1,"","",""
160,"MinerExcavateElemental",17793,1,"",1,""
161,"Wait",30862,1,"",1,1
162,"NewShockNova",13964,1,"","",""
163,"FlameDash",23757,1,"","",""
164,"PietyCorruptedLightningBeam",13863,1,"","",""
165,"Fortify",41025,1,"","",""
166,"IceStrike",49390,1,"","",""
167,"FireMortar",60164,1,"","",""
168,"NewPunishment",59575,1,"","",""
169,"VaalArcticArmour",58122,1,"","",""
170,"ElementalStrike",44576,1,"","",""
171,"InvisibleFire",29692,1,"","",""
172,"MortarWithGroundEffects",53349,1,"","",""
173,"PietyReverseCleave",50763,1,"","",""
174,"RainOfBlades",19291,1,"","",""
175,"FrostBomb",24119,1,"","",""
176,"UniqueAnimateWeapon",18636,1,"",1,""
177,"StormCloud",10585,1,"","",""
178,"LbRetractableTrap",43594,1,"","",""
179,"SummonRockGolem",5195,1,"","",""
180,"WhirlingLeap",36416,1,"","",""
181,"QuakeSlam",20811,1,"","",""
182,"VaalEarthquake",45734,1,"","",""
183,"VaalEarthquakeFootstep",23677,1,"","",""
