"rownum","Id","i32_8","f32_12","Stat","BuffDefinition1","BuffDefinition2"
0,"IgnitedGround",4,24,3452,180,""
1,"ChilledGround",4,0,5838,182,""
2,"CausticCloud",8,5,4411,479,""
3,"Tar",4,0,4746,183,""
4,"Smoke",8,0,11555,1406,""
5,"Desecration",4,24,2153,220,""
6,"Consecration",10,0,8144,221,1171
7,"ShockedGround",4,0,9552,245,""
8,"Vortex",4,4,4640,636,""
9,"Haste",4,0,"",721,""
10,"Sandstorm",0,24,"",809,""
11,"Blizzard",4,0,"",740,182
12,"Spores",4,24,6840,464,""
13,"DevouringDarkness",4,24,"",778,""
14,"Quicksand",0,24,7443,860,""
15,"Blood",2,24,13747,1047,""
16,"TemporalAnomaly",10,0,9421,939,1321
17,"OrionMeteor",0,0,"",1350,245
18,"CrownOfThorns",4,24,3452,1478,""
19,"VaalCloud",4,24,"",315,""
20,"Profane",10,0,"",1452,""
21,"ChaosOfferingOfJudgement",6,24,"",504,520
22,"FireOfferingOfJudgement",6,24,"",503,520
23,"DespairBearGeyser",0,24,4411,802,""
24,"Fungal",0,0,"",1311,1313
25,"BestiarySpiderWeb",0,24,20363,968,""
26,"Unused",0,0,"",182,""
27,"Oil",4,24,14908,1531,180
28,"ScorchedGround",4,0,"",1620,""
29,"GravityWell",0,24,"",1659,""
30,"LightningVortex",4,4,13066,1689,""
31,"BrittleGround",4,0,"",1927,""
32,"SappedGround",4,0,"",1928,""
33,"Sludge",4,0,17243,1936,""
34,"Sanctum",4,0,16512,2022,""
35,"SanctumFire",4,0,3452,181,""
36,"SanctumChaos",8,5,4411,480,""
37,"LivingBlood",4,0,4411,1342,1343
38,"FungalArtillery",4,24,"",1346,""
39,"ChimeraCorrupted",4,0,16064,2132,""
40,"Jagged",0,0,"",2140,""
41,"Sulphite",0,0,17195,2149,""
42,"PhysFireLifeRecover",4,24,18625,2354,""
43,"PoisonCloud",0,0,4411,2558,""
44,"SpiderWeb",4,0,20363,2561,""
45,"ManaSiphoningGround",0,0,21795,1881,""
46,"GenericGroundEffect",4,0,21871,2587,""
47,"Oasis",0,0,"",2788,""
48,"ElementalShredGround",4,0,"",2809,""
49,"WitheredGround",4,24,"",2934,""
50,"Briarpatch",4,0,"",2981,""
51,"FeatheredGround",4,0,"",3081,""
52,"Leyline",0,0,"",3126,""
