"rownum","i32_0","rid_4","[i32]_20","[rid]_36","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","i32_60","[i32]_64","rid_80","rid_96","rid_112","rid_128","i32_144","i32_148","rid_152","rid_168","[rid]_184","SpecialMapText","SpecialMapText (French)","SpecialMapText (German)","SpecialMapText (Japanese)","SpecialMapText (Korean)","SpecialMapText (Portuguese)","SpecialMapText (Russian)","SpecialMapText (Spanish)","SpecialMapText (Thai)","SpecialMapText (Traditional Chinese)","SpecialMapFlavourText","SpecialMapFlavourText (French)","SpecialMapFlavourText (German)","SpecialMapFlavourText (Japanese)","SpecialMapFlavourText (Korean)","SpecialMapFlavourText (Portuguese)","SpecialMapFlavourText (Russian)","SpecialMapFlavourText (Spanish)","SpecialMapFlavourText (Thai)","SpecialMapFlavourText (Traditional Chinese)","SpecialMapHelpText","SpecialMapHelpText (French)","SpecialMapHelpText (German)","SpecialMapHelpText (Japanese)","SpecialMapHelpText (Korean)","SpecialMapHelpText (Portuguese)","SpecialMapHelpText (Russian)","SpecialMapHelpText (Spanish)","SpecialMapHelpText (Thai)","SpecialMapHelpText (Traditional Chinese)"
0,0,345,[0],[],"The last light at the end of the world.","La dernière lueur au bout du monde.","Das letzte Licht am Ende der Welt.","世界の終わりの最後の光。","세상의 종말을 비추는 마지막 빛줄기.","A última luz no fim do mundo.","Последний свет на краю мира.","La última luz al final del mundo.","แสงสุดท้ายในวันสิ้นโลก","世界終結時的最後一道光。",0,[0],2,"",1,2,2,4224,2,"",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,1,209,"[200,200,2000,600,650]",[654],"Bright colours hide the rot beneath.","Des couleurs chatoyantes cachent la pourriture sous-jacente.","Leuchtende Farben verbergen die Fäulnis darunter.","鮮やかな色がその下の腐敗を隠している。","선명한 색이 아래의 부패를 감추고 있습니다.","Cores brilhantes escondem a podridão subterrânea.","Яркие цвета скрывают гниль.","Los colores brillantes ocultan la podredumbre que se esconde debajo.","สีสันสดใส\r\nซ่อนความเน่าเปื่อยไว้เบื้องล่าง","明亮的色彩掩蓋住底下的腐敗。",0,[0],0,4,0,3,0,4224,0,"",[10],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,2,212,"[200,200,2000,500,550]",[536],"Wild lands spurn those who claim to rule them.","Les terres sauvages rejettent tous ceux qui affirment les contrôler.","Ein wildes Land verschmäht diejenigen, die den Anspruch erheben, es zu beherrschen.","大自然が偽りの支配者を拒む。","대자연 그대로의 땅은 자신을 지배한다 주장하는 이들을 물리칩니다.","Terras selvagens desprezam aqueles que dizem governá-las.","Дикие земли отвергают тех, кто претендует на власть над ними.","Las tierras salvajes desprecian a aquellos que afirman gobernarlas.","แดนเถื่อนขับไล่\r\nผู้ที่ตั้งตนเป็นใหญ่","狂野的大地唾棄那些揚言要統治它們的人。",0,[0],0,5,0,3,0,4224,0,"",[11],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,3,213,"[200,200,2000,2000,2000]",[664],"Time overwhelms even the sturdiest walls.","Le temps a raison des murs les plus solides.","Die Zeit überwältigt selbst die stärksten Mauern.","時はどれだけ固い壁をも圧倒する。","시간은 아무리 튼튼한 벽도 무너뜨리고 맙니다.","O tempo sobrecarrega até as paredes mais resistentes.","Время разрушает даже самые прочные стены.","El tiempo vence hasta a los muros más resistentes.","กาลเวลาทำลายสิ้น\r\nกระทั่งกำแพงที่แน่นหนา","即使是最堅實的牆壁也經不住時間的摧殘。",0,[0],0,6,0,3,0,4224,0,"",[6],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,4,214,"[200,200,2000,600,630]",[561],"Restless prisoners yearn for freedom.","Des prisonniers agités en quête de liberté.","Rastlose Gefangene sehnen sich nach Freiheit.","蠢く囚人たちは自由を願う。","쉬지 못하는 포로들이 자유를 갈망합니다.","Prisioneiros inquietos anseiam por liberdade.","Беспокойные заключенные жаждут свободы.","Los prisioneros inquietos ansían la libertad.","นักโทษลืมตาย\r\nใฝ่หาอิสรภาพ","躁動不安的囚犯渴望自由。",0,[0],0,7,0,3,0,4224,0,"","[7,7,7,36]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,5,215,[0],[614],"The grandest of monuments, standing proudly before an audience of none.","Le plus grand des monuments, se dressant fièrement devant un public inexistant.","Das großartigste aller Denkmäler, das stolz vor einem Publikum von niemandem steht.","誰一人いない中誇らしげにそびえ立つ、威厳ある建造物","웅장한 기념비들이 아무도 보지 못하는 곳에 당당하게 서 있습니다.","Os monumentos mais grandiosos, orgulhosamente prostrados diante de uma plateia de vazia.","Величайший из памятников, гордо высящийся перед никем.","El más grandioso de los monumentos se yergue con orgullo ante una audiencia de cero.","อนุสรณ์สถานอันใหญ่ยิ่ง\r\nตั้งตระหง่านอย่างภาคภูมิโดยไม่มีผู้ใดได้พบเจอ","最宏偉的紀念碑，驕傲地矗立在沒有任何觀眾的舞台。",0,[0],1,"",0,4,6,4224,5,118,[4],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,6,217,"[200,200,2000,100,3000]",[509],"A haven for seabirds. A hazard for sailors.","Un refuge pour les oiseaux de mer. Un danger pour les marins.","Ein Paradies für Seevögel. Eine Gefahr für Seeleute.","海鳥たちの安息地。船乗りにとっては危険地帯。","바닷새에게는 낙원이고, 선원에게는 험한 곳입니다.","Um refúgio para aves marinhas. Um perigo para marinheiros.","Рай для морских птиц. Опасность для моряков.","Un paraíso para las aves marinas. Un peligro para los marineros.","ที่พักของนกทะเล\r\nที่ตายของกะลาสี","海鳥的天堂。水手的地獄。",0,[0],0,8,0,3,0,4224,0,"",[33],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,7,218,"[200,200,2000,400,580]",[573],"No living hands ever stoked these flames.","Aucune main vivante n'a jamais alimenté ces flammes.","Keine lebende Hand schürte jemals diese Flammen.","この火は生きた手により掻き立てられたことはない。","살아 있는 자의 손은 이 불길을 지핀 적이 없습니다.","Nenhuma mão viva jamais atiçou essas chamas.","Ни одна живая душа не раздувала это пламя.","Ninguna mano viva ha avivado jamás estas llamas.","ไม่มีมือของผู้ที่มีชีวิตคนใด\r\nได้สัมผัสเพลิงนี้มาก่อน","從來沒有活人燃燒過這些火焰。",0,[0],0,9,0,3,0,4224,0,"","[21,21,21,11]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,8,219,"[200,200,2000,1110,1110]",[646],"Beasts of many kinds sought shelter one final time.","Des bêtes de toutes sortes ont cherché à s'abriter pour la dernière fois.","Ein letztes Mal suchten Bestien aller Art Schutz.","様々な種の獣たちが最後に一度だけ避難所を求めた。","온갖 야수가 마지막 순간에 피난처를 찾았습니다.","Bestas de muitos tipos buscaram abrigo uma última vez.","Множество животных искали убежища в последний раз.","Muchos tipos de bestias buscaron refugio una última vez.","สัตว์ร้ายหลายประเภท\r\nหาที่หลบภัยเป็นครั้งสุดท้าย","眾多野獸最後一次尋找避難所。",0,[0],0,10,0,3,0,4224,0,"","[25,25,25,40]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,9,220,"[200,200,2000,2200,2200]",[531],"These waters devour the same souls they feed.","Ces eaux dévorent les âmes mêmes de ceux qu'elles nourrissent.","Diese Gewässer verschlingen dieselben Seelen, die sie ernähren.","この水は潤す者たちを喰らう。","이 물은 그로부터 자양분을 얻는 영혼들을 삼켜 버립니다.","Essas águas devoram as mesmas almas que alimentam.","Эти воды пожирают те же души, которые питают.","Estas aguas devoran a las mismas almas que alimentan.","หนองน้ำนี้กลืนกินวิญญาณ\r\nที่มันเคยหล่อเลี้ยง","這些水吞沒了它們所滋養的同一批靈魂。",0,[0],0,11,0,3,0,4224,0,"",[12],"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
