"rownum","Id","Event","i32_24","i32_28","Goddess_CharacterTextAudioKeys","JackTheAxe_CharacterTextAudioKeys","bool_64","bool_65","[rid]_66","i32_82","i32_86","bool_90","[rid]_91","rid_107","i32_123","i32_127","i32_131","i32_135"
0,"EnterEpilogue",1549,4000,0,[617],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
1,"EnteredMaps",989,4000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
2,"KillBiteZombie",559,1500,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
3,"EventWashedUp",534,2000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
4,"EventDropOniGoroshi",363,2000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
5,"EventJackIdle","",1000,4000,[],"[540,541,542,543]","","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
6,"EventJackKillMonster","",1000,5000,[],"[532,533,534,535,536,537,538,539]","","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
7,"EventJackKillPlayer","",1000,5000,[],"[544,545]","","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
8,"IntroSalesPitch","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
9,"Cooldown","",0,12000,[],[],1,"",[],10,0,"",[],"",-16843010,-16843010,1,100
10,"CooldownNoCombat","",0,12000,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
11,"NoMana","",0,12000,[],[],1,"",[],12,0,"",[],"",-16843010,-16843010,1,100
12,"NoManaNoCombat","",0,12000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
13,"NoSpirit","",0,12000,[],[],1,"",[],14,0,"",[],"",-16843010,-16843010,1,100
14,"NoSpiritNoCombat","",0,12000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
15,"InvFull","",0,12000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
16,"FlaskLowLifeToHighLife","",0,600000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
17,"FlaskEmpty","",0,12000,[],[],"","",[],18,0,"",[],"",-16843010,-16843010,1,100
18,"FlaskEmptyNoCombat","",0,12000,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
19,"KillRare","",500,100000,"[625,626,627,628]",[],1,"",[],20,0,"",[],"",-16843010,-16843010,0,100
20,"KillRareNoCombat","",500,100000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,0,100
21,"KillRogueExile","",500,20000,"[625,626,627,628]",[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
22,"LowSTR","",0,10000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
23,"LowINT","",0,10000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
24,"LowDEX","",0,10000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
25,"QuestItem","",0,10000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
26,"SkillTown","",0,10000,[],[],1,"",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
27,"UseTownWell","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
28,"LevelUp2","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
29,"LevelUp3","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
30,"LevelUp5","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
31,"LevelUp10","",1000,0,[619],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
32,"LevelUp15","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
33,"LevelUp20","",1000,0,[620],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
34,"LevelUp30","",1000,0,[621],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
35,"LevelUp40","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
36,"LevelUp50","",1000,0,[622],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
37,"LevelUp60","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
38,"LevelUp70","",1000,0,[623],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
39,"LevelUp80","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
40,"LevelUp90","",1000,0,[624],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
41,"LevelUp100","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
42,"RespecTree","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
43,"RareCurrencyDrop","",1000,5000000,[],[],"","",[6],-16843010,-16843010,"",[],"",-16843010,-16843010,0,50
44,"MirrorCurrencyDrop","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
45,"BossQuestItemUse","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
46,"NotableTaken","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
47,"IdentifyUnique","",1000,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
48,"EngageBeast","",0,20000,[],[],"",1,[16],906,0,"",[],"",-16843010,-16843010,1,100
49,"EngageUndead","",0,20000,[],[],"",1,[16],906,0,"",[],"",-16843010,-16843010,1,100
50,"EngageAutomaton","",0,20000,[],[],"",1,[16],906,0,"",[],"",-16843010,-16843010,1,100
51,"EngageMonstrosity","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
52,"EngageVaal","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
53,"EngageBug","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
54,"EngageHuman","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
55,"EngageSkeleton","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
56,"EngageElemental","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,1,100
57,"EngageGoblin","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,0,100
58,"EngageSeaCreature","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,0,100
59,"EngageTrialKarui","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,0,100
60,"EngageTwilightOrder","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,0,100
61,"EngageBloodKarui","",0,20000,[],[],"","",[16],906,0,"",[],"",-16843010,-16843010,0,100
62,"KeystoneResoluteTechnique","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
63,"KeystoneGiantsBlood","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
64,"KeystoneUnwaveringStance","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
65,"KeystoneAvatarOfFire","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
66,"KeystoneBloodMagic","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
67,"KeystoneZealotsOath","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
68,"KeystoneAncestralBond","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
69,"KeystonePainAttunement","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
70,"KeystoneChaosInnoculation","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
71,"KeystoneEldritchBattery","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
72,"KeystoneMindOverMatter","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
73,"KeystoneHexMaster","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
74,"KeystoneNecromanticTalisman","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
75,"KeystoneAcrobatics","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
76,"KeystoneElementalEquilibrium","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
77,"KeystoneDanceWithDeath","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
78,"KeystoneHeartstopper","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
79,"KeystoneOasis","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
80,"KeystoneVaalPact","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
81,"KeystoneIronReflexes","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
82,"KeystoneGlancingBlows","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
83,"KeystoneConduit","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
84,"KeystoneGhostReaver","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
85,"KeystoneEternalYouth","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
86,"KeystoneHollowPalmTechnique","",0,0,[],[],"","",[],-16843010,-16843010,"",[],"",-16843010,-16843010,1,100
87,"Skill_ChargedStaff","",0,20000,[],[],"",1,[0],906,0,"",[],"",-16843010,-16843010,1,100
88,"Skill_VaultingImpact","",0,20000,[],[],"",1,[0],906,0,"",[],"",-16843010,-16843010,1,100
89,"Skill_FallingThunder","",0,20000,[],[],"",1,[0],906,0,"",[],"",-16843010,-16843010,1,100
