"rownum","Id","BackingIcon","ItemIcon"
0,"Zarokh","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZarokhBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZarokhItem"
1,"ZarokhRevolt","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZarokhsRevoltBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ZarokhsRevoltItem"
2,"AbyssKurgal","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AbyssKurgalBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AbyssKurgalItem"
3,"Azadian","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AzadianBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AzadianItem"
4,"Dialla","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/DiallaBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/DiallaItem"
5,"Garukhan","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GarukhanBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GarukhanItem"
6,"Monastic","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/MonasticBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/MonasticItem"
7,"Paquate","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/PaquateBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/PaquateItem"
8,"Rakiata","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/RakiataBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/RakiataItem"
9,"Rigwald","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/RigwaldBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/RigwaldItem"
10,"Trialmaster","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/TrialmasterBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/TrialmasterItem"
11,"Wildshards","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/WildshardsBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/WildshardsItem"
12,"Guatelitzi","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GuatelitziBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GuatelitziItem"
13,"Bardiyan","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AmmoConservationBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/AmmoConservationItem"
14,"Tukohama","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/TukohamaBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/TukohamaItem"
15,"Oisin","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/WalkeroftheWildsBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/WalkeroftheWildsItem"
16,"Brutus","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageMeatshieldBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageMeatshieldItem"
17,"Arakaali","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArakaaliBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArakaaliItem"
18,"Arbiter","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArbiterBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArbiterItem"
19,"Atalui","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageLifetapBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageLifetapItem"
20,"Cirel","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GreatwoodBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/GreatwoodItem"
21,"Uruk","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArmourBreakBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageArmourBreakItem"
22,"Ahn","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAhnChiselBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAhnChiselItem"
23,"Vilenta","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageVilentaBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageVilentaItem"
24,"EonyrsThunder","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ScaleofEonyrBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/ScaleofEonyrItem"
25,"Romira","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageRomiraBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageRomiraItem"
26,"Mercy","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageMercyBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageMercyItem"
27,"Varashta","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDjinnBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageDjinnItem"
28,"Amanamu","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAmanamuBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageAmanamuItem"
29,"Kulemak","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKulemakSpireBacking","Art/2DArt/UIImages/InGame/SkillPanel/Lineage/LineageKulemakSpireItem"
