"rownum","Id","MiscAnimated","[i32]_24","[string]_40","string_56","string_64","string_72","string_80","i32_88","i32_92","string_96","bool_104","string_105"
0,"ChargeEndurance",3,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"","",""
1,"ChargeFrenzy",5,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"","",""
2,"ChargePower",4,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",134,0,"","",""
3,"ChargeEnduranceMonster",3,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"","",""
4,"ChargeFrenzyMonster",5,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"","",""
5,"ChargePowerMonster",4,[],[],"chargeEnd_01","","chargeGain_01_nosound","chargeLoop_01",134,0,"","",""
6,"ChargeEnduranceElder",1763,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"","",""
7,"ChargeFrenzyElder",1764,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"","",""
8,"ChargePowerElder",1762,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"","",""
9,"ChargePowerAlternate",670,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"","",""
10,"ChargeFrenzyBloodDance",4078,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"","",""
11,"ChargeFrenzySuper",848,[],[],"orb_finish","","","",70,0,"","",""
12,"ChargeSpirit",1666,[],[],"orb_finish","","","",70,0,"","",""
13,"ChargeSiphoning",1804,[],[],"orb_finish","","","",70,0,"","",""
14,"ChargeVoid",1807,[],[],"orb_finish","","","",70,0,"","",""
15,"ChargeDivine",2865,[],[],"orb_finish","","","",70,0,"","",""
16,"ChargeInspiration",3444,[],[],"orb_finish","","","",70,0,"","",""
17,"ChargeBrutal",5023,[],[],"orb_finish","","","",70,0,"","",""
18,"ChargeAffliction",5024,[],[],"orb_finish","","","",70,0,"","",""
19,"ChargeAbsorption",5025,[],[],"orb_finish","","","",70,0,"","",""
20,"BloodlinesChargeZeal",471,[],[],"orb_finish","","","",70,0,"","",""
