"rownum","Id","i32_8","MonsterStats","i32_28","bool_32","bool_33","ConditionStat","bool_50","bool_51","[i32]_52","i32_68","i32_72","Rarity"
0,"IsEnemyCullable",0,"[389,870,18187,14482,25217]",0,1,"","",1,"",[],4,4,[]
1,"IsKillableByArsonist",0,"[389,870,18187,2479]",0,"",1,"","","",[],4,4,[]
2,"IsEnemyCrushable",0,"[1185,870,25217]",0,"","","",1,"",[0],4,4,[]
3,"IsEnemyOverloadable",0,"[18221,870]",0,"","","",1,"",[2],4,4,[]
4,"IsEnemyOverloadableFromVoltaicMark",0,"[18221,870]",0,"","",23971,1,"",[2],4,4,[]
5,"IsEnemyFreezable",0,"[6406,870]",0,"","","",1,"",[1],4,4,[]
6,"IsEnemyFreezableFromFreezingMark",0,"[6406,870]",0,"","",23970,1,"",[1],4,4,[]
7,"IsEnemyBloodstained",0,[21150],0,"","",21138,1,"",[],4,4,[]
8,"IsEnemyIgnited",0,[870],0,"","",1796,1,"",[],4,4,[]
9,"IsEnemyArmourBroken",0,[870],0,"","",17892,1,"",[],4,4,[]
10,"IsPrimedForPinFromStun",0,"[870,18223]",0,"","","",1,"",[],0,3,[]
11,"IsEnemyRareOrUnique",0,[],0,"","","",1,"",[],4,4,"[2,3]"
