"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","[rid]_171","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","[rid]_332"
0,"ignited","Debuff inflicts [Fire] damage over time","L'Effet néfaste inflige des Dégâts de [Fire|Feu] sur la durée.","Schwächung verursacht [Fire|Feuer]schaden über Zeit.","デバフは[Fire|火]継続ダメージを付与する","디버프가 지속 [Fire|화염] 피해를 줍니다.","Debuff inflige dano degenerativo de [Fire|Fogo]","Отрицательный эффект наносит постепенный урон от [Fire|огня]","Este efecto nocivo aplica daño de [Fire|fuego] degenerativo","ดีบัฟ สร้างความเสียหาย [Fire|ไฟ] ต่อเนื่อง","減益效果造成[Fire|火焰]持續傷害","","","Ignited","Embrasement ","Entzündet","発火","점화","Incendiado","Подожжен","Quemado","ลุกไหม้","點燃",[7650],"",13,"","","",1,29,2,"","",2,"",1,1,"",0,"","Ignite","","","","",7,"","",0,[],"","",[],"",[],[],[7650],[13892],"","","",1,"",[],"","","","","","","","","","",[],[0],2,[]
1,"chilled","[Slow|Slowed]","[Slow|Ralenti].","[Slow|Verlangsamt].","[Slow|減速]している","[Slow|감속]","[Slow|Desacelerado]","[Slow|Замедление]","[Slow|ralentizado]","[Slow|เชื่องช้า]","[Slow|被緩速]","","","Chilled","Frigorification ","Unterkühlt","冷却","냉각된","Resfriado","Охлаждён","Escarchado","หนาวเย็น","冰緩",[7979],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","Chill",1,"","","",7,"","",0,[],"","",[],"",[],[],[7979],[13893],"","",1,1,"",[],"","","","","","","","","","",[],[3],3,[]
2,"frozen","Cannot move or take actions","Vous ne pouvez pas vous déplacer ni effectuer d'actions.","Ihr könnt Euch nicht bewegen und keine Aktionen ausführen.","移動できず、アクションを起こせない","이동하거나 행동을 할 수 없습니다.","Não pode se mover ou realizar ações","Нельзя двигаться или предпринимать действия","No puedes moverte ni realizar acciones","ไม่สามารถเคลื่อนที่หรือกระทำอะไรได้","無法移動或做任何動作","","","Frozen","Gel ","Eingefroren","凍結","동결","Congelado","Заморожен","Congelado","แช่แข็ง","冰凍",[],1,13,"","","",1,29,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",7,"","",0,[],"","",[],"",[],[11761],[],"[13894,1988]","","",1,1,"",[],"","","","","","","","","","",[],[],1,[]
3,"shocked","Debuff inflicts increased damage taken","L'Effet néfaste inflige une Augmentation des Dégâts subis.","Schwächung erhöht den erlittenen Schaden.","デバフは受けるダメージ増加を付与する","디버프가 받는 피해를 증가시킵니다.","Debuff inflige aumento no dano sofrido","Отрицательный эффект накладывает увеличение получаемого урона","Este efecto nocivo aplica el daño recibido aumentado","ดีบัฟ เพิ่มความเสียหายที่ได้รับ","減益效果使承受傷害增加","","","Shocked","Électrocution ","Geschockt","感電","감전","Eletrizado","Шокирован","Electrocutado","ช็อค","感電",[15789],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[15789],[13895],"","",1,1,"",[],"","","","","","","","","","",[],[],3,[]
4,"sprinting","Increased movement velocity","Votre Vitesse de déplacement est augmentée.","Erhöhte Bewegungsgeschwindigkeit","移動スピード増加","이동 속도 증가","Velocidade de movimento aumentada","Ваша скорость передвижения повышена","Velocidad de movimiento aumentada","ความเร็วการเคลื่อนที่ เพิ่มขึ้น","增加移動速度。","",1,"Faster Run","Course rapide ","Schneller laufen","高速移動","빠른 달리기","Corrida Rápida","Быстрый бег","Correr más rápido","วิ่งเร็วขึ้น","疾跑",[171],1,2,"","","","",29,7,1,"",1,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[171],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
5,"flask_effect_life","","","","","","","","","","",1,"","Healing","Soin ","Heilen","ライフ回復","치유","Cura","Лечение","Curación","กำลังเยียวยา","生命回復",[7278],1,5,"","","","",29,0,1,"",4,"",1,1,1,0,"","",1,"","","",7,"","",0,[],"","",[],"",[],[],[7278],[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
6,"grace_period","You can't be damaged","Vous ne pouvez pas subir de Dégâts.","Ihr erleidet keinen Schaden.","ダメージを受けることがない","피해를 받지 않습니다.","Você não pode sofrer dano","Вы не получаете урон","No puedes ser dañado","คุณไม่ได้รับความเสียหาย","你不會受到傷害。",1,1,"Grace Period","Période de grâce ","Gnadenfrist","恩寵の時間","은총 상태","Período de Graça","Временная неуязвимость","Período de gracia","ระยะเวลาผ่อนปรน","恩典","[134,865,1301,7738,2899,6474,6473]",1,2,"","","","",29,8,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,865,1301,7738,2899,6474,6473]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
7,"cutscene_grace_period","Right-click to skip cutscene.","Effectuez un clic-droit pour passer la cinématique.","Rechtsklicken zum Überspringen der Zwischensequenz.","右クリックでカットシーンをスキップ","우클릭하면 컷신을 넘깁니다.","Clique com o botão direito para pular a cena.","Нажмите ПКМ для пропуска ролика","Haz clic derecho para saltar la cinemática.","คลิกขวาเพื่อข้ามคัทซีน","點擊滑鼠右鍵略過過場動畫。","",1,"Cutscene in Progress","Cinématique en cours","Laufende Zwischensequenz","カットシーン進行中","컷신 진행 중","Cena Acontecendo","Воспроизводится ролик","Cinemática en curso","กำลังเล่นคัทซีน","過場動畫播放中","[134,865,1301,7738,2899,6474,6473]",1,2,"","","","",29,9,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],"[134,865,1301,7738,2899,6474,6473]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[]
8,"is_dead_can_revive","","","","","","","","","","",1,"","","","","","","","","","","",[],"",2,"","","","",29,10,1,"",18,"",1,1,"",0,"","","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"","","","","","","","","","",[],[],1,[]
9,"being_revived","","","","","","","","","","",1,"","","","","","","","","","","",[],"",2,"","","","",29,11,1,"",18,"",1,1,"",0,"","BeingRevived","","","","",7,"","",0,[],"","",[],"",[],[],[],[],"","",1,"","",[],"","","","","","","","","","",[],[],1,[]
