"rownum","Id","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","AbyssChance","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","StoneCirclesChance"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"G1_1",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"G1_2",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"G1_3",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"G1_4",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5,"G1_5",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
6,"G1_6",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
7,"G1_7",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,10,0
8,"G1_8",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,10,0
9,"G1_9",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,10,0
10,"G1_10",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
11,"G1_11",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
12,"G1_12",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"G1_13_1",0,33,0,4,0,32,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,20,5,0
14,"G1_13_2",0,10,0,4,0,32,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,30,10,0
15,"G1_14",0,0,0,4,0,32,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,20,5,0
16,"G1_15",0,0,0,4,0,32,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,45,15,0
17,"G2_1",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
18,"G2_2",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
19,"G2_3",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,20,0,0
20,"G2_4_1",0,75,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,33,0,0
21,"G2_4_2",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,10,0
22,"G2_4_3",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,60,15,0
23,"G2_5_1",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
24,"G2_5_2",0,50,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
25,"G2_6",0,50,15,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
26,"G2_7",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,20,0,0
27,"G2_8",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
28,"G2_9_1",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,50,10,0
29,"G2_9_2",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,20,0,0
30,"G2_10_1",0,20,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,33,0,0
31,"G2_10_2",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,0,0
32,"G2_11",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
33,"G2_12_1",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,50,5,0
34,"G2_12_2",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,50,5,0
35,"G3_1",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
36,"G3_2_1",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
37,"G3_2_2",0,33,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
38,"G3_3",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,10,0,0
39,"G3_4",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,33,5,0
40,"G3_5",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
41,"G3_6_1",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,33,0,0
42,"G3_6_2",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,75,15,0
43,"G3_7",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,33,0,0
44,"G3_8",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,10,0,0
45,"G3_9",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,75,15,0
46,"G3_10",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"G3_11",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,20,0,0
48,"G3_12",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
49,"G3_14",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,5,0
50,"G3_15",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,25,0,0
51,"G3_16",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,25,0,0
52,"G3_17",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,5,0
53,"G4_1_1",8,33,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
54,"G4_1_2",0,20,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
55,"G4_2_1",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,5,0
56,"G4_2_2",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,50,5,0
57,"G4_3_1",8,75,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,75,15,0
58,"G4_3_2",8,50,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
59,"G4_4_1",8,25,5,4,0,262,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,66,10,0
60,"G4_4_2",0,25,5,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15,0
61,"G4_4_3",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"G4_5_1",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
63,"G4_5_2",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,66,10,0
64,"G4_6",8,0,0,4,0,262,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
65,"G4_7",8,66,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
66,"G4_8a",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"G4_8b",8,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
68,"G4_9_",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
69,"G4_10",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
70,"G4_11_1a",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"G4_11_1b",8,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
72,"G4_11_2",8,33,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,75,15,0
73,"G4_12",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"G4_13",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"G4_14",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"G5_10_1",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"P1_1",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,20,5,0
78,"P1_2",8,33,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
79,"P1_3",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
80,"P1_4",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
81,"P1_5",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
82,"P1_6",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
83,"P2_1",8,66,10,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
84,"P2_2",8,33,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
85,"P2_3",0,0,0,4,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,0
86,"P2_4",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
87,"P2_5",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
88,"P2_6",8,33,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
89,"P2_7",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,66,10,0
90,"P3_1",8,50,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
91,"P3_2",8,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
92,"P3_3",8,50,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
93,"P3_4",8,50,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0
94,"P3_5",8,50,5,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
95,"P3_6",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
96,"P3_7",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,66,10,0
97,"StoryNoEssence",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"Story",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0
99,"Maps",8,33,10,4,0,1454,0,33,15,0,0,0,13,10,0,100,0,0,0,0,0,33,10,8
100,"MapsNoAbyss",8,33,10,4,0,1454,0,33,15,0,0,0,13,10,0,0,0,0,0,0,0,33,10,8
101,"MapsMoreEssences",8,33,10,4,0,1454,0,33,15,0,0,0,26,15,0,100,0,0,0,0,0,33,10,8
102,"MapsMoreStrongboxes",8,33,10,4,0,1454,0,33,15,0,0,0,13,10,0,100,0,0,0,0,0,50,15,8
103,"MapsMoreShrines",8,33,10,4,0,1454,0,50,22,0,0,0,13,10,0,100,0,0,0,0,0,33,10,8
104,"MapsMoreEverything",12,50,15,4,0,1454,0,50,22,0,0,0,26,15,0,100,0,0,0,0,0,50,15,8
105,"MapsMoreEverythingNoAbyss",12,50,15,4,0,1454,0,50,22,0,0,0,26,15,0,0,0,0,0,0,0,50,15,8
106,"MapsMoreAzmeriSpirits",8,50,15,4,0,1454,0,33,15,0,0,0,13,10,0,100,0,0,0,0,0,33,10,8
107,"MapsMoreStoneCircles",8,33,10,4,0,1454,0,33,15,0,0,0,13,10,0,100,0,0,0,0,0,33,10,16
