"rownum","MapPinsKey0","MapPinsKey1","QuestFlagStart","RestrictedAreaText","RestrictedAreaText (French)","RestrictedAreaText (German)","RestrictedAreaText (Japanese)","RestrictedAreaText (Korean)","RestrictedAreaText (Portuguese)","RestrictedAreaText (Russian)","RestrictedAreaText (Spanish)","RestrictedAreaText (Thai)","RestrictedAreaText (Traditional Chinese)","QuestFlagEnd","rid_72","rid_88","i32_104","i32_108"
0,5,8,"","","","","","","","","","","","","","",1,1
1,8,9,"","","","","","","","","","","","","","",1,9
2,9,14,"","","","","","","","","","","","","","",1,9
3,9,18,"","","","","","","","","","","","","","",1,9
4,18,31,"","","","","","","","","","","","","","",1,9
5,18,34,"","","","","","","","","","","","","","",1,9
6,18,57,"","","","","","","","","","","","","","",1,9
7,18,28,"","","","","","","","","","","","","","",1,9
8,34,40,"","","","","","","","","","","","","","",1,9
9,40,45,"","","","","","","","","","","","","","",1,9
10,40,51,"","","","","","","","","","","","","","",1,9
11,40,61,"","","","","","","","","","","","","","",1,9
12,61,70,"","","","","","","","","","","","","","",1,9
13,61,73,"","","","","","","","","","","","","","",1,9
14,73,80,"","","","","","","","","","","","","","",1,9
15,80,87,"","","","","","","","","","","","","","",1,9
16,87,90,"","","","","","","","","","","","","","",1,9
17,115,101,"","","","","","","","","","","","","","",2,9
18,101,102,"","","","","","","","","","","","","","",2,9
19,102,108,"","","","","","","","","","","","","","",2,9
20,108,103,1524,"","","","","","","","","","","","","",2,9
21,103,107,"","","","","","","","","","","","","","",2,9
22,107,119,1524,"","","","","","","","","","","","","",2,9
23,108,106,"","","","","","","","","","","","","","",2,9
24,106,130,"","","","","","","","","","","","","","",2,9
25,102,105,"","","","","","","","","","","","","","",2,9
26,105,202,"","","","","","","","","","","","","","",2,9
27,202,207,"","","","","","","","","","","","","","",2,9
28,102,114,"","","","","","","","","","","","","","",2,9
29,114,220,"","","","","","","","","","","","","","",2,9
30,119,125,"","","","","","","","","","","","","","",2,9
31,107,104,"","","","","","","","","","","","","","",2,9
32,108,131,"","","","","","","","","","","","","","",2,9
33,131,138,"","","","","","","","","","","","","","",2,9
34,138,144,"","","","","","","","","","","","","","",2,9
