"rownum","Id","BaseItemType","XOffset","YOffset","Tab","HideIfEmpty","FirstSlotIndex","SlotSize","Width","Height","SlotStyle"
0,"Metal1",5037,379,408,78,"",0,0,1,1,0
1,"Metal2",5038,479,408,78,"",1,0,1,1,0
2,"UniqueMetal1",5042,279,508,78,"",2,0,1,1,2
3,"UniqueMetal2",5043,379,508,78,"",3,0,1,1,2
4,"UniqueMetal3",5044,479,508,78,"",4,0,1,1,2
5,"UniqueMetal4",5045,579,508,78,"",5,0,1,1,2
6,"Alloy1",5046,129,618,78,"",6,0,1,1,2
7,"Alloy2",5047,229,618,78,"",7,0,1,1,2
8,"Alloy3",5048,329,618,78,"",8,0,1,1,2
9,"Alloy4",5049,429,618,78,"",9,0,1,1,2
10,"Alloy5",5050,529,618,78,"",10,0,1,1,2
11,"Alloy6",5051,629,618,78,"",11,0,1,1,2
12,"Alloy7",5052,729,618,78,"",12,0,1,1,2
13,"Alloy8",5053,179,718,78,"",13,0,1,1,3
14,"Alloy9",5054,279,718,78,"",18,0,1,1,3
15,"Alloy10",5055,379,718,78,"",19,0,1,1,3
16,"Alloy11",5056,479,718,78,"",20,0,1,1,3
17,"Alloy12",5057,579,718,78,"",21,0,1,1,3
18,"Alloy13",5058,679,718,78,"",22,0,1,1,3
19,"Logbook1",1440,179,78,78,"",0,1,1,1,0
20,"LogbookSpecial1",1441,279,78,78,"",1,1,1,1,2
21,"LogbookMedved1",1442,379,78,78,"",2,1,1,1,3
22,"LogbookVorana1",1443,479,78,78,"",3,1,1,1,3
23,"LogbookUhtred1",1444,579,78,78,"",4,1,1,1,3
24,"LogbookOlroth1",1445,679,78,78,"",5,1,1,1,3
25,"ArcaneFluxFire",5064,279,828,78,"",14,0,1,1,3
26,"ArcaneFluxCold",5065,379,828,78,"",15,0,1,1,3
27,"ArcaneFluxLightning",5066,479,828,78,"",16,0,1,1,3
28,"ArcaneFluxChaos",5067,579,828,78,"",17,0,1,1,3
29,"PinnacleKey",3771,479,220,78,"",0,2,2,2,3
30,"ExpeditionPinnacleKeyShard",3772,301,220,78,"",2,2,2,2,2
