"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","StatsKeys4","bool_133","StatsKeys5","bool_150","StatsKeys6","i32_167"
0,"LifeTop","Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命",[238],0,[],[],18,"",[],0,[],"",[],"",[],0
1,"LifeUnreservedTop","Unreserved Life","Vie non Réservée","Unreserviertes Leben","未リザーブライフ","점유되지 않은 생명력","Vida não Reservada","Не удержанное здоровье","Vida sin reservar","พลังชีวิตที่ไม่สำรอง","未保留生命",[9949],0,[3974],[],18,1,[],0,[],"",[],"",[],0
2,"LifeRecoveryTop","Recovery per Second","Récupération par Seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การเติมต่อวินาที","每秒回復量",[1411],0,[],[],18,"",[2],0,[],"",[],"",[],0
3,"ManaTop","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",[239],0,[],[713],21,"",[],0,[],"",[],"",[],0
4,"ManaUnreservedTop","Unreserved Mana","Mana non Réservé","Unreserviertes Mana","未リザーブマナ","점유되지 않은 마나","Mana não Reservado","Не удержанная мана","Maná sin reservar","มานาที่ไม่สำรอง","未保留魔力",[9950],0,[2815],[713],21,1,[],0,[],"",[],"",[],0
5,"ManaRecoveryTop","Recovery per Second","Récupération par seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การ เติม ต่อวินาที","每秒回復量",[1412],0,[],[713],21,"",[2],0,[],"",[],"",[],0
6,"EnergyShieldTop","Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾",[240],0,[],[],19,"",[],0,[],"",[],"",[],0
7,"EnergyShieldRecoveryTop","Recovery per Second","Récupération par Seconde","Wiederherstellung pro Sekunde","秒間回復","초당 회복","Recuperação por Segundo","Восстановление в секунду","Recuperación por segundo","การ เติม ต่อวินาที","每秒回復量",[1413],0,[240],[],19,"",[2],0,[],"",[],"",[],0
8,"EnergyShieldRechargeTop","Recharge per Second","Recharge par seconde","Wiederherstellung pro Sekunde","秒間リチャージ","초당 재충전","Recarga por Segundo","Восстановление в секунду","Recarga por segundo","การ รีชาร์จ ต่อวินาที","每秒充能",[243],0,[240],[],19,"",[2],0,[],"",[],"",[],0
9,"EnergyShieldRechargeDelayTop","Recharge Delay","Délai de Recharge","Wiederherstellungsverzögerung","リチャージ遅延","재충전 지연시간","Adiamento de Recarga","Задержка перезарядки","Demora de la recarga","ระยะเวลารอ รีชาร์จ","充能延遲",[21902],9,[240],[],19,1,[13],0,[],"",[],"",[],0
