"rownum","i32_0","[rid]_4","[rid]_20","[i32]_36","bool_52","i32_53","i32_57","i32_61","i32_65","bool_69","[i32]_70","bool_86","i32_87","bool_91"
0,0,[94],[93],[7],1,2,0,0,120,"",[],"",10,""
1,1,[],[170],[71],1,2,0,0,120,"",[],"",10,""
2,2,[],[189],[66],1,1,0,0,120,"",[],"",10,""
3,3,[],[219],[50],1,2,10,4,120,"",[],"",10,""
4,4,[],[219],[75],1,2,0,0,120,"",[],"",10,""
5,5,[],[239],[0],1,3,0,0,120,"",[],"",10,""
6,6,[],[242],[0],1,3,0,0,120,"",[],"",10,""
7,7,[],[243],[0],1,3,0,0,120,"",[],"",10,""
8,8,[],[245],[0],1,3,0,0,120,"",[],"",10,""
9,9,[],"[246,247,248,249,250,251]","[36,66,67,57,55,68,54,51]",1,2,15,14,120,"",[],"",6,""
10,10,[],"[252,253,254,255,256]",[49],1,2,30,25,120,"",[],"",10,1
11,11,[],"[257,258,259,260,261]",[53],1,2,30,25,120,"",[],"",10,1
12,12,[],"[282,283,284,285]","[44,45,48,49]","",2,10,22,120,"",[],"",10,1
13,13,[],[317],"[42,43,44,45,46,47,48,49,50]",1,2,0,0,120,"",[],"",10,""
14,14,[],[307],[0],"",2,0,0,120,"",[],"",10,""
15,15,[],[363],[2],1,2,0,0,120,"",[],"",10,1
16,16,[],[368],[35],1,2,0,0,120,"",[],"",10,""
17,17,[],[368],[37],1,2,0,0,120,"",[],"",10,""
18,18,[369],[370],[2],1,2,0,0,200,1,[1],1,5,""
19,19,[],[401],[16],1,2,0,0,120,"",[],"",10,""
20,20,[],[402],[17],1,2,0,0,120,"",[],"",10,""
21,21,[],[403],[18],1,2,0,0,120,"",[],"",10,""
22,22,[],[420],[1],1,2,0,0,120,1,[1],1,7,""
23,23,[],[498],[29],1,2,8,3,60,"",[],"",4,""
24,24,[],[498],[26],1,2,8,3,60,"",[],"",4,""
25,25,[],[516],[36],1,2,4,2,120,"",[],"",2,""
26,26,[],[547],[29],1,2,8,3,60,"",[],"",4,""
27,27,[],[547],[26],1,2,8,3,60,"",[],"",4,""
28,28,[],[556],[83],1,2,40,15,70,"",[],"",5,1
29,1000,[],[573],[105],1,2,0,0,120,"",[],"",2,""
30,1001,[],[572],[54],1,2,0,0,120,1,[1],1,2,""
31,1002,[],[571],[2],1,3,0,0,120,"",[],"",4,""
32,1003,[],[572],[49],1,2,0,0,120,1,[1],1,2,""
33,1004,[],[574],[13],"",2,15,6,60,"",[],"",2,""
34,1005,[],[576],[217],"",3,5,3,70,"",[],"",2,""
35,1006,[],[579],[36],1,2,5,2,120,"",[],"",3,""
36,1007,[],[580],[39],1,2,5,2,120,"",[],"",2,""
37,1008,[],[580],[37],1,2,5,2,120,"",[],"",2,""
38,1009,[],[580],[38],1,2,5,2,120,"",[],"",2,""
39,1010,[],[498],[36],1,3,4,2,120,"",[1],"",2,""
40,1011,[],[596],"[26,27,28,29]","",2,0,0,120,1,[],1,3,""
41,1012,[],[596],[22],"",2,0,0,60,"",[],"",3,""
42,1013,[],[617],"[8,37,36]",1,2,0,0,120,"",[],"",6,1
43,1014,[],[617],"[5,35,34]",1,2,0,0,120,"",[],"",6,1
44,1015,[],[619],"[168,169,170,171,172,173,174,175]",1,3,0,0,80,"",[],"",2,""
45,1016,[],[645],[247],1,2,0,0,120,"",[],"",2,""
46,1017,[],[643],[2],1,3,0,0,120,"",[],"",4,""
47,1018,[],[645],"[65,66]",1,2,0,0,80,"",[],"",2,""
48,1019,[],[402],"[10,2]",1,2,0,0,120,1,[],1,2,""
49,1020,[],[668],[0],1,2,0,0,120,1,[0],1,4,1
50,1021,[],[669],[183],"",2,10,5,120,"",[],"",2,1
51,1022,[],[670],[24],1,2,0,0,60,"",[],"",4,""
52,1023,[],[727],[100],1,2,0,0,120,"",[],"",2,""
53,1024,[],[685],[79],1,2,0,0,120,"",[],"",2,""
54,1025,[],[739],"[44,39]","",3,0,0,60,"",[],"",1,""
55,1026,[],[747],"[138,139,140,141]",1,2,0,0,80,"",[],"",2,""
56,1027,[],[722],[14],1,2,0,0,120,"",[],"",2,""
57,1028,[],[722],[13],1,2,0,0,120,"",[],"",2,""
58,1029,[],[722],[16],1,2,0,0,120,"",[],"",2,""
59,1030,[],[722],[15],1,2,0,0,120,"",[],"",2,""
60,1031,[],[781],[],1,3,0,0,120,"",[],"",2,""
61,1032,[],[782],[],1,3,0,0,120,"",[],"",2,""
62,1033,[],[782],[],1,3,0,0,120,"",[],"",2,""
63,1034,[],[782],[],1,3,0,0,120,"",[],"",2,""
64,1035,[],[783],[],1,3,0,0,120,"",[],"",2,""
65,1036,[],[781],[],1,3,0,0,120,"",[],"",2,""
66,1037,[],[783],[],1,3,0,0,120,"",[],"",2,""
67,1038,[],[783],[],1,3,0,0,120,"",[],"",2,""
68,1039,[],[784],[],1,3,0,0,120,"",[],"",0,""
69,1040,[],[801],[18],1,2,0,0,120,"",[],"",3,1
70,1041,[],[811],[91],1,2,0,0,120,"",[],"",6,1
71,1042,[],[807],"[7,8]",1,2,0,0,120,"",[],"",6,1
72,1043,[],[620],"[168,169,170,171,172,173,174,175]",1,3,0,0,80,"",[],"",2,""
73,1044,[],[809],[],1,2,0,0,120,"",[],"",2,""
74,1045,[],[668],[98],1,3,0,0,120,"",[],"",10,""
