"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","rid_148","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197"
0,"G1_compassrose","",[],"","","","","","","","","","","","","","","","","","","","",[2889],1,[72],[],"","Act1/compassrose","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinCompass",5,"","","","","","","","","","","","",4264,4264,""
1,"G1_compasstextbox_visual","",[],"","","","","","","","","","","","","","","","","","","","",[2889],1,[72],[],"","Act1/MapBorderEzomyte","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",6,"","","","","","","","","","","","",4264,4264,""
2,"G1_compass_label","",[],"Ogham county, est. 1132ic\r\nin the province of Phaaryl\r\nSurvey commissioned by\r\nthe office of Count Geonor\r\nin the year of 1619ic","Le comté d'Ogham, \nfondé en 1132ic\r\ndans la province de Phaaryl\r\nEnquête commissionnée par\r\nle bureau du comte Géonor\r\nen l'an 1619ic","Verwaltungsbezirk \r\nOgham, gegr. 1132ic\r\nin der Provinz von Phaaryl\r\nErhebung im Auftrag vom\r\nMinisterium des Grafen Geonor\r\nim Jahre 1619ic","推定帝国暦1132年\r\nファーリル省オガム郡\r\n帝国暦1619年、\r\nジオノール伯爵\r\n在任期間中の調査","오검 자치주, 제국력 1132년\r\n파아릴 도내에 설립\r\n제국력 1619년\r\n지오너 백작 집무실에서\r\n측량 실시","Condado de Ogham, \nfundado em 1132 i.c., \nna província de Phaaryl \nPesquisa encomendada pelo \nescritório do Conde Geonor \nno ano de 1619 i.c","Графство Огам, осн. 1132 и.л.\r\nв провинции Фаарил\r\nТопограф. план по заказу\r\nканцелярии графа Жеонора\r\n1619 и.л.","Condado de Ogham, est. 1132 IC\r\nde la provincia de Phaaryl\r\nEncuesta encargada por\r\nla oficina del conde Geonor\r\nen el año 1619 IC","เขตปกครองอ็อกแฮม\r\nก่อตั้งปี 1132 อ.ศ. ในอาณาเขตฟาร์ริล\r\nแผนที่สั่งทำโดยสำนักงาน\r\nของเคานต์จีโอนอร์ในปี 1619 อ.ศ.","奧格姆郡，約恆曆 1132 年\r\n法瑞爾省\r\n調查委託方\r\n吉恩諾伯爵辦公室\r\n恆曆 1619 年","","","","","","","","","","",[2889],1,[72],[],"","","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinLabel",7,"","","","","","","","","","","","",4264,4264,""
3,"G1_MapBorder_Surface","",[],"","","","","","","","","","","","","","","","","","","","",[2889],1,[72],[],"","WorldMapBorder","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderSurface",3,"","","","","","","","","","","","",4264,4264,""
4,"G1_MapBorder_Underground","",[],"","","","","","","","","","","","","","","","","","","","",[2889],1,[72],[],"","WorldMapBorder","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBorderUnderground",4,"","","","","","","","","","","","",4264,4264,""
5,"G1_1","",[92],"The Riverbank","La Bordure de la rivière","Das Flussufer","川岸","강둑","O Beirario","Берег реки","La orilla del río","ริมตลิ่ง","河岸","Dregs and filth from the Manor gather in silence.","Les rebuts et les ordures du Manoir se rassemblent en silence.","Abschaum und Schmutz aus dem Herrenhaus sammeln sich in der Stille.","荘園のゴミやら汚物がひっそりと集まる。","저택에서 나오는 오물과 쓰레기가 소리 없이 모여듭니다.","O esgoto e a sujeira da Mansão se acumulam em silêncio.","Сюда стекаются все отбросы и грязь из замка.","La basura y la escoria de la Mansión se reúnen en silencio.","ซากตะกอนโสโครกจากคฤหาสน์\r\nไหลรวมกันอย่างเงียบงัน","宅第的殘渣與穢物在靜默中匯集。",[2889],1,[2889],[],"","","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinRiverbank","","","","","","","","","","","","","",4264,4264,""
6,"G1_1_BloatedMiller","",[],"The Bloated Miller","Le Meunier boursouflé","Der Aufgedunsene Müller","腐乱した粉屋","불어 터진 방아꾼","O Triturador Inchado","Раздувшийся мельник","El molinero hinchado","เจ้าของโรงสีขึ้นอืด","浮腫米勒","...intermittent growls echo along the Riverbank, but there is a distant, rythmic sawing of wood underneath it all...","...des grognements intermittents résonnent le long de la Bordure de la rivière, mais on distingue également un bruit de sciage de bois lointain et rythmé...","… ein gelegentliches Knurren hallt am Flussufer wider, aber unter all dem ist ein fernes, rhythmisches Sägen von Holz zu hören … ","……川岸では時折唸り声が鳴り響くが、その背景には遠い、木にノコギリを引く一定の音が聞こえている……","...강둑을 따라 간헐적으로 으르렁거리는 소리가 울려퍼지지만, 그 아래에는 아득하고 규칙적인 톱질 소리가 깔려 있습니다...","...rosnados intermitentes ecoam ao longo da margem do rio, mas há um som distante e rítmico de madeira sendo serrada ao fundo...","...время от времени вдоль речных берегов эхом разносится рык, но на его фоне можно расслышать, как мерно стрекочет пила вдалеке...","...unos gruñidos intermitentes resuenan por la Orilla del río, pero también se oye un sonido rítmico y distante de serrado de madera por debajo de todo eso...","...เสียงคำรามกึกก้องไปตามริมตลิ่ง\r\nคลอด้วยเสียงเลื่อยเป็นจังหวะมาแต่ไกล...","……斷斷續續的吼叫聲在河岸迴盪，但在這些聲音之中，有一個遙遠、有節奏的鋸木聲……",[2889],1,[72],[2934],"","WorldMapContentBoss",5,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","","","","","","","","","","",4264,4264,""
7,"G1_1_BloatedMillerSlain","",[],"The Bloated Miller","Le Meunier boursouflé","Der Aufgedunsene Müller","腐乱した粉屋","불어 터진 방아꾼","O Triturador Inchado","Раздувшийся мельник","El molinero hinchado","เจ้าของโรงสีขึ้นอืด","浮腫米勒","That gargantuan beast, could that have been human once? At least the encampment is safe for now.","Cette bête gargantuesque, était-elle autrefois humaine ? Au moins, le campement est en sécurité pour l'instant.","Diese gewaltige Bestie, könnte das einmal ein Mensch gewesen sein? Wenigstens ist das Lager vorerst sicher.","あの巨大な獣、かつては人間だったのだろうか？少なくともこれで野営地は安全だ。","저 거대한 야수가 한때는 인간이었을 가능성이 있을까요? 그나마 이제 야영지는 무사합니다.","Aquela besta gigantesca, será que já foi humana algum dia? Pelo menos o acampamento está seguro por enquanto.","Неужели эта чудовищная громадина могла когда-то быть человеком? По крайней мере, лагерь пока в безопасности.","Esa bestia colosal, ¿habrá sido humana alguna vez? Al menos el campamento está a salvo por ahora.","เดรัจฉานมหึมาผู้นี้\r\nอาจเคยเป็นคนมาก่อนก็เป็นได้\r\nอย่างน้อยค่ายก็ปลอดภัยแล้ว","那頭巨大的野獸，難道牠曾經是人類嗎？至少營地現在安全了。",[2934],1,[72],[],"","WorldMapContentBossDone",5,"Metadata/Terrain/WorldMaps/Act1/Objects/MapPinBloatedMiller",0,"","","","","","","","","","","","",4264,4264,1
8,"G1_town",91,[91],"Clearfell Encampment","Campement de la Clairière","Lichtfall-Lager","クリアフェルの野営地","클리어펠 야영지","Acampamento Clearfell","Лагерь Клирфелл","Campamento de Sierraclara","ค่ายเคลียร์เฟล","皆伐營地","Walls of wood strain against the tide as Death knocks thrice.","Les murs de bois sont mis à rude épreuve alors que la Mort frappe trois fois.","Mauern aus Holz stemmen sich gegen die Flut, während der Tod dreimal anklopft.","死が三度扉を叩き、木の壁は潮に押されて歪む。","죽음이 세 번 벽을 두드리는 가운데, 나무 벽이 힘겹게 파도를 막아 내고 있습니다.","Paredes de madeira lutam contra a maré enquanto a Morte bate na porta três vezes.","Деревянный частокол трещит под натиском, когда в него стучит смерть.","Los muros de madera flaquean ante la marea cuando la muerte llama tres veces.","กำแพงไม้ต้านทานกระแสที่เข้ามา\r\nในยามที่ความตายกลับมาเยือน","木牆在死亡浪潮的多次侵襲下搖搖欲墜。",[2889],1,[2890],[],"","","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinTown","",3000,"With the Count dead, Ogham might finally be able to heal.","Avec la mort du comte, Ogham va peut-être enfin pouvoir guérir.","Mit dem Ableben des Grafen wird Ogham vielleicht endlich wieder normal werden können.","伯爵の死により、オガムはついに癒やしを得ることができるかもしれない。","백작이 죽었으니 마침내 오검도 치유할 수 있을지도 모릅니다.","Com a morte do Conde, Ogham pode finalmente conseguir se curar.","Теперь, когда граф мёртв, Огам, возможно, наконец-то сможет исцелиться.","Ahora que ha muerto el conde, quizá Ogham pueda sanar por fin.","เมื่อเคานต์ตาย\r\nอ็อกแฮมอาจได้รับ\r\nการเยียวยาเสียที","伯爵死後，奧格姆才得以逐漸恢復生機。","",4264,4264,""
9,"G1_2",93,[93],"Clearfell","La Clairière","Lichtfall","クリアフェル","클리어펠","Clearfell","Вырубка","Sierraclara","เคลียร์เฟล","皆伐","A wounded land plays host to an infection.","Une terre blessée devient la souche d'une infection.","Ein verwundetes Land ist Wirt für eine Infektion.","傷を負った土地は感染症の宿主となる。","상처 입은 땅이 감염으로 물들었습니다.","Uma terra ferida hospeda uma infecção.","Израненная земля становится рассадником заразы.","Una tierra herida alberga una infección.","แผ่นดินที่บาดเจ็บ\r\nเป็นแหล่งบ่มเพาะโรคร้าย","滿目瘡痍的大地成了瘟疫橫行的溫床。",[2890],1,[2891],[],"","","","Metadata/Terrain/WorldMaps/Act1/Objects/MapPinClearfell","","","","","","","","","","","","","",4264,4264,""
