"rownum","Id","BuffDefinitionsKeys","bool_24","BuffStacks","CharactersKey","StatsKeys","bool_61","StatValue","BaseItemType","bool_82"
0,"HasFority",[1820],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3443],"",1,[],""
2,"IsCoveredInSpiders",[702],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[763],"",5,"",[],"",1,[],""
4,"IsWebbed",[763],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[646],"",1,"",[],"",1,[],""
6,"IsFirebombed",[661],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[899],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1810],"",5,[],""
9,"HasPietysRage",[419],"",1,"",[],"",1,[],""
10,"IsJudged","[503,504]","",1,"",[],"",1,[],""
11,"HasEffluentX10","[753,754,755]","",10,"",[],"",1,[],""
12,"HasRampage",[],"",1,"",[2284],"",1,[],""
13,"HasShrineBuff",[],"",1,"",[5469],"",1,[],""
14,"IsCursed",[],"",1,"",[746],"",1,[],""
15,"IsNotCursed",[],"",1,"",[746],"",0,[],""
16,"IsVulnerable",[92],"",1,"",[],"",1,[],""
17,"InSeaWitchBeam",[287],"",1,"",[],"",1,[],""
18,"HasTempleTempestBuff","[444,445,437,439,460,455,443]","",1,"",[],"",1,[],""
19,"HasTempleExposure",[1067],"",1,"",[],"",1,[],""
20,"AffectedByHereticalFlare",[25],"",1,"",[],"",1,[],""
21,"AffectedByDarkVortex",[807],"",1,"",[],"",1,[],""
22,"AffectedByMonsterConsecratedGround",[1171],"",1,"",[],"",1,[],""
23,"Rampage300",[328],"",299,"",[],"",1,[],""
24,"IsBleeding",[],"",1,"",[2022],"",1,[],""
25,"HasQuicksandX10",[868],"",10,"",[],"",1,[],""
26,"HasMortalCall",[126],"",1,"",[],"",1,[],""
27,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[],""
28,"HasTopazRingEquipped",[],"",1,"",[],"",1,[],""
29,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,[],1
30,"IsBlinded",[],"",1,"",[976],"",1,[],""
31,"IsTaunted",[],"",1,"",[3298],"",1,[],""
32,"HasEmberstorm",[1525],"",1,"",[],"",1,[],""
33,"HasBoneRoil",[561],"",1,"",[],"",1,[],""
34,"HasDoedresTorment",[829],"",5,"",[],"",1,[],""
35,"HasDoedresWithering",[830],"",5,"",[],"",1,[],""
36,"HasDoedresSuffering",[831],"",5,"",[],"",1,[],""
37,"HasDivineShrine",[267],"",1,"",[],"",1,[],""
38,"HasCovetousShrine",[1889],"",1,"",[],"",1,[],""
39,"HasTemporalChains",[85],"",1,"",[],"",1,[],""
40,"HasConductivity",[89],"",1,"",[],"",1,[],""
41,"HasMoltenShell",[130],"",1,"",[],"",1,[],""
42,"HasTrialmasterTether",[1674],"",1,"",[],"",1,[],""
43,"AffectedByBearTrap",[176],"",1,"",[],"",1,[],""
44,"AffectedByToxicSwamp",[1638],"",1,"",[],"",1,[],""
45,"AffectedByScreechX4",[298],"",1,"",[],"",1,[],""
46,"HasRighteousFire",[16],"",1,"",[],"",1,[],""
47,"HasGlimpseOfInfinity",[1769],"",1,"",[],"",1,[],""
48,"HasIndifferenceOfTheCosmos",[1768],"",1,"",[],"",1,[],""
49,"IsPoisoned",[],"",1,"",[3530],"",1,[],""
50,"AffectedByTheBlackReaping",[1779],"",1,"",[],"",1,[],""
51,"AffectedByEnervation",[1788],"",1,"",[],"",1,[],""
52,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[1938],"",6,"",[],"",1,[],""
53,"IsChilled",[],"",1,"",[1795],"",1,[],""
54,"HasAnnihilatingLightX30",[1866],"",30,"",[],"",1,[],""
55,"HasCrushingDarknessX30",[1867],"",30,"",[],"",1,[],""
56,"HasMavensPunishment","[1656,1657]","",1,"",[],"",1,[],""
57,"HasSearingRune",[1932],"",1,"",[],"",1,[],""
58,"HasDesolationoftheAwakener",[1350],"",1,"",[],"",1,[],""
59,"HasDecayandVortex","[636,927]",1,1,"",[],"",1,[],""
60,"PlayerinBreach",[],"",1,"",[7874],"",1,[],""
61,"HasShrineBuffX4",[],"",1,"",[5469],"",4,[],""
62,"IsPoe2Witch",[],"",1,1,[],"",1,[],""
63,"IsPoe2Ranger",[],"",1,2,[],"",1,[],""
64,"IsPoe2Marauder",[],"",1,0,[],"",1,[],""
65,"IsPoe2Templar",[],"",1,5,[],"",1,[],""
66,"IsPoe2Gladiator",[],"",1,3,[],"",1,[],""
67,"IsPoe2Assassin",[],"",1,4,[],"",1,[],""
