"rownum","Id","RecipeItems","[string]_24","rid_40","i32_56","rid_60","i32_76","bool_80","i32_81","rid_85","i32_101","i32_105","i32_109","i32_113","bool_117"
0,"ReliquaryWorldDrop",[814],"[""Ê""]","",0,"",0,1,0,0,0,1342177280,0,0,1
1,"ReliquaryBreach",[815],"[""Ê""]","",0,"",0,1,0,0,0,-1845493760,0,0,1
2,"ReliquaryUltimatum",[816],"[""Ê""]","",0,"",0,1,0,0,0,-637534208,0,0,1
3,"ReliquaryRitual",[817],"[""Ê""]","",0,"",0,1,0,0,0,469762048,1,0,1
4,"ReliquaryDelirium",[818],"[""Ê""]","",0,"",0,1,0,0,0,1644167168,1,0,1
5,"ReliquaryExpedition",[819],"[""Ê""]","",0,"",0,1,0,0,0,-1409286144,1,0,1
6,"ReliquaryPinnacle",[820],"[""Ê""]","",0,"",0,1,0,0,0,-234881024,1,0,1
7,"ReliquarySanctumBase",[821],"[""Ê""]","",0,"",0,1,0,0,0,1040187392,2,0,1
8,"ReliquarySanctumRelic2",[822],"[""Ê""]","",0,"",0,1,0,0,0,-1912602624,2,0,1
9,"ReliquarySanctumRelic3",[823],"[""Ê""]","",0,"",0,1,0,0,0,-570425344,2,0,1
10,"ReliquarySanctumRelic4",[824],"[""Ê""]","",0,"",0,1,0,0,0,771751936,3,0,1
11,"ReliquarySanctumRelic5",[825],"[""Ê""]","",0,"",0,1,0,0,0,2113929216,3,0,1
12,"ReliquarySanctumRelic6",[826],"[""Ê""]","",0,"",0,1,0,0,0,-838860800,3,0,1
