"rownum","Id","MemoryLine","HASH16","bool_26","bool_27","Stats","StatsValues","i32_60","i32_64","rid_68","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","rid_96"
0,"MemoryLineAnarchy1",2,-12960,"","",[16119],[3],4,1224,1244,0,"of Organised Chaos","d'un Chaos organisé","des organisierten Chaos","秩序だった混沌の","- 체계적 혼돈","do Caos Organizado","об организованном хаосе","de caos organizado","แห่งขบวนการความวุ่นวาย","組織混沌之",5927
1,"MemoryLineAnarchy2",2,-20207,"","",[],[],1,1225,1245,0,"of Ransacked Relics","de Reliques saccagées","der geplünderten Relikte","略奪された遺物の","- 노획당한 유물","das Relíquias Saqueadas","о разграбленных реликвиях","de reliquias saqueadas","แห่งวัตถุโบราณที่ถูกปล้น","洗劫遺物之",5927
2,"MemoryLineDomination1",8,-28328,"","","[14824,16109]","[10,100]",6,1226,1246,0,"of Formidable Shrines","d'Autels redoutables","der gewaltigen Schreine","恐ろしい神殿の","- 강대한 성소","dos Altares Formidáveis","о грозных святилищах","de santuarios formidables","แห่งแท่นบูชาน่าเกรงขาม","強大神殿之",5927
3,"MemoryLineDomination2",8,-30276,"","","[15972,16940]","[4,300]",3,1227,1247,0,"of the Pantheon","du Panthéon","des Pantheons","万神殿の","- 판테온","do Panteão","о Пантеоне","del panteón","แห่งทวยเทพ","眾神殿之",13040
4,"MemoryLineEssence1",9,-11718,"","",[],[],1,1228,1248,0,"of Collective Stasis","d'une Stase collective","der kollektiven Stasis","集合する静止の","- 집단적 정체","do Estase Coletivo","о коллективном заточении","de estasis colectivo","แห่งกลุ่มผู้แน่นิ่ง","集體靜止之",5927
5,"MemoryLineEssence2",9,23679,"","","[15984,12898,12989,14827,12990]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons","de Prisons de cristal","der Kristallgefängnisse","結晶の牢獄の","- 수정 수용소","das Prisões de Cristal","о кристальных тюрьмах","de prisiones de cristal","แห่งกรงผลึก","水晶監獄之",13041
6,"MemoryLineAmbush1",1,-18946,"","","[16141,4965]","[4,1]",4,1230,1250,0,"of Cascading Fortunes","de Richesses en cascade","der kumulierten Reichtümer","次々と迫る富の","- 쏟아지는 보물","das Cascatas de Fortunas","о череде богатств","de fortunas rebosantes","แห่งทรัพย์สมบัติพรั่งพรู","鉅額財富之",13042
7,"MemoryLineAmbush2",1,-31908,"","","[4907,4968]","[1,2]",3,1231,1251,0,"of Hidden Behemoths","de Béhémoths cachés","der versteckten Ungeheuer","隠れしベヒモスの","- 숨은 거대괴수","dos Gigantes Escondidos","о скрытых колоссах","de monstruos ocultos","แห่งยักษ์เร้นลับ","隱匿巨獸之",5927
8,"MemoryLineBreach1",6,-24792,"","","[16027,12610,15456]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught","d'un Assaut démoniaque","des dämonischen Ansturms","悪魔の襲来の","- 악마의 맹공","da Matança Demoníaca","о демоническом раже","de ofensiva demoníaca","แห่งปีศาจรุกราน","惡魔猛攻之",13043
9,"MemoryLineBreach2",6,-28812,"","","[16103,13022,12871]","[1,100,100]",6,1233,1253,0,"of Grasping Hands","de Mains agrippantes","der greifenden Hände","握る手の","- 거머쥐는 손","das Mãos Aprisionadoras","о цепких руках","de puños cerrados","แห่งมือเหนี่ยวรั้ง","亡者之手之",13044
10,"MemoryLineTorment1",17,19174,"","",[2712],[1],1,1234,1254,0,"of Self-Possession","d'une Auto-possession","der Selbstbesessenheit","取り憑かれた集中力の","- 침착성","da Serenidade","о самоистязании","de autoposesión","แห่งการถูกเข้าสิง","自我侵占之",5927
11,"MemoryLineTorment2",17,24671,"","",[2712],[1],3,1235,1255,0,"of Tormented Souls","d'Âmes tourmentées","der Gequälten Seelen","苦しめられた魂の","- 고통받는 영혼","das Almas Atormentadas","о страдающих душах","de almas atormentadas","แห่งผีตายโหง","罪魂之",13045
