"rownum","GraphicalItemReceptacle","Key","rid_20","i32_36","string_40","string_48","BaseItemType","SoundEffect","string_88"
0,0,0,"",4076,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster2Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster2",[4257],1085,"key_1_used"
1,0,1,"",4077,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster1Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster1",[4258],1086,"key_2_used"
2,0,2,"",4078,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster3Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTrialmaster3",[4259],1087,"key_3_used"
3,1,0,"",4093,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith1Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith1","[4236,4242]",1092,"left_key"
4,1,1,"",4094,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith3Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith3","[4237,4243]",1093,"right_key"
5,1,2,"",4095,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith2Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsMonolith2","[4238,4244]",1094,"top_key"
6,2,0,"",161,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual1Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual1","[4253,4248]",1275,"bones_1"
7,2,1,"",162,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual2Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual2","[4253,4249]",1276,"bones_2"
8,2,2,"",163,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual3Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual3","[4253,4250]",1277,"bones_3"
9,2,3,"",164,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual4Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual4","[4253,4251]",1278,"bones_4"
10,2,4,"",165,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual5Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsRitual5","[4253,4252]",1279,"bones_5"
11,3,0,"",141,"Art/2DArt/UIImages/InGame/Breach/DoorSocketsBreachlordSacGlow","Art/2DArt/UIImages/InGame/Breach/DoorSocketsBreachlordSac","[481,4961]",1283,"filled"
12,4,0,"",4431,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTangmazuGlow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsTangmazu","[3773,4962]",1290,"filled"
13,5,0,"",4757,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsExpeditionGlow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsExpedition","[3774,4963]",1293,"bones_1"
14,6,0,"",4457,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsPrecursor1Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsPrecursor1","[4245,4957]",1413,"egg"
15,6,1,"",4458,"Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsPrecursor2Glow","Art/2DArt/UIImages/InGame/DoorSockets/DoorSocketsPrecursor2","[4246,4958]",1412,"seed"
