"rownum","SpecializedStash","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","ShowInStashes","IsDisabled"
0,13,"Blight","Blight","Blight","ブライト","역병","Blight","Скверна","Blight","ไบล์ท","凋落","[0,1,7,10,13]",1
1,3,"Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨","[0,1,7,10,3]",""
2,15,"Delirium","Delirium","Delirium","デリリウム","환영","Delirium","Делириум","Delirio","เดลิเรียม","譫妄","[0,1,7,10,15]",""
3,12,"Delve","Delve","Delve","デルヴ","탐광","Delve","Спуск","Delve","เหมืองลึก","掘獄","[0,1,7,10,12]",1
4,6,"Divination Card","Carte divinatoire","Weissagungskarte","占いカード","점술 카드","Carta de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡","[0,1,7,10,6]",1
5,8,"Essence","Essence","Essenz","エッセンス","에센스","Essência","Сущности","Esencias","เอสเซนส์","精髓","[0,1,7,10,8,11]",""
6,9,"Fragment","Fragment","Fragment","フラグメント","조각","Fragmento","Фрагменты","Fragmentos","ชิ้นส่วน","碎片","[0,1,7,10,9]",""
7,5,"Waystone","Pierre de téléportation","Wegstein","ウェイストーン","경로석","Mapa","Путевые камни","Piedras guía","ศิลานำทาง","換界石","[0,1,7,10,5]",""
8,14,"Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕","[0,1,7,10,14]",""
9,4,"Unique","Unique","Unikat","ユニーク","고유","Único","Уникальные предметы","Únicos","ยูนิค","傳奇","[0,1,7,10,4]",""
10,17,"Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флаконы","Frascos","ขวดยา","藥劑","[0,1,7,10,17]",""
11,18,"Gem","Gemme","Gemme","ジェム","젬","Gema","Камни","Gemas","หิน","寶石","[0,1,7,10,18]",""
12,19,"Socketables","Enchâssables","Einfassbar","ソケット可能","홈에 장착 가능","Com Encaixes","Размещаемое","Engarzables","ไอเทมใส่รู","可鑲嵌","[0,1,7,10,19]",""
13,20,"Expedition","Expédition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedición","กองสำรวจ","探險","[0,1,7,10,20]",""
14,21,"Ritual","Rituel","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀","[0,1,7,10,21]",""
