"rownum","Id","HASH32","DisplayString","DisplayString (French)","DisplayString (German)","DisplayString (Japanese)","DisplayString (Korean)","DisplayString (Portuguese)","DisplayString (Russian)","DisplayString (Spanish)","DisplayString (Thai)","DisplayString (Traditional Chinese)","[rid]_20","UiHints","UiHints (French)","UiHints (German)","UiHints (Japanese)","UiHints (Korean)","UiHints (Portuguese)","UiHints (Russian)","UiHints (Spanish)","UiHints (Thai)","UiHints (Traditional Chinese)"
0,"default",422118271,"","","","","","","","","","",[],"","","","","","","","","",""
1,"shield",2563403800,"","","","","","","","","","",[],"","","","","","","","","",""
2,"ring",1548697290,"","","","","","","","","","",[],"","","","","","","","","",""
3,"amulet",2782997871,"","","","","","","","","","",[],"","","","","","","","","",""
4,"boots",2607746581,"","","","","","","","","","",[],"","","","","","","","","",""
5,"bow",679464059,"","","","","","","","","","",[],"","","","","","","","","",""
6,"equipment",722580695,"","","","","","","","","","",[],"","","","","","","","","",""
7,"armour",2957524167,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","เกราะ","護甲",[],"","","","","","","","","",""
8,"weapon",2083734973,"","","","","","","","","","",[],"","","","","","","","","",""
9,"wand",480222972,"","","","","","","","","","",[],"","","","","","","","","",""
10,"staff",471286042,"","","","","","","","","","",[],"","","","","","","","","",""
11,"mace",806631069,"","","","","","","","","","",[],"","","","","","","","","",""
12,"sword",3989395041,"","","","","","","","","","",[],"","","","","","","","","",""
13,"dagger",439417649,"","","","","","","","","","",[],"","","","","","","","","",""
14,"claw",1232106651,"","","","","","","","","","",[],"","","","","","","","","",""
15,"axe",2654028327,"","","","","","","","","","",[],"","","","","","","","","",""
16,"body_armour",3277734544,"","","","","","","","","","",[],"","","","","","","","","",""
17,"life_flask",3992779349,"","","","","","","","","","",[],"","","","","","","","","",""
18,"mana_flask",3309677938,"","","","","","","","","","",[],"","","","","","","","","",""
19,"hybrid_flask",774333752,"","","","","","","","","","",[],"","","","","","","","","",""
20,"flask",3327377908,"","","","","","","","","","",[],"","","","","","","","","",""
21,"quiver",2244848098,"","","","","","","","","","",[],"","","","","","","","","",""
22,"gloves",1392394290,"","","","","","","","","","",[],"","","","","","","","","",""
23,"onehand",1350994486,"","","","","","","","","","",[],"","","","","","","","","",""
24,"twohand",4111396113,"","","","","","","","","","",[],"","","","","","","","","",""
25,"helmet",3097172743,"","","","","","","","","","",[],"","","","","","","","","",""
26,"belt",2520187466,"","","","","","","","","","",[],"","","","","","","","","",""
27,"gem",2791310464,"Gem","Gemme","Gemme","ジェム","젬","Gema","Камень","Gema","หิน","寶石",[],"","","","","","","","","",""
