"rownum","Id","ItemClasses","string_24","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"OneHandMelee","[7,11,12,9,6,32]","1HandedMelee","One Hand Melee","Mêlée à 1 main","Nahkampf: Einhand","片手近接","한손 근접","Corpo a Corpo de Uma Mão","Одноручное ближний бой","Cuerpo a cuerpo a una mano","ประชิดมือเดียว","單手近戰"
1,"TwoHandMelee","[16,17,15,14,57,78,84,37,109]","2HandedMelee","Two Hand Melee","Mêlée à 2 mains","Nahkampf: Zweihand","両手近接","양손 근접","Corpo a Corpo de Duas Mãos","Двуручное ближний бой","Cuerpo a cuerpo a dos manos","ประชิดสองมือ","雙手近戰"
2,"OneHandRanged",[8],"1HandedRange","One Hand Ranged","Distance à 1 main","Fernkampf: Einhand","片手遠距離","한손 원거리","Longo Alcance de Uma Mão","Одноручное дальний бой","A distancia a una mano","ระยะไกลมือเดียว","單手遠距"
3,"TwoHandRanged","[13,79]","2HandedRange","Two Hand Ranged","Distance à 2 mains","Fernkampf: Zweihand","両手遠距離","양손 원거리","Longo Alcance de Duas Mãos","Двуручное дальний бой","A distancia a dos manos","ระยะไกลสองมือ","雙手遠距"
4,"Shield","[26,80,93]","Shield","[DNT] Shield-likes","Bouclier","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾"
5,"Helmet",[25],"Helmet","Helmet","Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔"
6,"BodyArmour",[24],"Armour","Body Armour","Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲"
7,"Gloves",[22],"Gloves","Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套"
8,"Boots",[23],"Boots","Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子"
9,"Ring",[5],"Ring","Ring","Bague & Anneau","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指"
10,"Amulet",[4],"Amulet","Amulet","Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊"
11,"Belt",[21],"Belt","Belt","Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶"
12,"Flask","[0,1,33]","Flask","Flask","Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑"
13,"Quiver",[20],"Quiver","Quiver","Carquois","Köcher","矢筒","화살통","Aljava","Колчан","Carcaj","ซองธนู","箭袋"
14,"Map",[35],"","Map","Carte","Karte","マップ","지도","Mapa","Карта","Mapa","แผนที่","地圖"
15,"MapFragment",[38],"","Map Fragment","Fragment de Carte","Kartenfragment","マップフラグメント","지도 조각","Fragmento de Mapa","Фрагмент карты","Fragmento de mapa","ชิ้นส่วนแผนที่","地圖碎片"
16,"Jewel","[41,50]","","Jewel","Joyau","Juwel","ジュエル","주얼","Joia","Самоцвет","Joya","จิวเวล","珠寶"
17,"Breachstone",[87],"","Breachstone","Pierre de Brèche","Riss-Stein","ブリーチストーン","균열석","Pedra de Fenda","Камень Разлома","Piedra de fisura","ศิลาบรีช","裂痕石"
18,"Weapon","[7,11,12,9,6,16,17,15,57,78,84,37,109,13,79,14,8,32]","","","","","","","","","","",""
19,"MartialWeapon","[7,11,12,9,6,16,17,15,57,78,84,37,109,13,79]","","Martial Weapon","Arme martiale","Kampfwaffe","マーシャル武器","무도 무기","Arma Marcial","Боевое оружие","Arma marcial","อาวุธจู่โจม","軍用武器"
20,"CasterWeapon","[14,8]","","Caster Weapon","Arme de lanceur de sorts","Zaubererwaffe","キャスター武器","시전자 무기","Arma de Conjurador","Чародейское оружие","Arma de lanzador de hechizos","อาวุธนักเวท","法術武器"
21,"Staff",[14],"","Staff","Bâton","Stab","スタッフ","지팡이","Cajado","Посох","Báculo","ไม้พลอง","長杖"
22,"Wand",[8],"","Wand","Baguette","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖"
23,"Sceptre",[32],"","Sceptre","Sceptre","Zepter","セプター","셉터","Cetro","Скипетр","Cetro","คทา","權杖"
24,"Focus",[80],"","Focus","Focus","Fokus","フォーカス","집중구","Foco","Фокус","Foco","โฟกัส","法器"
25,"Buckler",[93],"","Buckler","Bocle","Faustschild","バックラー","버클러","Broquel","Баклер","Broquel","บัคเลอร์","輕盾"
