"rownum","MTX","TierThresholds","rid_32","[i32]_48","rid_64","TierCount","[rid]_84","[i32]_100","[i32]_116","bool_132","bool_133","rid_134","bool_150","[i32]_151"
0,3484,"[0,10000,500000,2000000]",15257,[],"",4,[],[],[],1,"","","",[]
1,3492,"[0,150,500,1000,1500]",562,[],563,5,[],[],[],"","","","",[]
2,3491,"[0,150,500,1000,1500]",565,[],566,5,[],[],[],"","","","",[]
3,3555,"[74,75]",297,[],141,2,[],[],[],"","","","",[]
4,3554,"[74,75]",298,[],139,2,[],[],[],"","","","",[]
5,3556,"[74,75]",299,[],143,2,[],[],[],"","","","",[]
6,3557,"[74,75]",15182,[],136,2,[],[],[],"","","","",[]
7,3496,"[0,25,50,100,200,250,325]",235,[],172,7,[],[],[],"","","","",[]
8,3497,"[0,25,50,100,200,250,325]",235,[],172,7,[],[],[],"","","","",[]
9,3498,"[0,25,50,100,200,250,325]",235,[],172,7,[],[],[],"","","","",[]
10,3499,"[0,25,50,100,200,250,325]",235,[],172,7,[],[],[],"","","","",[]
11,3500,"[0,25,50,100,200,250,325]",235,[],172,7,[],[],[],"","","","",[]
12,3510,"[0,1,3,7,13,25,30]",15325,[],"",7,[],[],[],"","","","",[]
13,3511,"[0,1,3,7,13,25,30]",15325,[],"",7,[],[],[],"","","","",[]
14,3512,"[0,1,3,7,13,25,30]",15325,[],"",7,[],[],[],"","","","",[]
15,3513,"[0,1,3,7,13,25,30]",15325,[],"",7,[],[],[],"","","","",[]
16,3514,"[0,1,3,7,13,25,30]",15325,[],"",7,[],[],[],"","","","",[]
17,3501,"[0,20,30]",15323,[],"",3,[],[],[],"","","","",[]
18,3502,"[0,20,30]",15323,[],"",3,[],[],[],"","","","",[]
19,3503,"[0,20,30]",15323,[],"",3,[],[],[],"","","","",[]
20,3504,"[0,20,30]",15323,[],"",3,[],[],[],"","","","",[]
21,3526,"[0,1,3,5,7,9,11,12]",15392,[],"",8,[],[],[],"","","","",[]
22,3527,"[0,1,3,5,7,9,11,12]",15392,[],"",8,[],[],[],"","","","",[]
23,3528,"[0,1,3,5,7,9,11,12]",15392,[],"",8,[],[],[],"","","","",[]
24,3529,"[0,1,3,5,7,9,11,12]",15392,[],"",8,[],[],[],"","","","",[]
25,3546,"[0,1,5,10]",15369,[],"",4,[],[],[],"","","","",[]
26,3547,"[0,1,5,10]",15369,[],"",4,[],[],[],"","","","",[]
27,3548,"[0,1,5,10]",15369,[],"",4,[],[],[],"","","","",[]
28,3549,"[0,1,5,10]",15369,[],"",4,[],[],[],"","","","",[]
29,3522,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","","",[]
30,3523,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","","",[]
31,3524,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","","",[]
32,3525,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[],1,"","","",[]
33,3538,"[0,1,3,5,7,9,11,13]",2586,[],7946,8,[],[],[],"","","","",[]
34,3539,"[0,1,3,5,7,9,11,13]",2586,[],7946,8,[],[],[],"","","","",[]
35,3540,"[0,1,3,5,7,9,11,13]",2586,[],7946,8,[],[],[],"","","","",[]
36,3541,"[0,1,3,5,7,9,11,13]",2586,[],7946,8,[],[],[],"","","","",[]
37,3475,"[0,1,10,15,20,25]",15169,[],"",6,[],[],[],"","","","",[]
38,3505,"[0,50,100,150,200,250,300,350]",562,[],563,8,[],[],[],"","","","",[]
39,3506,"[0,50,100,150,200,250,300,350]",568,[],569,8,[],[],[],"","","","",[]
40,3507,"[0,50,100,150,200,250,300,350]",565,[],566,8,[],[],[],"","","","",[]
41,3508,"[0,100,200,300,400,500,600,700]",15883,[],594,8,[],[],[],"","","","",[]
42,3509,"[0,50,100,150,200,250,300,350]",14445,[],16315,8,[],[],[],"","","","",[]
43,3650,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
44,3649,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
45,3648,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
46,3651,"[0,50,100,150,200]",805,[],148,5,[],[],[],"","","","",[]
47,4407,"[0,10,20,30,40,50,60]",15179,[],"",7,[],[],[],"","","","",[]
48,3476,"[0,12,20,29]",15772,[],"",4,[],[],[],1,"","","",[]
49,3477,"[0,14,22,32]",15772,[],"",4,[],[],[],1,"","","",[]
50,3481,"[0,16,24,35]",15772,[],"",4,[],[],[],1,"","","",[]
51,3479,"[0,18,26,38]",15772,[],"",4,[],[],[],1,"","","",[]
52,3676,"[0,20,50,100]",15655,[],"",4,[],[],[],"","","","",[]
53,3678,"[0,20,50,100]",15655,[],"",4,[],[],[],"","","","",[]
54,3677,"[0,20,50,100]",15655,[],"",4,[],[],[],"","","","",[]
55,3679,"[0,20,50,100]",15655,[],"",4,[],[],[],"","","","",[]
56,3493,"[0,30,65,100,150,200]",1417,[],25,6,[],[],[],"","","","",[]
57,3708,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","","",[]
58,3694,"[0,25,50,75]",235,[],172,4,[],[],[],"","","","",[]
