"rownum","Stat","Indicator","Condition","[string]_48","[string]_64","[string]_80","[rid]_96","i32_112","MiscAnimated"
0,23890,71,[0],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,8005
1,18210,72,[1],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,8249
2,18327,76,[2],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1916],0,8387
3,24205,76,"[2,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,8387
4,18389,78,[3],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,9241
5,23970,78,[4],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,9241
6,24206,78,"[3,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,9241
7,23727,159,[5],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,9979
8,23969,159,[6],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,9979
9,24207,159,"[5,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,9979
10,21151,117,[7],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,9114
11,21187,76,"[8,9,2]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1916],100,8388
12,21304,120,[10],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1916],0,9213
