"rownum","InfluencePack","MonsterPacks","rid_32","[rid]_48","i32_64","i32_68","i32_72","i32_76","[i32]_80","i32_96","i32_100","rid_104","i32_120","i32_124","i32_128","i32_132","bool_136","bool_137","bool_138","bool_139"
0,0,[],"",[],0,0,8,0,[],0,0,16505,20,20,15,15,"","","",""
1,1,[],"",[],0,0,8,0,[],0,0,16505,30,30,20,20,"","","",""
2,2,[],"",[],0,0,8,0,[],0,0,16505,40,40,25,25,"","","",""
3,3,[],"",[],0,0,8,0,[],0,0,16505,20,20,15,15,"","","",""
4,4,[],"",[],0,0,8,0,[],0,0,16505,30,30,20,20,"","","",""
5,5,[],"",[],0,0,8,0,[],0,0,16505,40,40,25,25,"","","",""
6,6,[],"",[],0,0,8,0,[],0,0,16505,20,20,15,15,"","","",""
7,7,[],"",[],0,0,8,0,[],0,0,16505,30,30,20,20,"","","",""
8,8,[],"",[],0,0,8,0,[],0,0,16505,40,40,25,25,"","","",""
9,9,[],"",[],0,0,8,0,[],0,0,16505,20,20,15,15,"","","",""
10,10,[],"",[],0,0,8,0,[],0,0,16505,30,30,20,20,"","","",""
11,11,[],"",[],0,0,8,0,[],0,0,16505,40,40,25,25,"","","",""
12,12,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
13,13,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
14,14,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
15,15,[],"",[],0,0,8,0,[],0,0,"",15,15,15,15,"","","",""
16,16,[],"",[10128],0,0,8,0,[15],0,0,"",0,0,0,0,"","","",""
17,17,[],"",[],0,0,8,0,[],0,0,"",6,6,6,6,"","","",""
18,18,[],"",[],0,0,8,0,[],0,0,"",4,4,4,4,"","","",""
19,19,[],"",[],0,0,8,0,[],0,0,"",6,6,6,6,"","","",""
20,20,[],1378,[],5,0,28,0,[],0,0,"",0,0,0,0,"","","",""
21,21,[],1379,[],7,0,48,0,[],0,0,"",0,0,0,0,"","","",""
22,22,[],1380,[],4,0,76,0,[],0,0,"",0,0,0,0,"","","",""
23,23,[],1381,[],5,0,92,0,[],0,0,"",0,0,0,0,"","","",""
24,25,[],"",[],0,0,8,0,[],70,100,15283,3,3,3,3,1,"","",""
25,26,[],"",[],0,0,8,0,[],70,100,15283,3,3,3,3,1,"","",""
26,27,[],"",[],0,0,8,0,[],0,0,15283,8,18,8,18,1,"","",""
27,28,[],"",[],0,0,8,0,[],0,0,15283,10,23,10,20,1,"","",""
28,29,[],"",[],0,0,8,0,[],0,0,15283,12,28,12,22,1,"","",""
29,30,[],"",[],0,0,8,0,[],0,0,15283,14,32,14,24,1,"","",""
30,31,[],"",[],0,0,8,0,[],0,0,15283,16,36,16,26,1,"","",""
31,32,[],"",[],0,0,8,0,[],0,0,15283,18,48,18,28,1,"","",""
32,33,[],"",[],0,0,8,0,[],0,0,15283,20,60,20,30,1,"","",""
33,34,[],"",[],0,0,8,0,[],0,0,15283,20,60,20,30,1,"","",""
34,35,[],"",[],0,0,8,0,[],70,100,15284,3,3,3,3,1,"","",""
35,36,[],"",[],0,0,8,0,[],70,100,15284,3,3,3,3,1,"","",""
36,37,[],"",[],0,0,8,0,[],0,0,15284,8,18,8,18,1,"","",""
37,38,[],"",[],0,0,8,0,[],0,0,15284,10,23,10,20,1,"","",""
38,39,[],"",[],0,0,8,0,[],0,0,15284,12,28,12,22,1,"","",""
39,40,[],"",[],0,0,8,0,[],0,0,15284,14,32,14,24,1,"","",""
40,41,[],"",[],0,0,8,0,[],0,0,15284,16,36,16,26,1,"","",""
41,42,[],"",[],0,0,8,0,[],0,0,15284,18,48,18,28,1,"","",""
42,43,[],"",[],0,0,8,0,[],0,0,15284,20,60,20,30,1,"","",""
43,44,[],"",[],0,0,8,0,[],0,0,15284,20,60,20,30,1,"","",""
