"rownum","Passives","Map","i32_32","Biome","i32_52","rid_56","Stats","StatValues","MapPin","i32_120","BlockedMessage","bool_140","bool_141","bool_142","SubTree","i32_159","i32_163","MapObjective","i32_183","row_187","BiomeGroundType","MapDecoration1","MapDecoration2","Quest","i32_259","i32_263","bool_267","bool_268","ClientString"
0,7074,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
1,7633,[0],0,[],0,"",[],[],2,4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
2,7634,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
3,7635,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
4,7636,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
5,7637,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
6,7638,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
7,7639,[],0,[],0,"",[],[],28,4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
8,7640,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
9,7641,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
10,7642,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
11,7643,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
12,7644,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
13,7645,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
14,7646,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
15,7647,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
16,7648,[],0,[],0,"",[],[],"",4833,"","","","","",4833,4833,"",0,"","","","","",4833,4833,1,"",""
