"rownum","Id","SkillCrafting","[rid]_24","i32_40"
0,"DelwynFirstIntroHuntressConvo",[],[],1
1,"Delwyn_OnSpiritsHuntressConvo",[],[],1
2,"Delwyn_OnSpiritsAfterHuntHuntressConvo",[],[],1
3,"Delwyn_OnWispTypeHuntressConvo",[],[],1
4,"Delwyn_OnWispEffectsHuntressConvo",[],[],1
5,"Delwyn_OnAzmeriHuntressConvo",[],[],1
6,"Delwyn_OnSacredFoxHuntressConvo",[],[],1
7,"Delwyn_OnSacredHareHuntressConvo",[],[],1
8,"Delwyn_OnSacredWispsHuntressConvo",[],[],1
9,"Delwyn_OnIntroInMapsConvo",[],[],1
10,"A4Tujen_IntroConvo",[],[],1
11,"A4Tujen_IntroAfterMakoruConvo",[],[],1
12,"A4Doryani_IntroConvo",[],[],1
13,"A4Sin_OnDoryaniConvo",[],[],1
14,"A4Doryani_OnPiecesConvo",[],[],1
15,"A4Alva_IntroConvo",[],[],1
16,"A4Alva_IntroConvo_AcceptQuest",[],[],1
17,"A4Tujen_IntroConvo_AcceptQuest",[],[],1
18,"A4Tujen_JE_IntroConvo",[],[],1
19,"A4Rog_KingsmarchConvo",[],[],1
20,"A4Rog_KingConvo",[],[],1
21,"A4Rog_KalguuransConvo",[],[],1
22,"A4Rog_ShopConvo",[],[],1
23,"A4Rog_GrandQuest",[],[],1
24,"A4Rog_LongStoryConvo",[],[],1
25,"A4Rog_Wife",[],[],1
26,"A4Rog_Preacher",[],[],1
27,"A4Rog_CurrencyExchange",[],[],1
28,"A4Rog_TwilightOrder",[],[],1
29,"A4Rog_ActEnd",[],[],1
30,"A4Sin_OnKingsmarchConvo",[],[],1
31,"A4Sin_OnWeaponConvo",[],[],1
32,"A4Doryani_OnSinConvo",[],[],1
33,"A4Tujen_FogQuestPostMakoruConvo",[],[],1
34,"A4Tujen_FogQuestConvo",[],[],1
35,"A4Tujen_FogQuestPostKedgeConvo",[],[],1
36,"A4Tujen_FogQuestAccept",[],[],1
37,"A4Rog_PearlQuestConvo",[],[],1
38,"A4Rog_PearlQuestFinishConvo",[],[],1
39,"A4Tujen_FreyaQuestConvo",[],[],1
40,"A4Tujen_FreyaQuestConvoNotMet",[],[],1
41,"A4Dannig_VerisiumQuestConvo",[],[],1
42,"A4Dannig_IntroSorcConvo",[],[],1
43,"A4Dannig_IntroWitchConvo",[],[],1
44,"A4Dannig_IntroWarriorConvo",[],[],1
45,"A4Dannig_IntroMercConvo",[],[],1
