"rownum","Id","[rid]_8","Ascendancy","QuestFlag","[rid]_56","ItemClass","[i32]_88","SkillGem","Mtx","bool_128","bool_129","bool_130"
0,"0",[],[],[],[],[],[],[],"MysteryPackReturnOfTheAncientsBox",1,1,1
1,"1",[],[],[721],[],[],"[1,2]",[],"UpgradeToPremiumStashTab",1,1,1
2,"2",[],[],[],[],[],[10],[],"PremiumStashTab",1,1,1
3,"3",[],[],[721],[],[],[2],[],"TradeStashTab",1,1,1
4,"4",[],[],[],[],[],[11],[],"CharacterSlot",1,1,1
5,"352",[],[9],[],[],[],[],"[95,960,952,198,436]","DarkTempestSpearEffectBundle",1,"",1
6,"353",[],"[14,15]",[],[],[],[],"[452,49,111,109]","DeliriumOccultEffectBundle",1,"",1
7,"354",[],[10],[],[],[],[],"[952,95,198,960,436]","ValkyrieSpearEffectBundle",1,"",1
8,"355",[],[11],[],[],[],[],"[195,951,535,193,431,958]","ChaosbornDruidSpearEffectBundle",1,"",1
9,"356",[],[13],[],[],[],[],"[388,92,372,451,482,381,144,49,46,47,382,39]","SanguineOccultEffectBundle",1,"",1
10,"247",[],[5],[],[],[],[],"[191,108,203,113,485,402,169]","KitavaMaceEffectBundle",1,"",1
11,"169",[],[23],[],[],[],[],"[508,371,509,510,507]","SulphiteCrossbowSkillEffectBundle",1,"",1
12,"241",[],[24],[],[],[],[],"[371,509,507,510,508,95]","ThaumaturgesCrossbowEffectBundle",1,"",1
13,"236",[],[6],[],[],[],[],"[400,673,59,395,713,393,617]","FaridunBowEffectBundle",1,"",1
14,"98",[],[6],[],[],[],[],[95],"FaridunHeraldofThunderEffect",1,"",1
15,"229",[],"[16,12]",[],[],[],[],"[172,89,79,398,494,56,399]","DemonfireElementalEffectBundle",1,"",1
16,"165",[],"[35,34]",[],[],[],[],"[377,619,34,620,253]","AuroraQuarterstaffSkillEffectBundle",1,"",1
17,"224",[],[36],[],[],[],[],"[253,202,207,618,34,620,377]","BreachlordQuarterstaffEffectBundle",1,"",1
18,"225",[],[15],[],[],[],[],"[256,282,187,274]","AbyssalPrimalEffectBundle",1,"",1
19,"179",[],[28],[],[],[],[],"[256,282,187,274]","RadiantPrimalSkillEffectBundle",1,"",1
20,"226",[],[29],[],[],[],[],"[981,983,273,987,994,995]","BloodMoonPrimalSkillEffectBundle",1,"",1
21,"126",[],[5],[],[],[],[],"[263,293,982,275,294,1076]","ForgemasterPrimalSkillEffectBundle",1,"",1
22,"227",[],[14],[],[],[],[],"[265,105,974,991,976,978]","LichbornPrimalSkillEffectBundle",1,"",1
23,"228",[],[29],[],[],[],[],"[992,979,1091]","BestialPrimalSkillEffectsBundle",1,"",1
24,"124",[],[29],[],[],[109],[],[],"CrocoliskShapeshiftEffectBundle",1,"",1
25,"125",[],[8],[],[],[],[],"[390,409,392,1056,397]","BlightBowSkillEffectBundle",1,"",1
26,"175",[],[15],[],[],[],[],"[186,238,114,0,1067,78,401]","AbyssalColdElementalSkills",1,"",1
27,"300",[],[],[],[],[],[1],[],"TrackingScrollofAbysses",1,1,1
28,"57",[],[9],[],[],[],[],[],"SunClanRaiderBundle",1,"",1
29,"59",[],[36],[],[],[],[],[],"BreachlordsKnightBundle",1,"",1
30,"68",[],[],[],[],[],[1],[],"CurrencyCollectorsBundle",1,"",1
31,"71",[],[18],[],[],[],[],[],"ShiftingSandsDodgeRollEffect",1,"",1
32,"72",[],"[17,10,28,36]",[],[],[],[],[],"ElusiveDodgeRollEffect",1,"",1
33,"73",[],[13],[],[],[],[],[],"VampiricDodgeRollEffect",1,"",1
34,"102",[],"[14,15,8]",[],[],[],[],[],"GhoulDodgeRollEffect",1,"",1
35,"101",[],[16],[],[],[],[],[],"RollingWavesDodgeRollEffect",1,"",1
36,"74",[],[35],[],[],[],[],[],"HonourGuardDodgeRollEffect",1,"",1
37,"76",[],[11],[],[],[],[],[410],"RitualistsRhoaMountEffect",1,"",1
38,"78",[],[],[],[],[],[1],[],"SpeedrunnersMappingBundle",1,"",1
39,"130",[],"[14,15,10]",[],[],[],[],[],"TormentorsRareFinisherEffect",1,"",1
40,"132",[],[11],[],[],[],[],[],"ChaosbornDruidsRareFinisherEffect",1,"",1
41,"182",[],[5],[],[],[],[],[],"PlummetingChaosRareFinisherEffect",1,"",1
42,"184",[],[24],[],[],[],[],[],"PlummetingVaalRareFinisherEffect",1,"",1
43,"134",[],"[5,35]",[],[],[],[],[],"OrbitingAshCharacterEffect",1,"",1
44,"139",[],[23],[],[],[],[],[],"WitchhunterBundle",1,"",1
45,"143",[],[13],[],[],[],[],[],"BloodTendrilsFootprintsEffect",1,"",1
46,"155",[],[12],[],[],[],[],[],"DemonicGhoulCharacterEffect",1,"",1
47,"174",[],[14],[],[],[],[],[],"GhoulCharacterEffect",1,"",1
48,"156",[],[15],[],[],[],[],[],"GhostflameGhoulCharacterEffect",1,"",1
49,"157",[],[36],[],[],[],[],[],"StygianGhoulCharacterEffect",1,"",1
50,"163",[],"[35,23,6,18,34,28]",[],[],[],[],[],"DivineArtilleryStrikeRareFinisherEffect",1,"",1
51,"180",[],[16],[],[],[],[],[],"EldritchRoyaltyArmourPack",1,"",1
52,"189",[],[13],[],[],[],[],[],"SaqawalsFateRareFinisherEffect",1,"",1
53,"190",[],"[4,22]",[],[],[],[],[],"PurifiersSwordstormRareFinisherEffect",1,"",1
54,"191",[],"[3,12]",[],[],[],[],[],"KaomsDesireRareFinisherEffect",1,"",1
55,"192",[],[29],[],[],[],[],[],"MalachaisDemiseRareFinisherEffect",1,"",1
56,"193",[],[36],[],[],[],[],[],"ChayulasGraspRareFinisherEffect",1,"",1
57,"181",[],[8],[],[],[],[],[],"DefilersRareFinisherEffect",1,"",1
58,"198",[],"[35,24]",[],[],[],[],"[953,450,376,58,193,253,48,723,358,407,1006,386,1007,459,974,991,275,293]","EldritchPlanetaryOrb",1,"",1
59,"199",[],"[36,18]",[],[],[],[],"[953,450,376,58,193,253,48,723,358,407,1006,386,1007,459,974,991,275,293]","VoidEmperorPlanetaryOrb",1,"",1
60,"255",[],[16],[],[],[],[],[],"StormweaversEtchedBeetlePet",1,"",1
61,"257",[],[6],[],[],[],[],[],"FaridunsEtchedBeetlePet",1,"",1
62,"258",[],[17],[],[],[],[],[],"ChronomancersEtchedBeetlePet",1,"",1
63,"188",[],[],[],[],[],[],[377],"DjinnTempestBellEffect",1,"",1
64,"212",[],[],[],[],[],[],[431],"ChaosbornDruidTwisterEffect",1,"",1
65,"321",[],[],[],[],[109],[],[],"BoarBearShapeshiftEffect",1,"",1
66,"322",[],[28],[],[],[109],[],[],"PandaWarbearShapeshiftEffect",1,"",1
67,"323",[],[28],[],[],[109],[],[],"BatWyvernShapeshiftEffect",1,"",1
68,"122",[],[29],[],[],[109],[],[],"CrocoliskBundle",1,"",1
69,"319",[11],[],[],[],[14],[],[],"TortoiseStaffSkin",1,"",1
70,"315",[],[28],[],[],[],[],[],"WildwoodSeerLevelupExtraEffect",1,"",1
71,"327",[],[28],[],[],[],[],[],"SeidrmanCharacterSkin","","",1
