"rownum","Id","EffectVirtualPath","PreloadGroupsKeys","i32_32","i32_36","i32_40"
0,"LegacyWaypointEffect","Metadata/Effects/Environment/waypoint/new/WaypointEffect",[],-938457162,1,1418994860
1,"Doodad","Metadata/MiscellaneousObjects/Doodad",[],706408584,1,606705012
2,"Stash","Metadata/MiscellaneousObjects/Stash",[],-1477282030,1,1182202488
3,"GuildStash","Metadata/MiscellaneousObjects/GuildStash",[],-97027105,1,-302795644
4,"DefaultWaypoint","Metadata/MiscellaneousObjects/Waypoint",[],552129418,1,608223434
5,"AreaTransition","Metadata/MiscellaneousObjects/AreaTransition",[],726109394,1,-503683403
6,"Checkpoint","Metadata/MiscellaneousObjects/Checkpoint",[],-106532551,1,-1753851336
7,"Shrine","Metadata/Shrines/Shrine",[],-1437128725,4,-1751575936
8,"Sector","Metadata/MiscellaneousObjects/Sector",[],942138868,4,802365645
9,"AreaTransitionDoodad","Metadata/MiscellaneousObjects/AreaTransitionDoodad",[24],1707275484,4,1904559485
10,"AreaTransitionBlockage","Metadata/MiscellaneousObjects/AreaTransitionBlockage",[24],343817293,4,1017271834
11,"DoodadLayerDoodad","Metadata/MiscellaneousObjects/DoodadLayerDoodad",[],1929453020,4,-1157594891
12,"TutorialArrow","Metadata/MiscellaneousObjects/TutorialArrow",[],-1984325775,1,1095568763
13,"ReviveIcon","Metadata/MiscellaneousObjects/ReviveIcon",[],-1022098763,1,-589955059
14,"DeathIcon","Metadata/MiscellaneousObjects/DeathIcon",[],-583707958,1,-418199011
15,"InfernalBlowExplode","Metadata/Effects/Spells/infernal_blow/InfernalBlowExplosion",[],567876608,3,1953903615
16,"Shatter","Metadata/Effects/Spells/shatter/Shatter",[],-1646981244,2,1917692696
17,"FrostWallSegment","Metadata/Effects/Spells/frostwall/FrostWall",[],1667146716,4,249790074
18,"FrostWallNewSegment","Metadata/MiscellaneousObjects/FrostWall/FrostWall",[],1190324927,4,729834390
19,"Hoarfrost","Metadata/MiscellaneousObjects/FrostWall/Hoarfrost",[],-577121071,4,-367195757
20,"WorldItem","Metadata/MiscellaneousObjects/WorldItem",[],1418889786,1,-1300817318
21,"MapDeviceQuest","Metadata/MiscellaneousObjects/MapDevice",[44],561515709,4,-276986577
22,"FireBossExplode","Metadata/Effects/Spells/monsters_effects/rare_explode/fire",[],1665864013,3,-356763154
23,"RootSpiderHole","Metadata/Effects/Spells/monsters_effects/act2/root_spider/emerge/Hole",[],-326478754,4,-1876164068
24,"ChaosExplode","Metadata/Effects/Spells/chaos_explode/ChaosExplode",[],-115837266,3,578270409
25,"BridgeMarker","Metadata/MiscellaneousObjects/BridgeMarker",[],-67371637,4,1114588475
26,"Effect","Metadata/Effects/Effect",[],2139835176,1,-200876473
27,"ServerEffect","Metadata/Effects/ServerEffect",[],-1648314647,1,1085362608
28,"PermanentEffect","Metadata/Effects/PermanentEffect",[],-1868935107,1,-1739835127
29,"BeamEffect","Metadata/Effects/BeamEffect",[],-173099009,1,-810353414
