"rownum","Id","[rid]_8","[i32]_24","rid_40","rid_56","i32_72","bool_76","i32_77","bool_81"
0,"CultistSpiritWeapon",[15891],[1],179,40,1,1,16777216,""
1,"MercenarySpiritWeapon",[15892],[1],180,40,1,1,16777216,""
2,"PyromaniacSpiritWeapon",[15893],[1],181,40,1,1,16777216,""
3,"TemplarZealotSpiritWeapon",[15894],[1],182,40,1,1,16777216,""
4,"PredatoryFarrulsFurApparition",[15959],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[15967],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[15968],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[15969],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[16479],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[16534],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[16534],[1],196,3,2,1,16777216,1
