"rownum","Id","Stats","StatValues","PeriodicVariation","i32_56","i32_60","i32_64","i32_68","i32_72","i32_76","bool_80","bool_81"
0,"CultistSpiritWeapon",[15727],[1],179,40,80,0,0,1,1,1,""
1,"MercenarySpiritWeapon",[15728],[1],180,40,80,0,0,1,1,1,""
2,"PyromaniacSpiritWeapon",[15729],[1],181,40,80,0,0,1,1,1,""
3,"TemplarZealotSpiritWeapon",[15730],[1],182,40,80,0,0,1,1,1,""
4,"PredatoryFarrulsFurApparition",[15793],[1],183,0,0,0,0,3,1,1,""
5,"OshabisHeaddressStrApparition",[15801],[1],184,3,3,0,0,3,1,1,""
6,"OshabisHeaddressDexApparition",[15802],[1],185,3,3,0,0,3,1,1,""
7,"OshabisHeaddressIntApparition",[15803],[1],186,3,3,0,0,3,1,1,""
8,"HateforgeAtziriApparition",[16308],[1],194,4,4,0,0,2,1,"",""
9,"VentorsGambleBoxCars",[16363],[1],195,3,3,0,0,2,1,1,1
10,"VentorsGambleSnakeEyes",[16363],[1],196,3,3,0,0,2,1,1,1
