"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","Ascendancy","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","IsAnointmentOnly","i32_162","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect","AtlasnodeGroup","i32_228","i32_232","i32_236","i32_240","i32_244","bool_248","[rid]_249","i32_265","[rid]_269","bool_285","KeystoneId","bool_302","IsAttribute","AtlasSubTree","IsRootOfAtlasTree","GrantedSkill","WeaponPointsGranted","IsFree","bool_342","UnlockedBy","VisibleForAscendancy","bool_375","NodeFrameArt"
0,"attributes1","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],2,0,0,0,3251,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
1,"attributes2","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,3041,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
2,"attributes3","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,4140,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
3,"attributes4","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,32474,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
4,"attributes5","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,59785,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
5,"attributes6","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,62498,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
6,"attributes7","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,8493,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
7,"attributes8_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,58814,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
8,"attributes9","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,30657,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
9,"attributes10","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18478],1,0,0,0,27705,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"","",[],"","",""
