"rownum","i32_0","QuestFlags1","QuestFlags2","string_36","i32_44","TSIFile","i32_56"
0,0,[],[72],"Default",1,"",0
1,1,"[2906,2907]",[2917],"Vastiri Outskirts",2,"Metadata/Terrain/Gallows/Act2/2_town/master.tsi",12
2,2,[2917],[3186],"Quarry",2,"Metadata/Terrain/Gallows/Act2/2_town/master_10.tsi",11
3,3,[2919],[3724],"Dreadnought's Wake",2,"Metadata/Terrain/Gallows/Act2/2_town/master_11.tsi",10
4,4,[3186],[2915],"Generic Desert",2,"Metadata/Terrain/Gallows/Act2/2_town/master_MarakethDesert.tsi",9
5,5,"[2908,2909]","[2910,2911,2913]","Gates",2,"Metadata/Terrain/Gallows/Act2/2_town/master_3.tsi",8
6,6,"[2910,3212,3213,3586]","[3217,3216]","Keth",2,"Metadata/Terrain/Gallows/Act2/2_town/master_4.tsi",7
7,7,[2911],[3225],"Mastodon Badlands",2,"Metadata/Terrain/Gallows/Act2/2_town/master_5.tsi",6
8,8,"[2913,2914]",[3416],"Valley of Titans",2,"Metadata/Terrain/Gallows/Act2/2_town/master_6.tsi",5
9,9,"[2915,2916]",[3281],"Spires",2,"Metadata/Terrain/Gallows/Act2/2_town/master_8.tsi",4
10,10,[3281],[2920],"White Sand Desert",2,"Metadata/Terrain/Gallows/Act2/2_town/master_WhiteSandDesert.tsi",3
11,11,[2920],[3725],"Dreadnought",2,"Metadata/Terrain/Gallows/Act2/2_town/master_12.tsi",2
12,12,[3725],[3640],"Sin Reveal",2,"Metadata/Terrain/Gallows/Act2/2_town/master_Worship.tsi",1
13,13,[3640],[],"Generic Desert (2)",2,"Metadata/Terrain/Gallows/Act2/2_town/master_MarakethDesert.tsi",0
14,14,"[3640,3641]",[3765],"Town water raised",3,"Metadata/Terrain/Gallows/Act3/3_town/tiles.tst",0
15,15,[3765],[3816],"Town water lowered",3,"",0
16,16,[3816],[],"Town water lowered and stairs enabled",3,"",0
17,17,[3861],[],"Boat in town",4,"",0
18,18,[3972],[],"Rampart",5,"",0
19,19,[5145],"[5152,5160]","Interlude I",1,"",0
20,20,[5152],"[5145,5160]","Interlude II",2,"",0
21,21,[5160],"[5145,5152]","Interlude III",3,"",0
22,22,[3808],[],"Endgame",6,"",0
