"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","[rid]_48","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","[rid]_120","[rid]_136","[string]_152","[rid]_168","[rid]_184","[string]_200","[string]_200 (French)","[string]_200 (German)","[string]_200 (Japanese)","[string]_200 (Korean)","[string]_200 (Portuguese)","[string]_200 (Russian)","[string]_200 (Spanish)","[string]_200 (Thai)","[string]_200 (Traditional Chinese)","[string]_216","[string]_216 (French)","[string]_216 (German)","[string]_216 (Japanese)","[string]_216 (Korean)","[string]_216 (Portuguese)","[string]_216 (Russian)","[string]_216 (Spanish)","[string]_216 (Thai)","[string]_216 (Traditional Chinese)","rid_232","string_248"
0,"HuntressDelwynIntroConvoA",8,"You know why I did it—to save our people. ","Vous savez bien pourquoi j'ai agi ainsi… Pour sauver notre peuple. ","Du weißt, warum ich es getan habe – um unser Volk zu retten. ","なんでやったのかは知ってるだろ……同胞たちを救うためだよ。","내가 왜 그랬는지는 알잖아. 사람들을 구하기 위해서였어.","Você sabe por que eu fiz isso. Foi para salvar o nosso povo.","Ты знаешь, зачем я это сделала – чтобы спасти наших людей.","Sabes por qué lo hice. Para salvar a nuestro pueblo.","เจ้ารู้เหตุที่ข้าทำเช่นนั้นอยู่แก่ใจ... เพื่อปกป้องกลุ่มชนของเรา","你知道我為什麼要這麼做──為了拯救我的人民。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
1,"HuntressDelwynOnSpiritsA",8,"You think I don't know that? ","Vous croyez que je ne suis pas au courant ? ","Glaubst du, ich wüsste das nicht?","あたしがそれを知らないと？","내가 그걸 모를까 봐?","Acha que eu não sei?","Думаешь, я этого не знаю?","¿Crees que no sé eso?","เจ้าคิดว่าข้าไม่รู้รึ?","你以為我不知道？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
2,"HuntressDelwynOnSpiritsB",8,"'Course I care. What do you think it means? ","Bien sûr que cela m'importe. Que pensez-vous que cela signifie ? ","Natürlich interessiert mich das. Was glaubst du, was es bedeutet? ","気にしてるに決まってるだろ。で、どういう意味だと思ってるんだい？","당연히 신경 쓰지. 그 현상이 무슨 뜻이라고 생각해?","Claro que sim. O que você acha que isso significa?","Разумеется, мне не всё равно. Что, как ты думаешь, это значит?","Claro que me importa. ¿Qué crees que significa? ","ข้าใส่ใจแน่ เจ้าว่ามันมีความหมายเช่นไรเล่า?","我當然在乎。你覺得這是什麼意思？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
3,"HuntressDelwynOnSpiritsC",8,"That's no small task. Far greater than chasing wisps.","Ce n'est pas une mince affaire. On ne parle pas de chasser de vulgaires Flammeroles.","Das ist keine einfache Aufgabe. Viel anspruchsvoller als die Jagd nach Irrlichtern.","それは簡単なことじゃないね。ウィスプを追うよりもずっと難しい。","그건 사소한 일이 아니야. 그저 도깨비불을 쫓아다니는 일이 아니지.","Isso não é pouca coisa. Bem mais difícil do que sair caçando lúmens.","Это немалое дело. Куда серьёзнее, чем гоняться за огоньками.","Esa no es una tarea fácil. Es mucho más grande que perseguir fuegos fatuos.","นั่นมิใช่งานง่าย ยากกว่าการไล่ล่าวิสป์เป็นแน่","這可不是什麼小差事。比追逐妖精重要多了。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_04_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
4,"HuntressDelwynOnWispTypesA",8,"More dangerous prey, then. Fine by me.","Hum, enfin des proies à ma hauteur.","Also eine gefährlichere Beute. Soll mir recht sein.","危険な獲物ってことかい。構わないよ。","더 위험한 사냥감이라는 거군. 난 좋아.","Caçada mais arriscada, então. Sem problema.","Больше опасной добычи, значит. Меня это устраивает.","Una presa más peligrosa, entonces. Bien por mí.","เหยื่อที่อันตรายกว่าเดิมรึ ข้ายินดี","也就是說有更危險的獵物。我沒意見。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_05_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
5,"HuntressDelwynOnWispEffectsA",8,"Every beast? Even those it don't possess?","Toutes les bêtes ? Même celles que je ne possède pas ?","Jede Bestie? Auch die, von denen es nicht Besitz ergreift?","全ての獣？取り憑かなかったやつもかい？","모든 야수 말이야? 도깨비불에 사로잡히지 않은 야수도?","Todas as criaturas? Até as que ele não possui?","Каждый зверь? Даже те, в которых он не вселится?","¿Todas las bestias? ¿Incluso las que no posee?","สัตว์ร้ายทุกตัวรึ? แม้นสัตว์ที่มันมิเข้าสิงด้วยรึ?","所有野獸？就連它不會附身的也是？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_05_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
6,"HuntressDelwynOnAzmeriA",8,"I've no love for the Vaal, but if not for their virtue gems, our village would be a smolderin' ruin right now.","Je n'apprécie guère les Vaals, mais sans leurs gemmes de vertu, notre village serait en cendres à l'heure qu'il est.","Ich habe nichts für die Vaal übrig, aber ohne ihre Machtgemmen wäre unser Dorf jetzt eine schwelende Ruine.","ヴァールは別に好きじゃないけど、奴らの美徳の魔石がなけりゃ、あたしたちの村は今頃廃墟の燃えカスだよ。","나도 바알을 좋아하진 않지만, 그들의 마석이 없었다면 우리 마을은 지금 연기를 뿜는 폐허가 됐을 거야.","Não gosto dos Vaal, mas se não fossem as gemas virtuosas deles, o vilarejo já teria virado cinzas.","К ваал я любви не питаю, но, если бы не их камни добродетели, наша деревня сейчас была бы тлеющими развалинами.","No me gustan nada los vaal, pero si no fuera por sus gemas de virtud, nuestro pueblo sería una ruina humeante ahora mismo.","ข้ามิได้ฝักใฝ่พวกวาล์นัก แต่หากมิมีมณีบารมีของพวกมัน\r\nหมู่บ้านเราย่อมเป็นเถ้าถ่านเป็นแน่","我對瓦爾人沒什麼好感，但要不是他們的古靈寶石，我們的村莊早就變成燒焦的廢墟了。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_08A_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
7,"HuntressDelwynOnAzmeriB",8,"You think that preferable? ","Vous pensez que c'est une meilleure option ? ","Hältst du das für besser? ","その方が良かったと？","그게 낫다고 생각하는 거야?","Acha isso melhor?","Ты бы это предпочёл?","¿Crees que eso es mejor?","เจ้าว่าเป็นเช่นนั้นดีกว่ารึ?","你覺得這樣更好？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_08A_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
8,"HuntressDelwynOnFoxA",8,"Lucky? Speak for yourself.","De la chance ? Parlez pour vous.","Glück? Du sprichst für dich selbst.","運が良かった？あんたにとってはそうかもね。","운이 좋다고? 당신 생각에나 그렇겠지.","Sorte? Fale por você.","Повезло? Говори за себя.","¿Suerte? Habla por ti.","โชคดีแล้วรึ? เจ้าพูดได้นี่","好運？那是你覺得。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_11.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
9,"HuntressDelwynOnHareA",8,"Lovely. Just what this place needs—more things what won't stay dead.","Merveilleux… Exactement ce qu'il manquait à cet endroit, d'autres créatures qui refusent de mourir.","Wunderbar. Genau das, was dieser Ort braucht — mehr Dinge, die nicht tot bleiben.","最高だよ。丁度もっと必要だったんだ……死んでも起き上がってくる奴らが。","좋네. 죽어 있지 않으려고 하는 존재가 더 있다니, 이곳에 딱이네.","Ótimo, era só o que faltava. Mais coisas que insistem em não morrer.","Чудесно. Как раз этого здесь не хватает – больше тварей, не желающих лежать в земле.","Encantador. Justo lo que este sitio necesita: más cosas que no se quedan muertas.","เยี่ยมนัก ที่นี่ต้องการสิ่งที่ลืมเป็นลืมตายมากกว่าเดิมเป็นแน่","太好了。正是這地方需要的──更多不死的鬼東西。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_12.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
