"rownum","rid_0","rid_16","[rid]_32","[string]_48","[string]_64","[string]_80","[rid]_96","rid_112","i32_128"
0,24010,71,[0],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
1,18322,72,[1],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
2,18439,76,[2],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1915],0,0
3,24318,76,"[2,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
4,18502,78,[3],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,0
5,24088,78,[4],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,0
6,24319,78,"[3,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""start""]","[""end""]",[],0,0
7,23847,159,[5],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
8,24087,159,[6],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
9,24320,159,"[5,11]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
10,21276,117,[7],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[],0,0
11,21312,76,"[8,9,2]","[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1915],100,0
12,21429,120,[10],"[""grp_head"",""grp_L_bicep"",""grp_R_bicep"",""grp_l_bicep"",""grp_r_bicep""]","[""soulStart_01""]","[""soulEnd_01""]",[1915],0,0
