"rownum","Id","VariationId","VisualIdentity","EffectSource","EffectDestination","EffectParticles","EffectFadeIn","EffectPersistent","bool_116"
0,0,0,"",606,607,608,"","",""
1,0,1000,"","","","","","",""
2,3,0,3,919,920,"","","",""
3,1,0,1,606,607,608,"","",""
4,1,1,8,1250,1249,"","",1251,1
5,1,2,9,606,607,608,"","",""
6,1,3,6,606,607,608,"","",1
7,1,4,7,606,607,608,"","",""
8,1,5,13,606,607,608,"","",""
9,1,1000,1,"","","","","",""
10,2,0,2,606,607,608,"","",""
11,2,1,11,606,607,608,"","",""
12,2,1000,2,"","","","","",""
13,4,0,4,606,607,608,"","",""
14,4,1,10,606,607,608,"","",""
15,4,2,12,606,607,608,"","",""
16,4,1000,4,"","","","","",""
17,5,0,5,"","","","","",""
18,6,0,"",1198,1197,1203,1199,"",""
