"rownum","Essence","TargetItemCategory","Mod","DisplayMod","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OutcomeMods","OutcomeModWeights"
0,48,30,836,"","","","","","","","","","","",[],[]
1,48,7,456,"","","","","","","","","","","",[],[]
2,48,37,1070,"","","","","","","","","","","",[],[]
3,48,28,449,"","","","","","","","","","","",[],[]
4,48,36,904,"","","","","","","","","","","",[],[]
5,48,9,1330,"","","","","","","","","","","",[],[]
6,48,8,443,"","","","","","","","","","","",[],[]
7,48,38,1130,"","","","","","","","","","","",[],[]
8,48,32,1431,"","","","","","","","","","","",[],[]
9,48,39,1218,"","","","","","","","","","","",[],[]
10,49,7,4582,"","Allocates a random Notable Passive Skill","Attribute un Talent éminent aléatoire","Weist per Zufall eine bedeutende passive Fertigkeit zu","ランダムなノータブルパッシブスキルを割り当てる","무작위 주요 패시브 스킬 할당","Atribui uma habilidade passiva notável aleatória","Выбирает случайное значимое пассивное умение","Asigna una habilidad pasiva notable aleatoria","อัพ พาสซีฟกลางแบบสุ่ม 1 อย่าง","分配一個隨機核心天賦",[],[]
11,50,6,4580,"","","","","","","","","","","",[],[]
12,51,8,4581,"","","","","","","","","","","",[],[]
13,56,0,"","","[MarkofAbyssalLord|Mark of the Abyssal Lord]","[MarkofAbyssalLord|Marque du Seigneur abyssal]","[MarkofAbyssalLord|Mal des Abgründigen Fürsten]","[MarkofAbyssalLord|アビサルロードの紋章]","[MarkofAbyssalLord|심연의 군주의 징표]","[MarkofAbyssalLord|Marca do Lorde Abissal]","[MarkofAbyssalLord|Знак повелителя Бездны]","[MarkofAbyssalLord|Señal del Señor abisal]","[MarkofAbyssalLord|เครื่องหมายอะบิสลอร์ด]","[MarkofAbyssalLord|深淵領主印記]","[4583,4584]","[50,50]"
14,0,11,80,"","","","","","","","","","","",[],[]
15,0,12,79,"","","","","","","","","","","",[],[]
16,12,13,84,"","","","","","","","","","","",[],[]
17,12,14,83,"","","","","","","","","","","",[],[]
18,24,13,85,"","","","","","","","","","","",[],[]
19,24,15,84,"","","","","","","","","","","",[],[]
20,36,7,14463,"","","","","","","","","","","",[],[]
21,1,33,96,"","","","","","","","","","","",[],[]
22,13,19,99,"","","","","","","","","","","",[],[]
23,13,12,100,"","","","","","","","","","","",[],[]
24,25,19,100,"","","","","","","","","","","",[],[]
25,25,12,101,"","","","","","","","","","","",[],[]
26,37,36,14464,"","","","","","","","","","","",[],[]
27,2,2,"",14441,"","","","","","","","","","","[230,238,246,254,262,270]",[]
28,14,2,"",14443,"","","","","","","","","","","[232,240,248,256,264,272]",[]
29,26,2,"",14445,"","","","","","","","","","","[233,241,249,257,265,273]",[]
30,38,9,14465,"","","","","","","","","","","",[],[]
31,3,21,495,"","","","","","","","","","","",[],[]
32,3,22,504,"","","","","","","","","","","",[],[]
33,15,21,498,"","","","","","","","","","","",[],[]
34,15,22,507,"","","","","","","","","","","",[],[]
35,27,21,500,"","","","","","","","","","","",[],[]
36,27,22,509,"","","","","","","","","","","",[],[]
37,39,21,14466,"","","","","","","","","","","",[],[]
38,39,22,14467,"","","","","","","","","","","",[],[]
39,4,21,513,"","","","","","","","","","","",[],[]
40,4,22,523,"","","","","","","","","","","",[],[]
