"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
0,"Brutality","Brutality","Brutalité","Brutalität","ブルータリティ","포악함","Brutalidade","Жестокость","Brutalidad","Brutality","野性殘暴"
1,"Ignite","Ignite","Embrasement","Entzünden","発火","점화","Incêndio","Поджог","Quemadura","Ignite","點燃"
2,"FirePenetration","Fire Penetration","Pénétration du feu","Durchdringendes Feuer","火耐性貫通","화염 관통","Penetração de Fogo","Пронизывающий жар","Penetración de fuego","Fire Penetration","火焰穿透"
3,"SearingFlame","Searing Flame","Flamme calcinante","Sengende Flamme","シーリングフレイム","이글거리는 화염","Chama Calcinante","Обжигающее пламя","Llama abrasadora","Searing Flame","燒灼烈焰"
4,"ProlongedDuration","Prolonged Duration","Durée prolongée","Verlängerte Dauer","持続時間延長","지속시간 연장","Duração Prolongada","Продление","Duración prolongada","Prolonged Duration","延長持續時間"
5,"CompressedDuration","Compressed Duration","Durée écourtée","Komprimierte Dauer","持続時間圧縮","지속시간 압축","Duração Comprimida","Сокращение длительности","Duración comprimida","Compressed Duration","縮短持續時間"
6,"Unbreakable","Unbreakable","Inébranlable","Unerschütterlich","アンブレイカブル","무적","Indestrutível","Несломимость","Irrompible","Unbreakable","堅不可破"
7,"Bleed","Bleed","Saignement","Bluten","出血","출혈","Sangramento","Кровотечение","Sangrado","Bleed","流血"
8,"Knockback","Knockback","Repoussement","Zurückstoßen","ノックバック","밀어내기","Empurrar","Отбрасывание","Empuje","Knockback","擊退"
9,"Stun","Stun","Étourdissement","Betäubung","スタン","기절","Atordoar","Оглушение","Aturdimiento","Stun","暈眩"
10,"Ruthless","Ruthless","Impitoyabilité","Erbarmungslos","ルースレス","무자비","Implacável","Беспощадность","Despiadado","Ruthless","殘暴"
11,"Rage","Rage","Rage","Rausch","憤怒","격노","Fúria","Свирепость","Furia","Rage","盛怒"
12,"JaggedGround","Jagged Ground","Sol irrégulier","Zerklüfteter Boden","ギザギザ領域","요철 지대","Chão de Estacas","Вздыбленная земля","Suelo irregular","Jagged Ground","碎裂地面"
13,"ExploitWeakness","Exploit Weakness","Exploitation de faiblesse","Schwachstelle ausnutzen","弱点活用","약점 이용","Explorar Fraqueza","Брешь","Explotar debilidad","Exploit Weakness","攻其之弱"
14,"EnragedWarcry","Enraged Warcry","Cri de guerre enragé","Wutentbrannter Kriegsschrei","憤怒のウォークライ","격앙된 함성","Clamor Enfurecido","Яростный крик","Grito de guerra enfurecido","Enraged Warcry","激怒戰吼"
15,"FistOfWar","Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho da Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸"
16,"ImpactShockwave","Impact Shockwave","Contrecoup","Aufprallschockwelle","インパクトショックウェーブ","충돌 충격파","Onda de Choque de Impacto","Ударная волна","Onda expansiva impactante","Impact Shockwave","衝擊震波"
17,"Devastate","Devastate","Dévastation","Verheeren","蹂躙","파괴","Devastação","Разгром","Devastar","Devastate","蹂躪"
18,"Lifetap","Lifetap","Ponction vitale","Aderlass","ライフタップ","생명력 전환","Fonte de Vida","Жизнеотвод","Transfusión de vida","Lifetap","活栓"
19,"Behead","Behead","Décapitation","Enthaupten","首狩り","참수","Decapitação","Обезглавливание","Decapitación","Behead","斬首"
20,"Execute","Execute","Exécution","Hinrichten","処刑","처형","Executar","Казнь","Ejecutar","Execute","處刑"
21,"Shock","Shock","Électrocution","Schock","感電","감전","Eletrificar","Шок","Electrocución","Shock","感電"
22,"LightningPenetration","Lightning Penetration","Pénétration de la foudre","Durchdringender Blitz","雷耐性貫通","번개 관통","Penetração Elétrica","Пронизывающие молнии","Penetración de rayo","Lightning Penetration","閃電穿透"
23,"Overcharge","Overcharge","Surcharge","Überladen","過剰感電","과충전","Sobrecarga","Перегрузка","Sobrecarga","Overcharge","強化聚能"
24,"ProjectileSpeed","Projectile Speed","Vitesse des Projectiles","Projektilgeschwindigkeit","投射物スピード","투사체 속도","Velocidade de Projétil","Скорость снарядов","Velocidad de proyectiles","Projectile Speed","投射物速度"
25,"WindWave","Wind Wave","Coup de vent","Windwelle","ウィンドウェーブ","바람 파장","Onda de Vento","Воздушная волна","Ráfaga de viento","Wind Wave","疾風之波"
26,"Poison","Poison","Poison","Gift","毒","중독","Envenenar","Отравление","Veneno","Poison","中毒"
27,"Maim","Maim","Mutilation","Verstümmeln","重傷","힘줄 절단","Mutilar","Увечье","Lisiar","Maim","癱瘓"
28,"Blind","Blind","Aveuglement","Blenden","盲目","실명","Cegueira","Ослепление","Cegar","Blind","致盲"
29,"AdditionalProjectiles","Additional Projectiles","Projectiles supplémentaires","Zusätzliche Projektile","投射物追加","추가 투사체","Projéteis Adicionais","Дополнительные снаряды","Proyectiles adicionales","Additional Projectiles","額外投射物"
30,"Pierce","Pierce","Transpercement","Durchbohren","貫通","관통","Perfuração","Пронзание","Perforar","Pierce","穿透"
31,"Chain","Chain","Ricochet","Verketten","連鎖","연쇄","Propagação","Удар по цепи","Encadenamiento","Chain","連鎖"
32,"SecondWind","Second Wind","Second souffle","Zweite Luft","セコンドウィンド","새로운 활력","Fôlego Renovado","Второе дыхание","Segundo aliento","Second Wind","恢復"
33,"PerpetualCharge","Perpetual Charge","Charge perpétuelle","Beständige Ladung","チャージ温存","영속적인 충전","Carga Perpétua","Постоянный заряд","Carga perpetua","Perpetual Charge","永恆充能"
34,"BurstingPlague","Bursting Plague","Explosion pestilentielle","Pestausbruch","疫病爆発","터져 나오는 역병","Praga Explosiva","Вспышка чумы","Plaga pustulosa","Bursting Plague","爆裂瘟疫"
35,"Corrosion","Corrosion","Corrosion","Korrosion","腐食","부식","Corrosão","Коррозия","Corrosión","Corrosion","衰敗"
36,"Electrocute","Electrocute","Foudroiement","Elektrisieren","麻痺","전기 처형","Eletrocussão","Электризация","Paralizar","Electrocute","觸電"
37,"Overabundance","Overabundance","Surabondance","Überfülle","上限超過","과잉","Excesso","Изобилие","Sobreabundancia","Overabundance","過剩"
38,"Lockdown","Lockdown","Clouage","Festhalten","足止めブースト","폐쇄","Confinamento","Обездвиживание","Confinamiento","Lockdown","封鎖"
39,"Pin","Pin","Verrouillage","Festsetzen","足止め","고정","Aprisionamento","Пригвождение","Retener","Pin","釘身"
40,"Mobility","Mobility","Mobilité","Mobilität","機動力","기동성","Mobilidade","Мобильность","Movilidad","Mobility","機動性"
41,"Freeze","Freeze","Gel","Einfrieren","凍結","동결","Congelar","Заморозка","Congelamiento","Freeze","冰凍"
42,"ColdPenetration","Cold Penetration","Pénétration du froid","Durchdringende Kälte","冷気耐性貫通","냉기 관통","Penetração de Frio","Пронизывающий холод","Penetración de hielo","Cold Penetration","冰冷穿透"
43,"WitheringTouch","Withering Touch","Toucher flétrissant","Verkümmernde Berührung","ヒット時衰弱付与","위축의 손길","Toque Atrofiante","Губительное прикосновение","Toque marchitante","Withering Touch","凋零之觸"
44,"IncreasedAreaOfEffect","Increased Area of Effect","Zone d'effet augmentée","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Расширенная область действия","Área de efecto aumentada","Increased Area of Effect","增加效果範圍"
45,"ConcentratedEffect","Concentrated Area","Zone concentrée","Konzentriertes Gebiet","効果範囲集中","범위 집중","Área Concentrada","Средоточие","Área concentrada","Concentrated Area","集中範圍"
46,"EnergyBarrier","Energy Barrier","Barrière d'énergie","Energiebarriere","エナジーバリア","에너지 방벽","Barreira de Energia","Энергетический барьер","Barrera de energía","Energy Barrier","能量屏障"
