"rownum","Id","Animation","i32_24","i32_28","Stats"
0,"anger_aura_end",[836],3,2,""
1,"hatred_aura_end",[837],3,2,""
2,"hatred_aura_end",[1459],3,3,""
3,"wrath_aura_end",[835],3,2,""
4,"haste_aura_end",[806],3,2,""
5,"steelskin_block",[3081],1,0,""
6,"steelskin_block",[5083],1,1,""
7,"steelskin_block",[3082],1,2,""
8,"cremation_explosion",[1649],1,0,""
9,"cremation_explosion",[1649],1,1,""
10,"cremation_explosion",[1810],1,2,""
11,"cremation_explosion",[1829],1,3,""
12,"cremation_explosion",[1652],1,4,""
13,"cremation_explosion",[5303],1,5,""
14,"cremation_explosion",[5718],1,6,""
15,"cremation_explosion",[5740],1,7,""
16,"cremation_geyser",[1650],3,0,""
17,"cremation_geyser",[1650],3,1,""
18,"cremation_geyser",[1811],3,2,""
19,"cremation_geyser",[1830],3,3,""
20,"cremation_geyser",[1653],3,4,""
21,"cremation_geyser",[5302],3,5,""
22,"cremation_geyser",[5717],3,6,""
23,"cremation_geyser",[5739],3,7,""
24,"cremation_impact",[1648],1,0,""
25,"cremation_impact",[1648],1,1,""
26,"cremation_impact",[1809],1,2,""
27,"cremation_impact",[1828],1,3,""
28,"cremation_impact",[1651],1,4,""
29,"cremation_impact",[5301],1,5,""
30,"cremation_impact",[5716],1,6,""
31,"cremation_impact",[5738],1,7,""
32,"consecrated_path_slam",[2207],1,0,""
33,"consecrated_path_slam",[2543],1,1,""
34,"consecrated_path_slam",[4438],1,2,""
35,"consecrated_path_slam",[4444],1,3,""
36,"consecrated_path_slam",[7477],1,4,""
37,"consecrated_path_teleport",[2208],1,0,""
38,"consecrated_path_teleport",[2544],1,1,""
39,"consecrated_path_teleport",[4439],1,2,""
40,"consecrated_path_teleport",[4445],1,3,""
41,"consecrated_path_teleport",[7478],1,4,""
42,"consecrated_path_range",[2209],1,0,""
43,"consecrated_path_range",[2545],1,1,""
44,"consecrated_path_range",[4440],1,2,""
45,"consecrated_path_range",[4446],1,3,""
46,"consecrated_path_range",[7479],1,4,""
47,"consecrated_path_slam_ancestral",[4129],1,0,11093
48,"consecrated_path_slam_ancestral",[4441],1,2,11093
49,"consecrated_path_slam_ancestral",[4447],1,3,11093
50,"consecrated_path_teleport_ancestral",[4130],1,0,11093
51,"consecrated_path_teleport_ancestral",[4442],1,2,11093
52,"consecrated_path_teleport_ancestral",[4448],1,3,11093
53,"consecrated_path_range_ancestral",[4131],1,0,11093
54,"consecrated_path_range_ancestral",[4443],1,2,11093
55,"consecrated_path_range_ancestral",[4449],1,3,11093
56,"divine_cry",[5760],1,0,""
57,"divine_cry",[6218],1,2,""
58,"divine_cry",[4386],1,3,""
59,"absolution_blast",[5794],1,0,""
60,"absolution_blast",[5796],1,1,""
61,"absolution_blast_convert",[5840],3,0,""
62,"absolution_blast_convert",[5840],3,1,""
63,"absolution_blast_shockwave",[5795],3,0,13345
64,"absolution_blast_shockwave",[5797],3,1,13345
65,"absolution_blast_lite",[5946],1,0,""
66,"absolution_blast_lite",[5796],1,1,""
67,"absolution_blast_ascended_refesh",[5799],3,0,""
68,"absolution_blast_ascended_refesh",[5799],3,1,""
69,"soulfeast_primary_explode",[5780],1,0,""
70,"soulfeast_wall_explode",[5886],1,0,""
71,"soulfeast_primary_explode",[6774],1,1,""
72,"soulfeast_wall_explode",[6775],1,1,""
73,"mana_void",[5781],3,0,""
74,"mana_void_rect_1",[5782],3,0,""
75,"mana_void_rect_2",[5783],3,0,""
76,"mana_void_rect_3",[5784],3,0,""
77,"mana_void_rect_4",[5785],3,0,""
78,"mana_void_lite",[5939],3,0,""
79,"mana_void_rect_1_lite",[5940],3,0,""
80,"mana_void_rect_2_lite",[5941],3,0,""
81,"mana_void_rect_3_lite",[5942],3,0,""
82,"mana_void_rect_4_lite",[5943],3,0,""
83,"mana_void_unleash",[5944],3,0,""
84,"storm_rain_arrow",[5776],1,0,""
85,"storm_rain_impact",[5773],1,0,""
86,"storm_rain_muzzle_flash",[5792],1,0,""
87,"igniting_flask_flask",[5853],1,0,""
88,"igniting_flask_explode_base",[5836],1,0,""
89,"igniting_flask_explode_base_wall",[5851],1,0,""
90,"igniting_flask_explode_fire",[5837],1,0,13447
91,"igniting_flask_explode_cold",[5838],1,0,13466
92,"igniting_flask_explode_cold_wall",[5852],1,0,13466
93,"igniting_flask_explode_lightning",[5839],1,0,13464
94,"igniting_flask_explode_base_lite",[5911],1,0,""
95,"igniting_flask_explode_base_wall_lite",[5915],1,0,""
96,"igniting_flask_explode_fire_lite",[5912],1,0,13447
97,"igniting_flask_explode_cold_lite",[5913],1,0,13466
98,"igniting_flask_explode_cold_wall_lite",[5916],1,0,13466
99,"igniting_flask_explode_lightning_lite",[5914],1,0,13464
100,"infernal_blow_explode_big",[2143],3,0,""
101,"infernal_blow_explode_small",[2144],3,0,""
102,"infernal_blow_explode_big",[5819],3,1,""
103,"infernal_blow_explode_small",[5820],3,1,""
104,"smoke_mine_poof",[259],3,0,""
105,"smoke_mine_poof",[5822],3,1,""
106,"smoke_mine_poof",[260],3,1000,""
107,"chain_strike_beam",[2986],3,0,""
108,"chain_strike_area",[2987],1,0,""
109,"chain_strike_area",[5824],1,1,""
110,"chain_strike_kickup",[2989],1,0,""
111,"chain_strike_kickup",[5826],1,1,""
112,"chain_strike_cone",[2988],1,0,""
113,"chain_strike_cone",[5825],1,1,""
114,"chain_strike_circle_area",[3298],1,0,""
115,"chain_strike_circle_area",[5827],1,1,""
116,"arcane_cloak_block",[3081],1,0,""
117,"arcane_cloak_block",[3081],1,1,""
118,"orb_of_storms_cloud",[673],1,0,""
119,"orb_of_storms_cloud",[1604],1,1,""
120,"orb_of_storms_cloud",[5831],1,2,""
121,"orb_of_storms_cloud",[10156],1,3,""
122,"orb_of_storms_cloud",[7915],1,1000,""
123,"orb_of_storms_charged_cloud",[687],1,0,""
124,"orb_of_storms_charged_cloud",[1605],1,1,""
125,"orb_of_storms_charged_cloud",[5829],1,2,""
126,"orb_of_storms_charged_cloud",[10157],1,3,""
127,"orb_of_storms_charged_cloud",[7918],1,1000,""
128,"orb_of_storms_range_indicator",[727],1,0,""
129,"orb_of_storms_range_indicator",[1607],1,1,""
130,"orb_of_storms_range_indicator",[5832],1,2,""
131,"orb_of_storms_range_indicator",[10158],1,3,""
132,"orb_of_storms_range_indicator",[7917],1,1000,""
133,"dual_strike_impact_main",[3433],1,0,""
134,"dual_strike_impact_main",[5842],1,2,""
135,"dual_strike_impact_secondary",[3471],1,0,""
136,"dual_strike_impact_secondary",[5843],1,2,""
137,"dual_strike_audio",[170],1,0,""
138,"dual_strike_audio",[5841],1,2,""
139,"dual_strike_surge",[5844],1,2,""
140,"weapon_trap_spinner",[5847],1,0,""
141,"weapon_trap_start",[5848],1,0,""
