"rownum","Metadata","AreaLevel","SpawnsMonsters","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","i32_66","i32_70","i32_74","i32_78","rid_82","bool_98","bool_99","Script1","bool_108","bool_109","Script2","[i32]_118","i32_134","i32_138","i32_142","i32_146","i32_150","i32_154","i32_158","i32_162"
0,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase1",1,"[496,509]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
1,"Metadata/Monsters/LeagueExpedition/Olroth/Objects/OlrothAddSpawnerPhase2",1,"[496,509]",4800,0,0,1600,3200,0,0,65793,"",1,"","","","",2,0,0,0,"","","","triggerer.DoAction(WalkEmerge);","",1,"","[3,1]",0,3000,0,0,1000,1000,2,2
2,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",1,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
3,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",10,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,200,0,0,3,3,3,3
4,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",15,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,4,4,4,4
5,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",20,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,150,0,0,5,5,5,5
6,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",30,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,6,6,6,6
7,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",40,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,7,7,7,7
8,"Metadata/Terrain/Leagues/Expedition/Objects/Spawners/ExpeditionFodderSpawnerInstant",60,"[494,495,497]",0,3,30,0,0,0,0,256,1,"","","","",1,0,0,0,0,1,"","","triggerer.DoAction( Emerge ); triggerer.PlayEffect( \""Metadata/Effects/Spells/monsters_effects/act4/skeletonsoldier/emerge/emergefx.ao\"" );","","","",[],0,100,0,0,8,8,8,8
9,"Metadata/Monsters/Werewolves/Spawners/SpawnerWerewolfProwlerBasic",1,[255],0,0,0,0,0,0,0,65792,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1
