"rownum","MonsterVarietiesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","[i32]_144","AudioCharacter","rid_176","rid_192","rid_208","rid_224","Name"
0,2125,"","","","","","","","",[1],9,"","","","",3050
1,2126,"","","","","","","","",[1],9,"","","","",3051
2,2127,"","","","","","","","",[2],12,"","","","",3052
3,2128,"","","","","","","","",[2],12,"","","","",3053
4,2129,"","","","","","","","",[2],13,"","","","",3054
5,2130,"","","","","","","","",[2],13,"","","","",3055
6,2131,"","","","","","","","",[3],10,"","","","",3056
7,2132,"","","","","","","","",[3],10,"","","","",3057
8,2133,"","","","","","","","",[3],11,"","","","",3058
9,2134,"","","","","","","","",[3],11,"","","","",3059
10,2135,"","","","","","","","","[1,2]",17,"","","","",3061
11,2136,"","","","","","","","","[1,2]",17,"","","","",3062
12,2137,"","","","","","","","","[2,3]",19,"","","","",3066
13,2138,"","","","","","","","","[2,3]",19,"","","","",3066
