"rownum","Id","HASH16","ModTypeKey","Level","StatsKey1","StatsKey2","StatsKey3","StatsKey4","Domain","Name","GenerationType","Families","Stat1Min","Stat1Max","Stat2Min","Stat2Max","Stat3Min","Stat3Max","Stat4Min","Stat4Max","SpawnWeight_TagsKeys","SpawnWeight_Values","TagsKeys","GrantedEffectsPerLevelKeys","[i32]","MonsterMetadata","MonsterKillAchievements","ChestModType","Stat5Min","Stat5Max","StatsKey5","FullAreaClear_AchievementItemsKey","AchievementItemsKey","GenerationWeight_TagsKeys","GenerationWeight_Values","ModifyMapsAchievements","IsEssenceOnlyModifier","Stat6Min","Stat6Max","StatsKey6","MaxLevel","bool","CraftingItemClassRestrictions","MonsterOnDeath","i32","[rid]","Heist_SubStatValue1","Heist_SubStatValue2","Heist_StatsKey0","Heist_StatsKey1","Heist_AddStatValue1","Heist_AddStatValue2","InfluenceTypes","ImplicitTagsKeys","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","BuffTemplate","ArchnemesisMinionMod","HASH32","[rid]","i32","[rid]","RadiusJewelType"
0,"Strength1",22100,425,1,561,"","","",1,"of the Brute",2,[131],5,8,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",-888300199,[],0,[],3
1,"Strength2",53672,425,11,561,"","","",1,"of the Wrestler",2,[131],9,12,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1447528431,[],0,[],3
2,"Strength3",27615,425,22,561,"","","",1,"of the Bear",2,[131],13,16,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",472807409,[],0,[],3
3,"Strength4",49948,425,33,561,"","","",1,"of the Lion",2,[131],17,20,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",730523798,[],0,[],3
4,"Strength5",34513,425,44,561,"","","",1,"of the Gorilla",2,[131],21,24,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",712944815,[],0,[],3
5,"Strength6",7645,425,55,561,"","","",1,"of the Goliath",2,[131],25,27,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",-211685700,[],0,[],3
6,"Strength7",13917,425,66,561,"","","",1,"of the Leviathan",2,[131],28,30,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1034750960,[],0,[],3
7,"Strength8",4242,425,74,561,"","","",1,"of the Titan",2,[131],31,33,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",2080074601,[],0,[],3
8,"Strength9",49770,425,81,561,"","","",1,"of the Gods",2,[131],34,36,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",1757850284,[],0,[],3
9,"Dexterity1",45863,429,1,567,"","","",1,"of the Mongoose",2,[132],5,8,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",664245424,[],0,[],3
10,"Dexterity2",16685,429,11,567,"","","",1,"of the Lynx",2,[132],9,12,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",139741561,[],0,[],3
11,"Dexterity3",10074,429,22,567,"","","",1,"of the Fox",2,[132],13,16,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",186526788,[],0,[],3
12,"Dexterity4",50910,429,33,567,"","","",1,"of the Falcon",2,[132],17,20,0,0,0,0,0,0,[],[],[],[],[],"",[],[],0,0,"",[],[],[],[],[],"",0,0,"",100,"",[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",114212880,[],0,[],3
