"rownum","Id","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","string","i32","[rid]","i32","i32","rid","rid","i32","i32","i32","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","[string]","bool","i32","i32","i32","i32","i32","i16","bool"
0,"Strength1",27874900,65536,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,1966080,0,131072,65536,0,3801088,0,327680,524288,0,0,0,0,0,0,0,0,4849664,4849664,0,0,0,4849664,0,0,0,4849664,4849664,0,4849664,0,0,0,5111808,0,0,0,5111808,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,5111808,5111808,5111808,4849664,0,0,0,5111808,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-888300199,[],"",0,0,1577058304,0,50331648,0,""
1,"Strength2",27906472,720896,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,7602176,0,131072,65536,0,9830400,0,589824,786432,0,0,0,0,0,0,0,0,10878976,4849664,0,0,0,10878976,0,0,0,10878976,10878976,0,4849664,0,0,0,10878976,0,0,0,10878976,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,10878976,10878976,10878976,4849664,0,0,0,10878976,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1447528431,[],"",0,0,-1241513984,0,50331648,0,""
2,"Strength3",27880415,1441792,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,13369344,0,131072,65536,0,15073280,0,851968,1048576,0,0,0,0,0,0,0,0,16121856,4849664,0,0,0,16121856,0,0,0,16121856,16121856,0,4849664,0,0,0,16121856,0,0,0,16121856,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,16121856,16121856,16121856,4849664,0,0,0,16121856,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,472807409,[],"",0,0,100663296,1,50331648,0,""
3,"Strength4",27902748,2162688,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,18612224,0,131072,65536,0,20316160,0,1114112,1310720,0,0,0,0,0,0,0,0,21364736,4849664,0,0,0,21364736,0,0,0,21364736,21364736,0,4849664,0,0,0,21364736,0,0,0,21364736,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,21364736,21364736,21364736,4849664,0,0,0,21364736,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,730523798,[],"",0,0,1442840576,1,50331648,0,""
4,"Strength5",27887313,2883584,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,23855104,0,131072,65536,0,25952256,0,1376256,1572864,0,0,0,0,0,0,0,0,27000832,4849664,0,0,0,27000832,0,0,0,27000832,27000832,0,4849664,0,0,0,27000832,0,0,0,27000832,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,27000832,27000832,27000832,4849664,0,0,0,27000832,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,712944815,[],"",0,0,-1409286144,1,50331648,0,""
5,"Strength6",27860445,3604480,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,29491200,0,131072,65536,0,31588352,0,1638400,1769472,0,0,0,0,0,0,0,0,32636928,4849664,0,0,0,32636928,0,0,0,32636928,32636928,0,4849664,0,0,0,32636928,0,0,0,32636928,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,32636928,32636928,32636928,4849664,0,0,0,32636928,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-211685700,[],"",0,0,33554432,2,50331648,0,""
6,"Strength7",27866717,4325376,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,35127296,0,131072,65536,0,37486592,0,1835008,1966080,0,0,0,0,0,0,0,0,38535168,4849664,0,0,0,38535168,0,0,0,38535168,38535168,0,4849664,0,0,0,38535168,0,0,0,38535168,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,38535168,38535168,38535168,4849664,0,0,0,38535168,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1034750960,[],"",0,0,1543503872,2,50331648,0,""
7,"Strength8",27857042,4849664,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,41025536,0,131072,65536,0,42860544,0,2031616,2162688,0,0,0,0,0,0,0,0,43909120,4849664,0,0,0,43909120,0,0,0,43909120,43909120,0,4849664,0,0,0,43909120,0,0,0,43909120,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,43909120,43909120,43909120,4849664,0,0,0,43909120,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2080074601,[],"",0,0,-1375731712,2,50331648,0,""
8,"Strength9",27902570,5308416,36765696,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,46399488,0,131072,65536,0,48103424,0,2228224,2359296,0,0,0,0,0,0,0,0,49152000,4849664,0,0,0,49152000,0,0,0,49152000,49152000,0,4849664,0,0,0,49152000,0,0,0,49152000,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,49152000,49152000,49152000,4849664,0,0,0,49152000,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1757850284,[],"",0,0,-33554432,2,50331648,0,""
9,"Dexterity1",28160807,65536,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,51773440,0,131072,65536,0,54001664,0,327680,524288,0,0,0,0,0,0,0,0,55050240,4849664,0,0,0,55050240,0,0,0,55050240,55050240,0,4849664,0,0,0,55050240,0,0,0,55050240,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,55050240,55050240,55050240,4849664,0,0,0,55050240,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,664245424,[],"",0,0,1476395008,3,50331648,0,""
