0,5653,"Small Life Flask",1,70,0,30,"",[],30,[]
1,5654,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,5655,"Large Life Flask",1,250,0,35,"",[],35,[]
3,5656,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,5657,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,5658,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,5659,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,5660,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,5661,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,5662,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,5663,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,5664,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,5665,"Small Life Flask",1,70,0,40,"",[],40,[]
13,5666,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,5667,"Large Life Flask",1,200,0,60,"",[],60,[]
15,5668,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,5669,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,5670,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,5671,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,5672,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,5673,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,5674,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,5675,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,5676,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,5677,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,5678,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,5679,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,5680,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,5681,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,5682,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,5683,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,5684,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,5685,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,5686,"Diamond Flask",4,0,0,60,114,[100],40,[100]
34,5687,"Ruby Flask",4,0,0,80,115,"[50,-20]",55,"[50,-20]"
35,5688,"Sapphire Flask",4,0,0,80,116,"[50,-20]",55,"[50,-20]"
36,5689,"Topaz Flask",4,0,0,80,117,"[50,-20]",55,"[50,-20]"
37,5690,"Granite Flask",4,0,0,60,118,[1500],40,[1500]
38,5691,"Quicksilver Flask",4,0,0,60,119,[40],20,[40]
39,5692,"Amethyst Flask",4,0,0,65,120,[35],45,[35]
40,5693,"Quartz Flask",4,0,0,60,121,"[1,10]",40,"[1,10]"
41,5694,"Jade Flask",4,0,0,60,122,[1500],40,[1500]
42,5695,"Basalt Flask",4,0,0,80,123,[20],55,[20]
43,5696,"Aquamarine Flask",4,0,0,80,124,[-60],55,[-60]
44,5697,"Stibnite Flask",4,0,0,80,126,[20],55,[20]
45,5698,"Sulphur Flask",4,0,0,80,127,[40],55,[40]
46,5699,"Silver Flask",4,0,0,60,128,[],40,[]
47,5700,"Bismuth Flask",4,0,0,85,125,[35],55,[35]
48,5701,"Gold Flask",4,0,0,50,129,[30],35,[30]
49,5702,"Corundum Flask",4,0,0,75,1837,[30],50,[30]
50,5703,"Iron Flask",4,0,0,50,130,[200],35,[200]
