version,row_count,row_width,fixed_size,var_offset,var_size
4.1.0.10.2,580,138,80040,80044,112778
4.1.0.11,582,138,80316,80320,113392
4.1.1.1,582,138,80316,80320,113616
4.2.0.1,740,138,102120,102124,183626
4.2.0.4,740,138,102120,102124,183642
4.2.0.5.2,741,138,102258,102262,183764
4.2.0.6,742,138,102396,102400,184266
4.2.0.7,742,138,102396,102400,184250
4.2.0.11,742,138,102396,102400,184298
4.2.1.1,749,138,103362,103366,186278
4.3.0.1,1023,138,141174,141178,262750
4.3.0.2,1023,138,141174,141178,262766
